no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
18,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,14752.91,23.75,17.93,1.42,1.35,4.61,24.4,22.41,1.70%,25.10%,9.88,4.40%,10.26%,2.20%,16.70%,0.70%,25.90%,3.10%,62.85,62.08,0.20%,-4.77%,,,5.60%,5.7,5.50%,19.10%,11.80%,1.2,0.3,0.32,0.0,45.10%,8.00%,5.90%,2.56%,0.96%,17.29%,17.64%,48.54%,48.96%,1.26,5.96,2.23%,2.44%,1.28%,4.06%,14.57%,-3.47%,14.30%,-3.47%,63.90%,56.52,0.08%,0.17%,2.2,610.51,0.9,234.62,0.25%,547483,11/15/2021 4:30:00 PM,254.38,11/29/2001,234.0,-0.26%,63.0,81,1.17,234.62,231.64,225.82,205.15,143.15,243.05,17.0,8.42,53.666666666666664,True
24,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,2499.27,5.08,6.7,0.51,0.66,0.96,,3.39,,0.00%,17.07,218.90%,-26.13%,115.40%,10.00%,12.00%,40.70%,25.50%,29.02,27.16,0.60%,-19.51%,,,13.42%,6.56,8.20%,20.50%,7.80%,0.8,0.8,0.64,0.9,57.00%,16.90%,13.20%,0.38%,2.95%,17.12%,16.79%,55.47%,58.95%,1.12,2.87,2.46%,2.91%,-2.13%,2.20%,19.18%,-8.75%,13.04%,-8.75%,72.62%,48.71,0.09%,-0.71%,2.0,555.92,0.77,86.69,-0.62%,430068,11/3/2021 8:30:00 AM,105.57,7/21/2004,86.69,0.00%,69.0,84,1.22,86.69,88.73,84.85,72.89,50.22,95.0,27.0,21.78,60.0,True
59,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,1194.34,54.23,13.64,2.49,1.94,7.47,,26.25,,0.00%,0.24,38.40%,25.07%,,21.74%,,39.50%,43.20%,94.0,59.8,5.30%,-9.45%,64.90%,-0.50%,2.72%,7.55,3.90%,15.90%,-1.70%,3.0,3.0,1.89,2.0,32.90%,6.70%,3.70%,3.81%,-4.81%,16.18%,2.51%,32.69%,29.41%,1.18,0.56,3.86%,3.83%,2.28%,3.59%,8.83%,-7.27%,11.61%,-7.27%,48.19%,54.68,0.77%,-1.44%,2.2,215.73,0.75,13.07,-0.68%,160933,11/3/2021 4:30:00 PM,17.1,8/24/2017,13.07,0.00%,63.0,78,1.12,13.07,12.76,12.63,12.02,8.82,14.1,37.0,30.83,59.333333333333336,True
79,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,2265.24,29.11,18.9,1.46,3.91,4.32,8.36,23.0,,0.00%,2.26,190.80%,30.19%,24.70%,20.00%,9.50%,155.80%,60.10%,33.54,32.68,2.50%,-5.94%,89.40%,0.81%,2.20%,2.11,11.80%,15.70%,9.80%,4.2,2.7,0.09,0.09,43.20%,16.40%,13.40%,2.91%,5.97%,35.19%,58.64%,133.10%,126.13%,1.49,3.21,5.65%,4.63%,3.95%,17.32%,45.24%,-5.64%,45.88%,-5.64%,137.21%,60.72,-4.25%,-0.20%,1.8,340.79,0.96,65.85,-4.44%,326329,11/3/2021 4:30:00 PM,68.5,7/11/2000,65.85,0.00%,75.0,96,1.86,65.85,63.62,56.51,45.48,27.76,69.79,20.0,4.02,63.666666666666664,True
80,ACM,AECOM,Industrials,Engineering & Construction,USA,10446.3,37.07,18.9,2.03,0.78,3.87,8.5,18.38,,0.00%,1.97,83.70%,15.42%,26.20%,18.29%,-5.20%,,-6.00%,143.81,140.52,0.20%,-17.23%,88.60%,-0.84%,1.46%,2.29,1.40%,6.20%,11.00%,1.1,1.1,0.8,0.82,6.00%,4.70%,1.30%,4.12%,2.36%,11.77%,12.95%,48.40%,46.65%,1.48,2.01,2.30%,2.58%,1.46%,6.60%,12.22%,-3.87%,17.93%,-3.87%,56.62%,56.52,-0.77%,-0.74%,1.6,896.44,0.96,73.0,-1.51%,861542,11/15/2021 8:30:00 AM,84.44,5/10/2007,72.98,-0.03%,81.0,82,1.18,73.0,72.07,68.66,65.12,46.61,75.94,19.0,15.67,60.666666666666664,True
132,ADTN,"ADTRAN, Inc.",Technology,Communication Equipment,USA,1024.78,679.35,32.15,295.37,1.9,2.82,13.12,,1.71%,997.50%,0.03,104.40%,151.92%,-33.00%,2.30%,-3.30%,-289.50%,3.80%,48.61,48.14,1.50%,0.34%,93.10%,-0.83%,3.31%,4.74,0.30%,0.50%,-0.30%,2.6,1.7,0.0,0.0,40.40%,-2.00%,0.30%,4.88%,0.72%,7.45%,-1.36%,45.04%,42.59%,1.31,0.85,4.23%,3.81%,0.18%,6.92%,6.80%,-6.81%,20.83%,-14.94%,51.84%,55.19,0.72%,0.00%,2.0,336.31,1.21,21.06,0.72%,405506,11/1/2021 4:30:00 PM,26.67,8/10/1994,21.06,0.00%,69.0,80,1.15,21.06,21.06,19.75,19.74,13.87,24.76,25.0,26.64,58.0,True
273,ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA,31305.78,136.23,43.89,4.57,9.45,5.29,52.61,,0.61%,80.70%,1.89,-29.90%,46.14%,5.40%,29.83%,2.10%,-465.10%,11.20%,116.97,116.5,0.10%,-39.26%,83.00%,-2.37%,1.80%,1.74,2.00%,3.90%,5.60%,1.3,0.8,0.36,0.36,31.00%,27.80%,6.40%,-1.50%,-6.23%,6.76%,51.29%,80.62%,74.53%,1.59,11.07,4.86%,3.96%,-4.21%,3.00%,29.84%,-11.67%,22.32%,-11.67%,92.40%,47.32,-1.52%,-1.21%,2.4,1205.24,0.56,257.47,-2.71%,677029,11/3/2021 4:30:00 PM,262.9,2/22/1994,257.48,0.00%,56.0,91,1.43,257.47,268.38,250.74,198.82,133.82,291.48,20.0,2.11,55.666666666666664,True
330,AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,USA,7890.75,,107.48,,25.97,15.06,17.57,522.57,,,-0.83,-27.30%,22.79%,-22.50%,,-6.80%,54.10%,58.30%,36.44,34.76,5.20%,-4.11%,84.10%,3.50%,3.88%,1.69,-9.50%,-11.40%,-13.40%,6.2,5.8,0.0,0.0,62.10%,-18.40%,-18.20%,3.75%,3.03%,40.15%,105.57%,141.79%,126.39%,1.12,14.6,8.45%,6.69%,8.53%,15.53%,66.46%,-8.66%,41.89%,-8.66%,151.69%,59.4,-3.36%,-0.80%,2.3,799.71,0.74,207.87,-4.14%,595359,11/30/2021 4:30:00 PM,210.81,10/10/2012,208.52,0.31%,59.0,96,1.8,207.87,192.71,180.99,125.35,82.59,227.59,13.0,1.41,56.0,True
337,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA,174494.88,42.76,41.47,1.21,11.75,23.49,48.36,58.87,,0.00%,3.23,604.70%,26.38%,34.80%,35.32%,19.60%,133.20%,54.00%,1214.0,1202.52,0.50%,-18.94%,70.50%,0.96%,6.28%,1.45,38.90%,59.90%,40.90%,2.2,1.7,0.0,0.04,46.80%,19.90%,26.70%,-8.35%,-7.27%,31.27%,69.84%,53.73%,50.58%,1.93,7.93,5.29%,4.88%,-8.02%,5.87%,38.48%,-16.03%,38.36%,-16.03%,90.48%,45.25,-4.90%,-0.02%,2.3,51955.64,1.02,138.1,-4.92%,52938221,10/26/2021 4:30:00 PM,141.5,10/15/1979,138.71,0.44%,59.0,82,1.18,138.1,150.05,131.2,100.0,72.5,164.46,13.0,2.46,51.333333333333336,True
348,AMN,"AMN Healthcare Services, Inc.",Healthcare,Medical Care Facilities,USA,5336.42,24.11,18.05,1.25,1.64,5.07,38.95,24.47,,0.00%,4.59,-38.10%,-13.35%,-2.40%,19.35%,10.30%,181.60%,59.10%,47.74,46.88,0.30%,-17.62%,96.60%,-0.08%,1.86%,1.76,8.50%,23.70%,7.60%,1.4,1.4,0.81,0.81,33.30%,10.40%,6.80%,-1.54%,5.58%,-2.61%,15.70%,62.40%,62.29%,0.26,4.95,3.32%,3.63%,-2.20%,1.53%,14.49%,-11.12%,18.66%,-11.12%,66.06%,49.02,-1.65%,-0.61%,1.7,493.44,0.44,110.76,-2.25%,215173,11/4/2021 4:30:00 PM,133.33,11/13/2001,110.08,-0.61%,78.0,85,1.24,110.76,113.54,109.07,96.93,66.7,124.62,20.0,20.38,61.0,True
351,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,USA,33909.79,16.04,12.07,0.64,2.63,6.06,4.35,269.13,1.52%,22.90%,18.54,-12.30%,10.68%,7.60%,25.18%,-0.40%,859.90%,-3.60%,116.4,111.63,0.30%,-18.73%,85.10%,-1.95%,2.07%,4.46,1.30%,39.30%,6.00%,,,0.88,4.19,42.30%,22.20%,17.40%,0.53%,-2.57%,11.48%,15.00%,53.88%,53.01%,1.61,7.4,2.13%,2.33%,-0.73%,1.21%,13.44%,-4.74%,13.11%,-4.74%,62.64%,50.28,-0.49%,-0.59%,1.9,518.76,0.86,297.35,-1.07%,445631,10/26/2021 4:30:00 PM,338.22,9/15/2005,296.5,-0.29%,72.0,83,1.21,297.35,299.15,294.32,262.48,182.83,312.15,26.0,13.74,60.333333333333336,True
358,AMRC,"Ameresco, Inc.",Industrials,Engineering & Construction,USA,4534.7,63.6,44.63,3.87,4.07,6.27,79.42,,,0.00%,1.28,18.30%,27.94%,127.30%,16.45%,10.40%,-18.80%,-3.10%,51.46,30.99,3.10%,-22.53%,86.70%,2.22%,4.33%,3.96,3.50%,10.80%,8.20%,1.4,1.4,0.49,0.6,19.50%,7.90%,5.90%,-7.08%,-11.56%,17.12%,36.73%,93.24%,56.07%,0.62,4.69,5.53%,4.71%,-10.00%,2.64%,28.99%,-19.96%,43.09%,-19.96%,116.26%,41.03,-2.93%,-0.94%,1.7,339.08,0.46,81.53,-3.84%,156569,11/1/2021 4:30:00 PM,88.18,7/22/2010,81.53,0.00%,78.0,93,1.51,81.53,90.03,79.89,63.33,37.7,101.86,30.0,8.16,67.0,True
369,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,USA,899.42,21.0,15.52,,3.65,1.4,4.2,21.99,,0.00%,1.47,-103.50%,19.76%,-16.20%,,4.60%,,-0.80%,37.13,18.07,1.30%,-7.26%,40.70%,6.52%,2.46%,5.63,0.70%,7.00%,21.20%,,,0.15,0.15,,,22.70%,3.88%,4.02%,20.58%,36.23%,92.97%,102.37%,1.36,1.21,3.64%,3.78%,2.14%,10.11%,32.87%,-5.85%,29.90%,-5.85%,125.69%,59.14,0.03%,-1.03%,2.2,78.8,0.77,30.76,-1.00%,60416,,33.0,8/29/2018,30.76,0.00%,63.0,93,1.51,30.76,30.19,28.06,23.22,13.63,32.67,15.0,7.28,57.0,True
384,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,USA,40213.97,52.26,37.36,2.86,14.51,10.24,11.87,43.98,,0.00%,2.46,-24.90%,24.11%,36.70%,18.27%,22.60%,32.20%,23.70%,307.46,225.41,0.10%,-88.82%,65.90%,0.96%,1.70%,1.84,15.50%,21.90%,17.90%,5.1,4.4,0.0,0.0,63.90%,30.80%,28.30%,4.36%,-3.15%,46.65%,41.39%,85.40%,77.11%,1.17,4.76,3.14%,2.87%,1.02%,14.74%,40.27%,-4.08%,51.04%,-4.08%,96.37%,61.51,1.13%,1.39%,2.3,2080.88,1.16,128.66,2.53%,2417861,11/1/2021 4:30:00 PM,127.24,6/6/2014,129.99,1.03%,59.0,92,1.46,128.66,127.27,112.97,92.02,65.52,134.14,17.0,-1.1,56.0,True
441,APTS,"Preferred Apartment Communities, Inc.",Real Estate,REIT - Residential,USA,741.24,,,,1.59,0.68,13.58,6.8,5.08%,,-3.06,-154.30%,34.00%,-48.80%,7.00%,35.70%,-15.10%,-12.30%,52.45,51.54,0.90%,-0.06%,53.10%,5.71%,1.78%,2.52,-3.80%,-11.90%,-2.10%,,,2.24,2.24,73.50%,22.60%,-33.40%,2.84%,-3.84%,17.09%,24.05%,66.10%,86.08%,1.15,0.5,2.63%,3.43%,-0.55%,5.60%,23.41%,-5.43%,15.04%,-5.43%,95.60%,53.74,-1.22%,-0.50%,2.3,362.66,0.6,13.77,-1.71%,216273,11/8/2021 4:30:00 PM,14.04,4/1/2011,13.77,0.00%,59.0,89,1.33,13.77,13.84,13.06,11.18,7.04,14.56,13.0,1.96,53.666666666666664,True
451,AQUA,Evoqua Water Technologies Corp.,Industrials,Pollution & Treatment Controls,USA,5658.69,111.56,48.61,6.91,3.86,9.71,38.71,54.73,,0.00%,0.42,-56.00%,19.92%,32.00%,16.14%,5.20%,-16.00%,11.00%,121.25,119.12,0.40%,-25.20%,,-0.80%,1.28%,1.81,2.80%,9.60%,3.70%,1.7,1.3,1.26,1.3,31.50%,4.20%,3.50%,0.76%,3.03%,22.71%,44.61%,92.47%,72.42%,1.84,1.67,2.81%,3.93%,0.61%,9.31%,34.92%,-5.79%,26.14%,-5.79%,111.45%,55.18,-1.44%,-0.80%,2.2,843.28,0.59,46.52,-2.23%,499462,11/16/2021 8:30:00 AM,47.8,11/2/2017,46.52,0.00%,63.0,93,1.52,46.52,46.31,42.71,34.59,22.0,49.38,13.0,2.75,56.333333333333336,True
459,ARCB,ArcBest Corporation,Industrials,Trucking,USA,2729.64,16.66,11.99,0.72,0.76,2.85,5.83,12.5,0.30%,4.80%,6.41,78.10%,14.49%,10.00%,23.30%,2.00%,115.20%,27.90%,25.63,25.15,0.70%,-4.67%,92.60%,-0.45%,6.44%,4.11,9.40%,19.40%,6.90%,1.5,1.5,0.18,0.25,77.00%,6.20%,4.80%,2.82%,-4.55%,57.81%,77.55%,141.21%,150.08%,1.53,5.41,4.12%,4.32%,-0.84%,8.85%,40.59%,-8.63%,43.23%,-8.63%,158.88%,54.89,1.49%,-0.28%,1.9,393.94,0.8,106.71,1.20%,313456,11/2/2021 8:30:00 AM,127.56,5/13/1992,106.71,0.00%,72.0,96,1.89,106.71,107.61,98.63,76.14,41.22,116.79,25.0,19.54,64.33333333333333,True
521,ASGN,ASGN Incorporated,Industrials,Staffing & Employment Services,USA,6719.78,30.9,21.95,3.09,1.69,3.66,9.89,20.18,,0.00%,4.13,14.80%,10.16%,22.80%,10.00%,13.90%,40.90%,18.70%,52.7,50.52,0.80%,-30.92%,99.40%,0.16%,1.00%,2.19,11.10%,22.40%,9.20%,2.4,2.4,0.56,0.56,27.90%,8.50%,9.60%,3.52%,0.04%,13.80%,25.68%,52.12%,52.65%,2.05,3.18,2.12%,2.48%,1.70%,4.60%,18.99%,-2.66%,12.73%,-2.66%,60.37%,56.34,0.30%,-1.00%,2.1,231.62,0.74,127.51,-0.70%,171765,10/27/2021 4:30:00 PM,124.8,9/22/1992,127.51,0.00%,66.0,83,1.19,127.51,125.47,122.15,107.33,79.51,131.0,18.0,-2.13,55.666666666666664,True
525,ASIX,AdvanSix Inc.,Basic Materials,Chemicals,USA,1328.12,9.33,9.41,0.93,0.83,2.3,184.46,7.36,1.08%,2.50%,4.96,14.40%,0.90%,-4.80%,10.00%,-2.70%,228.00%,58.40%,28.18,27.38,1.60%,-0.09%,86.70%,1.68%,1.71%,1.9,11.30%,28.50%,7.50%,1.1,0.6,0.24,0.0,17.00%,11.90%,8.90%,2.12%,-7.16%,22.35%,51.08%,125.11%,131.42%,1.77,1.66,2.95%,3.14%,-2.43%,0.28%,31.93%,-9.21%,17.65%,-9.21%,142.71%,49.12,1.16%,-0.97%,1.5,246.57,0.71,46.26,0.17%,174481,10/29/2021 8:30:00 AM,58.0,9/15/2016,46.26,0.00%,84.0,96,1.79,46.26,47.3,46.25,35.16,19.06,50.95,17.0,25.38,65.66666666666667,True
557,ATEN,"A10 Networks, Inc.",Technology,Software - Infrastructure,USA,1185.81,13.22,22.4,0.66,4.9,5.77,6.33,22.12,1.31%,0.00%,1.15,195.10%,13.90%,18.50%,20.00%,2.80%,,15.50%,77.15,63.91,1.60%,-67.72%,87.90%,1.66%,1.98%,1.34,29.40%,64.70%,14.10%,2.6,2.4,0.0,0.0,78.20%,12.10%,38.00%,0.33%,-7.92%,10.92%,45.05%,86.87%,54.46%,1.04,0.84,3.93%,4.94%,-3.64%,2.23%,26.90%,-20.05%,20.11%,-20.05%,97.28%,48.17,0.93%,-0.13%,1.7,945.23,0.86,15.23,0.79%,809952,10/28/2021 4:30:00 PM,19.67,3/21/2014,15.23,0.00%,78.0,93,1.52,15.23,15.76,14.93,12.03,7.72,19.05,15.0,29.15,62.0,True
570,ATKR,Atkore Inc.,Industrials,Specialty Industrial Machinery,USA,5136.91,9.03,12.88,0.35,1.75,5.87,8.91,10.1,,0.00%,12.22,293.10%,-13.35%,67.10%,25.85%,14.00%,283.90%,93.50%,45.96,45.53,0.90%,-14.35%,96.60%,-1.10%,2.21%,2.36,30.50%,90.50%,38.10%,2.7,2.2,0.88,0.0,38.40%,27.70%,19.70%,0.30%,5.49%,26.14%,49.03%,156.74%,168.55%,2.43,4.91,3.80%,4.53%,1.87%,11.53%,32.51%,-6.83%,32.18%,-6.83%,178.44%,56.6,0.36%,-1.20%,2.2,425.28,0.94,110.4,-0.84%,401611,11/18/2021 8:30:00 AM,126.25,6/10/2016,110.4,0.00%,63.0,97,1.97,110.4,108.83,99.35,83.53,39.65,118.49,15.0,14.36,58.333333333333336,True
634,AVID,"Avid Technology, Inc.",Communication Services,Electronic Gaming & Multimedia,USA,1493.35,45.5,21.55,3.03,3.78,,29.57,24.36,,0.00%,0.72,41.00%,24.47%,32.00%,15.00%,-6.50%,78.30%,12.40%,45.56,41.97,6.30%,-5.20%,76.80%,0.26%,3.34%,3.44,12.40%,-25.40%,40.00%,1.0,0.8,,,64.00%,12.10%,8.40%,-0.43%,19.89%,28.32%,-10.71%,147.69%,105.86%,1.22,1.78,4.37%,5.31%,-2.37%,5.79%,13.15%,-10.20%,25.03%,-19.29%,153.06%,51.8,-2.80%,-1.06%,2.4,408.06,0.39,32.67,-3.83%,157903,11/9/2021 4:30:00 PM,42.5,3/12/1993,32.67,0.00%,56.0,97,1.91,32.67,33.49,30.97,28.94,12.91,40.48,39.0,30.09,64.0,True
639,AVNT,Avient Corporation,Basic Materials,Specialty Chemicals,USA,5135.66,18.42,15.93,1.41,1.11,2.85,9.42,32.28,1.54%,27.90%,2.99,49.70%,14.43%,-2.70%,13.10%,2.10%,201.80%,31.90%,91.4,90.33,1.10%,-1.10%,94.70%,0.29%,1.32%,3.18,5.60%,15.90%,5.20%,1.9,1.4,1.05,1.05,24.30%,8.10%,6.00%,-3.50%,-6.50%,16.50%,7.64%,41.38%,36.74%,1.65,1.73,3.16%,2.73%,-5.45%,1.15%,9.30%,-10.38%,21.09%,-10.38%,50.14%,43.45,-1.11%,-1.14%,1.6,373.2,1.27,55.08,-2.24%,474889,10/28/2021 8:30:00 AM,63.4,9/1/2000,55.08,0.00%,81.0,77,1.11,55.08,58.11,54.61,50.45,36.69,61.46,16.0,15.11,58.0,True
