no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,12147.86,29.12,9.16,,1.0,3.1,8.37,,0.62%,0.00%,2.21,85.00%,-4.97%,28.00%,,-3.70%,769.80%,31.50%,187.0,185.26,0.10%,-72.78%,78.00%,0.62%,6.12%,1.42,3.00%,12.10%,5.00%,1.5,0.9,0.44,0.44,24.70%,8.10%,3.50%,11.88%,9.68%,38.49%,57.75%,206.54%,7.79%,2.29,3.28,5.07%,5.65%,7.24%,15.87%,40.87%,-0.23%,48.45%,-0.23%,223.53%,62.91,3.15%,-0.77%,1.9,7988.08,0.9,64.22,2.36%,7155377,1/19/2022 4:30:00 PM,66.3,10/18/2016,64.36,0.22%,72.0,100,2.65,64.22,60.17,55.73,45.74,20.22,65.6,14.0,3.24,62.0,True
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,245137.47,33.48,10.05,7.05,4.44,18.36,20.01,19.41,4.01%,120.40%,4.2,-48.50%,10.42%,-2.80%,4.75%,14.90%,37.60%,11.20%,1770.0,1765.83,0.10%,-22.86%,68.40%,0.11%,0.81%,2.08,5.00%,56.40%,12.70%,1.0,0.9,5.46,5.96,67.90%,30.10%,13.50%,1.98%,3.52%,20.15%,22.89%,29.36%,3.88%,0.77,2.95,2.35%,2.09%,3.66%,7.87%,19.28%,-0.75%,22.20%,-0.75%,37.82%,68.84,0.58%,-0.63%,2.0,6904.26,1.0,140.65,-0.06%,6871232,2/2/2022 8:30:00 AM,142.4,12/10/2012,140.64,-0.01%,69.0,86,1.14,140.65,135.96,130.82,118.07,102.05,142.8,13.0,1.24,56.0,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,27994.12,18.49,11.9,1.81,0.13,127.67,9.59,15.05,1.35%,23.50%,7.39,144.40%,7.42%,3.20%,10.22%,7.80%,108.70%,19.60%,207.91,148.76,0.20%,-46.54%,65.00%,-0.42%,1.26%,1.89,3.00%,-858.30%,24.30%,0.9,0.6,28.58,29.92,3.20%,1.10%,0.70%,-0.14%,3.10%,7.75%,13.24%,24.54%,2.80%,0.46,3.27,2.64%,2.53%,1.78%,6.24%,11.82%,-1.94%,20.17%,-1.94%,35.65%,59.38,0.29%,-1.20%,2.2,989.04,1.36,136.61,-0.92%,1342075,2/2/2022 8:30:00 AM,150.92,4/4/1995,136.65,0.03%,63.0,83,1.09,136.61,134.53,128.84,122.24,100.71,139.32,9.0,10.48,51.666666666666664,True
119,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,41395.96,15.83,14.74,2.4,0.49,1.94,38.22,,1.95%,35.50%,4.78,24.80%,1.20%,1.00%,6.60%,-1.00%,130.80%,34.50%,564.0,556.9,0.20%,-25.17%,81.10%,-0.07%,0.84%,1.72,4.50%,11.00%,3.60%,1.6,1.0,0.37,0.41,7.00%,2.30%,2.70%,-0.28%,10.35%,17.87%,25.58%,42.05%,12.01%,0.75,1.68,2.04%,2.27%,5.54%,11.69%,18.38%,-1.47%,22.51%,-1.47%,47.10%,68.99,-0.33%,0.38%,1.9,2714.56,0.89,75.71,0.05%,2404193,1/25/2022 8:30:00 AM,73.23,12/24/1924,75.32,-0.52%,72.0,91,1.22,75.71,72.06,67.96,64.04,53.14,76.84,23.0,-3.28,62.0,True
153,AEL,American Equity Investment Life Holding Company,Financial,Insurance - Life,USA,3917.25,11.73,8.59,,1.09,0.61,0.31,2.49,0.81%,8.90%,3.59,157.50%,49.53%,20.50%,,9.80%,-78.70%,-32.10%,92.48,90.82,0.30%,-12.84%,98.20%,0.04%,0.63%,1.29,0.50%,5.50%,-8.40%,,,0.09,0.09,,15.30%,9.50%,6.15%,3.92%,25.05%,28.48%,41.42%,8.25%,1.1,1.41,3.43%,3.58%,1.68%,8.67%,25.32%,-3.81%,28.02%,-3.81%,60.74%,60.91,3.39%,-0.10%,2.4,442.2,1.01,42.13,3.29%,445091,2/17/2022 4:30:00 PM,44.11,12/4/2003,42.3,0.40%,56.0,90,1.19,42.13,41.5,38.88,33.67,26.21,43.8,9.0,4.7,51.666666666666664,True
212,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,3759.89,15.87,15.46,5.29,4.44,0.64,37.23,,1.59%,24.40%,3.48,4.40%,0.99%,-10.00%,3.00%,-15.80%,-77.50%,-32.90%,72.7,66.33,0.10%,-22.72%,96.20%,0.00%,2.69%,3.94,1.60%,4.20%,4.30%,,,0.27,0.27,,34.50%,32.30%,5.60%,6.56%,-2.02%,13.38%,46.85%,10.08%,1.14,1.53,2.43%,3.03%,3.23%,8.34%,11.51%,-1.64%,22.96%,-2.97%,51.45%,63.46,1.69%,0.09%,1.7,452.91,0.52,55.26,1.79%,235107,11/4/2021 4:30:00 PM,61.0,4/23/2004,55.26,0.00%,78.0,93,1.26,55.26,53.64,51.03,49.6,37.27,56.95,37.0,10.39,69.33333333333333,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,50160.01,9.57,11.37,0.31,1.05,0.81,18.58,16.51,2.10%,19.90%,6.37,-286.60%,13.25%,-43.90%,30.69%,-5.80%,507.80%,25.60%,852.76,829.46,0.10%,-5.56%,93.30%,-0.33%,0.97%,1.62,0.90%,8.60%,-4.20%,,,0.49,0.49,,16.50%,11.70%,7.08%,4.81%,0.99%,19.71%,46.33%,7.26%,1.29,1.84,3.10%,3.38%,2.73%,6.94%,13.30%,-2.02%,17.99%,-2.48%,56.61%,60.68,2.78%,-0.25%,2.2,4979.27,0.84,60.99,2.52%,4165811,2/16/2022 4:30:00 PM,65.0,4/3/1972,60.99,0.00%,63.0,92,1.25,60.99,59.46,57.07,53.9,41.17,62.54,14.0,6.57,56.333333333333336,True
358,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,USA,35123.4,13.36,10.44,0.51,2.61,6.28,4.5,168.05,1.47%,47.40%,23.06,-12.30%,15.41%,7.60%,26.39%,-0.40%,859.90%,-3.60%,116.4,111.63,0.30%,-23.23%,85.20%,0.12%,0.82%,1.48,0.60%,18.70%,5.50%,,,0.88,4.19,47.50%,10.30%,7.90%,3.36%,-2.17%,0.46%,16.01%,45.98%,2.13%,1.49,9.73,2.68%,3.22%,-1.20%,1.37%,11.37%,-7.30%,10.55%,-7.30%,52.32%,50.64,1.21%,0.05%,1.8,620.69,1.26,308.1,1.27%,780730,1/26/2022 4:30:00 PM,361.2,9/15/2005,310.52,0.79%,75.0,92,1.25,308.1,311.3,304.03,276.98,210.94,332.37,22.0,17.23,63.0,True
361,AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,1150.84,34.63,16.88,1.39,2.79,2.79,10.04,25.86,,0.00%,0.72,-97.10%,12.95%,19.70%,25.00%,6.80%,651.50%,34.50%,48.02,36.61,0.80%,-25.43%,59.70%,0.22%,5.38%,7.77,5.60%,8.70%,1.70%,3.1,2.1,0.18,0.18,43.70%,15.00%,8.70%,-3.91%,8.49%,26.72%,23.29%,31.31%,7.51%,0.62,1.13,8.29%,4.81%,0.37%,8.94%,22.99%,-5.47%,30.35%,-5.47%,48.08%,54.59,-1.30%,-0.28%,2.5,253.66,1.01,25.04,-1.57%,256363,,28.25,6/25/2014,25.04,0.00%,53.0,87,1.15,25.04,25.04,23.06,20.4,16.91,26.49,11.0,12.82,50.333333333333336,True
377,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,USA,1293.56,11.56,14.72,,5.22,1.6,6.04,22.38,0.17%,0.00%,3.03,-103.50%,15.39%,-16.20%,,4.60%,900.60%,-0.80%,37.13,20.0,0.80%,-10.30%,32.20%,0.84%,1.70%,2.48,0.50%,5.10%,20.10%,,,0.15,0.15,,88.40%,16.40%,3.40%,2.85%,28.70%,49.74%,124.52%,1.24%,1.34,1.46,3.93%,4.27%,1.90%,5.81%,33.49%,-4.74%,25.24%,-4.74%,128.63%,56.18,1.19%,0.20%,1.8,136.93,0.59,34.98,1.39%,80754,1/20/2022 8:30:00 AM,36.92,8/29/2018,34.98,0.00%,75.0,98,1.85,34.98,34.34,33.14,26.29,15.56,36.72,15.0,5.55,62.666666666666664,True
