,0
0,A
1,AA
2,AAL
3,AAP
4,AAPL
5,ABBV
6,ABC
7,ABMD
8,ABT
9,ACC
10,ACGL
11,ACHC
12,ACI
13,ACM
14,ACN
15,ADBE
16,ADI
17,ADM
18,ADP
19,ADPT
20,ADS
21,ADSK
22,ADT
23,AEE
24,AEP
25,AES
26,AFG
27,AFL
28,AGCO
29,AGL
30,AGNC
31,AGO
32,AGR
33,AI
34,AIG
35,AIRC
36,AIZ
37,AJG
38,AKAM
39,AL
40,ALB
41,ALGM
42,ALGN
43,ALK
44,ALL
45,ALLE
46,ALLY
47,ALNY
48,ALSN
49,AM
50,AMAT
51,AMBP
52,AMCR
53,AMD
54,AME
55,AMED
56,AMG
57,AMGN
58,AMH
59,AMP
60,AMT
61,AMZN
62,AN
63,ANET
64,ANSS
65,ANTM
66,AON
67,AOS
68,APA
69,APD
70,APH
71,APO
72,APTV
73,ARE
74,ARES
75,ARMK
76,ARW
77,ASH
78,ATO
79,ATR
80,ATUS
81,ATVI
82,AVB
83,AVGO
84,AVLR
85,AVT
86,AVTR
87,AVY
88,AWI
89,AWK
90,AXON
91,AXP
92,AXS
93,AXTA
94,AYI
95,AYX
96,AZEK
97,AZO
98,AZPN
99,AZTA
100,BA
101,BAC
102,BAH
103,BAX
104,BBWI
105,BBY
106,BC
107,BDX
108,BEN
109,BEPC
110,BERY
111,BF-A
112,BF-B
113,BFAM
114,BG
115,BHF
116,BIIB
117,BILL
118,BIO
119,BK
120,BKI
121,BKNG
122,BKR
123,BLD
124,BLDR
125,BLK
126,BLL
127,BMRN
128,BMY
129,BOH
130,BOKF
131,BPOP
132,BR
133,BRK-B
134,BRKR
135,BRO
136,BRX
137,BSX
138,BSY
139,BURL
140,BWA
141,BWXT
142,BX
143,BXP
144,BYD
145,BYND
146,C
147,CABO
148,CACC
149,CACI
150,CAG
151,CAH
152,CARR
153,CASY
154,CAT
155,CB
156,CBOE
157,CBRE
158,CBSH
159,CC
160,CCI
161,CCK
162,CCL
163,CDAY
164,CDK
165,CDNS
166,CDW
167,CE
168,CEG
169,CERN
170,CERT
171,CF
172,CFG
173,CFR
174,CFX
175,CG
176,CGNX
177,CHD
178,CHDN
179,CHE
180,CHGG
181,CHH
182,CHNG
183,CHPT
184,CHRW
185,CHTR
186,CI
187,CIEN
188,CINF
189,CL
190,CLF
191,CLH
192,CLR
193,CLVT
194,CLX
195,CMA
196,CMCSA
197,CME
198,CMG
199,CMI
200,CMS
201,CNA
202,CNC
203,CNM
204,CNP
205,CNXC
206,COF
207,COHR
208,COLD
209,COLM
210,COMM
211,CONE
212,COO
213,COP
214,COST
215,COTY
216,COUP
217,CPA
218,CPB
219,CPRI
220,CPRT
221,CPT
222,CR
223,CRI
224,CRL
225,CRM
226,CRUS
227,CRWD
228,CSCO
229,CSGP
230,CSL
231,CSX
232,CTAS
233,CTLT
234,CTRA
235,CTSH
236,CTVA
237,CTXS
238,CUBE
239,CUZ
240,CVAC
241,CVNA
242,CVS
243,CVX
244,CW
245,CZR
246,D
247,DAL
248,DAR
249,DASH
250,DBX
251,DCI
252,DCT
253,DD
254,DDOG
255,DE
256,DECK
257,DEI
258,DELL
259,DFS
260,DG
261,DGX
262,DH
263,DHI
264,DHR
265,DIS
266,DISCA
267,DISCK
268,DISH
269,DKNG
270,DKS
271,DLB
272,DLR
273,DLTR
274,DNB
