no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,30423.34,19.13,12.73,1.85,0.14,126.98,8.59,16.92,1.25%,22.80%,7.7,144.40%,7.22%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-43.57%,65.90%,1.40%,1.30%,1.82,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,3.79%,8.25%,27.20%,17.86%,40.51%,10.84%,0.45,3.4,2.25%,2.22%,4.41%,8.09%,18.63%,1.08%,16.34%,1.08%,44.64%,69.49,2.65%,-1.35%,1064.59,1.0,147.3,1.26%,1059441.0,2/2/2022 8:30:00 AM,153.92,4/4/1995,147.53,0.16%,63.0,91,1.22,147.3,141.55,136.67,124.31,105.57,147.5,12.0,4.49,55.333333333333336,True
61,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,1265.16,56.51,13.97,2.6,2.05,7.78,,27.81,,0.00%,0.24,38.40%,27.62%,,21.74%,,39.50%,43.20%,94.0,59.82,5.70%,-8.47%,65.30%,1.11%,2.68%,6.56,3.90%,15.90%,-1.70%,3.0,3.0,1.89,2.0,32.90%,6.70%,3.70%,0.67%,3.97%,8.18%,14.65%,22.70%,4.61%,1.13,0.46,3.84%,3.25%,2.68%,5.43%,10.44%,-2.99%,17.11%,-3.37%,35.52%,56.7,2.79%,-1.49%,244.18,0.61,13.62,1.26%,148731.0,3/9/2022 4:30:00 PM,17.0,8/24/2017,13.62,0.00%,63.0,84,1.09,13.62,13.3,12.93,12.34,10.05,14.1,35.0,24.82,60.666666666666664,True
211,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,4016.04,11.14,13.7,3.71,4.9,0.66,33.47,,1.66%,16.10%,5.41,25.00%,18.97%,-4.40%,3.00%,-13.60%,106.20%,-8.90%,69.3,62.4,3.50%,-5.93%,97.20%,-4.46%,3.03%,3.95,2.30%,6.10%,5.80%,,,0.27,0.27,,63.80%,47.40%,-5.23%,10.62%,22.16%,25.20%,38.10%,20.14%,1.09,2.14,3.53%,3.10%,3.64%,10.54%,19.47%,-5.74%,30.17%,-5.74%,46.74%,58.03,1.41%,-2.19%,478.78,0.88,60.31,-0.81%,419763.0,2/24/2022 4:30:00 PM,62.67,4/23/2004,60.31,0.00%,78.0,90,1.21,60.31,58.5,54.81,50.55,41.1,63.98,36.0,3.91,68.0,True
367,AMRK,"A-Mark Precious Metals, Inc.",Financial,Capital Markets,USA,887.5,4.24,11.16,,0.11,2.14,45.75,5.27,,0.00%,17.88,312.90%,-13.72%,68.70%,,2.30%,125.40%,28.20%,11.38,8.61,6.50%,-12.26%,44.00%,2.40%,2.61%,2.49,15.40%,51.30%,17.20%,1.5,0.6,0.23,1.18,3.40%,2.70%,2.30%,7.46%,17.83%,19.75%,58.58%,176.78%,24.04%,-0.52,3.14,4.30%,4.52%,6.99%,18.33%,30.46%,-2.92%,39.17%,-6.35%,180.94%,64.46,-2.11%,-0.45%,90.13,1.19,75.79,-2.55%,107521.0,2/8/2022 4:30:00 PM,93.5,3/17/2014,75.79,0.00%,69.0,99,2.15,75.79,71.47,64.38,58.9,28.13,80.93,55.0,23.37,74.33333333333333,True
407,ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,USA,113177.97,19.29,14.79,1.5,0.82,3.2,23.19,18.33,0.95%,18.10%,24.72,37.60%,13.23%,21.80%,12.86%,10.30%,111.10%,15.20%,242.3,239.89,0.20%,-1.30%,92.30%,-0.99%,0.92%,2.01,6.30%,17.40%,11.70%,,,0.59,0.64,,6.30%,4.40%,5.10%,7.36%,19.29%,24.52%,42.94%,2.87%,1.04,12.54,2.96%,2.63%,5.32%,5.77%,16.71%,1.02%,13.34%,1.02%,51.32%,65.71,3.45%,-1.72%,1092.8,1.13,476.84,1.67%,1234598.0,1/26/2022 8:30:00 AM,490.38,10/30/2001,477.29,0.09%,72.0,92,1.25,476.84,453.99,451.42,408.98,329.75,477.47,20.0,2.84,61.333333333333336,True
447,APR,"Apria, Inc.",Healthcare,Medical Instruments & Supplies,USA,1332.26,18.67,19.91,,1.17,33.36,6.07,14.34,,0.00%,2.0,29.90%,5.99%,43.80%,,1.50%,-39.60%,0.90%,35.52,34.71,1.40%,-95.18%,88.97%,-1.11%,5.06%,2.77,9.00%,569.50%,17.50%,1.1,1.1,8.59,9.51,70.40%,8.50%,5.70%,0.03%,0.16%,26.09%,-0.88%,73.04%,14.60%,,0.12,0.37%,0.30%,0.19%,4.42%,13.40%,-0.85%,26.22%,-6.60%,84.49%,65.05,0.05%,-0.11%,633.29,0.54,37.36,-0.05%,343831.0,,38.33,2/11/2021,37.36,0.00%,75.0,97,1.54,37.36,37.29,35.91,32.98,21.34,40.0,10.0,2.6,60.666666666666664,True
465,AQUA,Evoqua Water Technologies Corp.,Industrials,Pollution & Treatment Controls,USA,5259.5,105.36,38.2,4.05,3.49,8.57,34.49,44.5,,0.00%,0.41,-56.00%,23.56%,32.00%,25.99%,5.20%,-9.40%,13.70%,120.63,119.56,1.20%,0.00%,,-1.13%,2.14%,2.92,2.70%,9.10%,3.70%,1.7,1.3,1.19,1.24,31.60%,4.10%,3.40%,-1.66%,1.43%,-7.58%,8.88%,76.47%,-8.73%,1.81,1.63,3.57%,3.43%,-0.66%,0.16%,9.18%,-12.00%,16.27%,-13.59%,93.95%,50.45,-0.77%,-1.19%,876.98,0.59,42.67,-1.95%,516785.0,2/1/2022 8:30:00 AM,47.9,11/2/2017,42.55,-0.28%,63.0,97,1.54,42.67,43.01,42.55,39.15,23.55,49.38,16.0,12.26,58.666666666666664,True
466,AR,Antero Resources Corporation,Energy,Oil & Gas E&P,USA,7546.69,,7.91,,1.63,1.39,,4.65,,,-0.63,87.00%,-9.41%,26.80%,,22.90%,,82.90%,313.98,274.96,1.70%,-10.53%,77.00%,-0.52%,8.15%,2.85,-1.40%,-3.40%,-0.60%,0.3,0.3,0.37,0.37,72.40%,-2.70%,-4.00%,12.23%,16.02%,55.28%,64.85%,157.29%,45.26%,4.08,1.25,4.08%,5.57%,19.09%,28.58%,49.72%,2.87%,59.07%,2.87%,194.21%,73.09,5.65%,0.33%,7851.7,1.22,25.42,6.01%,9543680.0,2/16/2022 4:30:00 PM,29.19,10/10/2013,25.42,0.00%,63.0,99,2.28,25.42,21.57,19.92,17.04,8.64,25.52,18.0,14.83,60.0,True
523,ARTNA,Artesian Resources Corporation,Utilities,Utilities - Regulated Water,USA,458.09,27.59,25.24,6.9,5.09,2.66,763.49,,2.16%,57.60%,1.79,12.20%,8.29%,7.40%,4.00%,2.70%,-0.70%,1.20%,9.4,8.39,4.58%,-1.11%,53.30%,1.88%,0.81%,2.75,2.80%,9.80%,6.50%,0.4,0.4,0.82,0.99,,31.10%,18.70%,5.68%,6.59%,15.64%,26.78%,27.96%,6.78%,0.05,1.46,3.13%,2.88%,5.98%,7.39%,19.60%,0.41%,14.99%,0.41%,37.80%,71.51,1.37%,-0.65%,24.89,0.86,49.47,0.71%,21452.0,,55.0,5/24/1996,49.47,0.00%,84.0,88,1.14,49.47,46.82,46.14,41.41,35.9,49.55,17.0,11.18,63.0,True
584,ATI,Allegheny Technologies Incorporated,Industrials,Metal Fabrication,USA,3333.88,,17.57,,1.19,4.84,4.85,,,,-0.34,97.60%,56.11%,45.00%,-4.50%,-2.20%,97.40%,16.30%,127.4,126.48,1.10%,0.00%,,-0.63%,14.76%,8.01,-0.90%,-7.00%,4.10%,2.7,1.5,2.5,2.69,11.90%,4.70%,-1.40%,2.32%,18.30%,78.67%,44.48%,28.58%,63.53%,1.38,1.13,4.76%,4.40%,7.56%,26.50%,36.09%,-3.34%,71.55%,-3.34%,88.09%,72.53,0.81%,-1.22%,2329.21,0.82,26.05,-0.42%,1913018.0,2/2/2022 8:30:00 AM,28.25,5/2/1966,26.05,0.00%,63.0,86,1.11,26.05,24.4,20.8,19.16,13.85,26.95,12.0,8.45,53.666666666666664,True
