"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Gross Margin","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research",48221.72,50.28,0.48%,12.00%,5.70%,303.00,0.10%,-25.37%,91.30%,1.16%,1.53%,53.60%,20.40%,0.99%,4.27%,-1.00%,23.95%,46.36%,36.21%,0.99,2.08%,2.12%,0.29%,11.32%,-9.94%,10.42%,-10.04%,53.57%,56.68,,161.54,0.09%,869961,175.88
"AA","Alcoa Corporation","Basic Materials","Aluminum",8895.31,11.22,0.83%,28.00%,-3.70%,187.00,0.10%,-17.99%,78.10%,-0.83%,4.51%,22.00%,12.60%,2.03%,-15.79%,16.17%,33.26%,172.93%,109.11%,2.41,4.69%,-1.24%,-2.15%,24.56%,-16.76%,7.73%,-16.76%,180.07%,48.07,1.80,47.92,-0.58%,5355218,58.85
"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,,1.04%,4.84%,3.57%,-1.13%,-2.13%,-2.85%,,0.71%,2.95%,4.53%,4.13%,-0.08%,8.38%,-4.53%,11.20%,67.65,,18.56,0.87%,286839,
"AAC","Ares Acquisition Corporation","Financial","Shell Companies",1227.47,101.34,,,,124.87,,,59.30%,0.82%,0.08%,,,0.20%,0.72%,1.24%,0.41%,,-0.41%,,0.38%,-0.11%,0.32%,0.32%,-0.46%,1.19%,-1.85%,3.32%,51.05,,9.81,-0.15%,94094,
"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services",67.42,,,-36.60%,-17.20%,33.68,18.70%,0.00%,16.70%,0.08%,0.16%,42.90%,-51.50%,-6.93%,-10.04%,-14.68%,-24.83%,91.96%,80.67%,1.68,6.15%,-10.89%,-14.80%,-37.67%,-31.44%,-4.47%,-89.62%,84.68%,31.39,1.00,2.05,-4.65%,20970,30.50
"AACI","ARMADA ACQUISITION CORP I","Financial","Shell Companies",,,,,,,25.41%,,,,,,,,,,,,0.00%,,,0.22%,0.22%,0.22%,-0.36%,0.67%,-0.36%,0.67%,,,9.78,0.36%,7133,
"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies",,,,,,,,,41.98%,,,,,-0.60%,0.61%,,,,1.22%,,0.33%,-0.21%,0.17%,0.17%,-1.10%,1.64%,-1.10%,1.64%,48.51,,9.92,0.00%,0,
"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology",520.89,,,30.90%,,20.87,0.10%,0.00%,14.60%,34.49%,1.35%,,,-2.84%,-3.32%,-22.45%,-23.84%,-8.61%,72.52%,1.42,5.93%,-2.87%,-7.57%,-3.50%,-22.76%,18.46%,-48.84%,78.04%,46.85,1.70,25.48,0.47%,88035,47.67
"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund",,,0.31%,,,,,,,,,,,-1.25%,-1.13%,-5.65%,-2.35%,14.17%,6.93%,,0.55%,-0.96%,-0.61%,-0.43%,-5.85%,4.43%,-6.35%,16.03%,46.40,,64.96,-0.23%,5214,
"AAIC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage",118.99,,,7.90%,,31.93,3.10%,2.61%,45.00%,-0.29%,0.84%,62.50%,,-2.60%,-4.82%,-0.27%,-6.02%,27.55%,-0.79%,1.76,1.57%,-3.03%,-1.99%,-4.87%,-7.43%,1.63%,-15.38%,28.08%,38.02,2.70,3.74,-0.27%,158405,4.62
