,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_sp500
10,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,138473.98,81.5,13.0,90,1.62,156.27,163.37,4.54,2.16%,18.76%,21.33%,28.29%,114.63%,81.08%,137.57,131.36,73.06,158.14,61.5,True
13,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,34155.56,84.0,25.0,80,1.29,307.68,333.78,8.48,0.24%,6.14%,14.49%,21.72%,66.42%,58.33%,284.13,255.62,179.77,311.18,63.0,True
21,APA,APA Corporation,Energy,Oil & Gas E&P,10741.92,71.5,14.0,94,2.0,29.61,32.73,10.54,-3.42%,12.29%,75.52%,36.64%,186.92%,108.67%,24.38,20.78,10.72,31.14,59.833333333333336,True
38,BAC,Bank of America Corporation,Financial,Banks - Diversified,389821.95,71.5,14.0,81,1.32,47.05,47.58,1.13,-0.61%,1.47%,14.50%,11.60%,74.26%,55.23%,44.36,40.54,26.63,48.69,55.5,True
61,CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,35029.28,79.0,16.0,81,1.33,104.59,123.33,17.92,-1.35%,3.07%,12.56%,22.13%,80.86%,66.76%,100.37,88.29,56.56,107.88,58.666666666666664,True
101,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,29328.72,86.5,24.0,97,2.54,43.18,47.69,10.44,-2.13%,7.68%,62.63%,68.10%,277.36%,181.17%,37.22,28.2,12.27,44.79,69.16666666666667,True
111,EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,37295.39,81.5,18.0,88,1.54,660.68,780.53,18.14,-7.92%,6.74%,6.50%,47.98%,98.18%,84.37%,630.42,515.36,311.82,725.4,62.5,True
126,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,19925.0,86.5,28.0,96,2.3,111.17,128.29,15.4,-3.92%,2.67%,54.66%,38.96%,230.86%,129.69%,99.91,84.16,34.7,117.71,70.16666666666667,True
132,FITB,Fifth Third Bancorp,Financial,Banks - Regional,30571.39,81.5,16.0,81,1.32,44.62,48.58,8.87,0.81%,2.34%,18.36%,6.21%,75.74%,61.84%,42.72,39.21,25.0,45.92,59.5,True
138,FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,53945.88,76.5,19.0,95,2.18,335.13,367.7,9.72,-4.57%,6.29%,12.22%,64.08%,189.10%,125.63%,316.08,246.86,115.17,355.35,63.5,True
173,JCI,Johnson Controls International plc,Industrials,Engineering & Construction,54347.71,79.0,22.0,82,1.35,78.33,83.39,6.46,5.18%,9.86%,7.30%,22.72%,75.43%,68.13%,72.87,66.75,44.11,79.12,61.0,True
181,KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,14876.74,74.0,19.0,75,1.22,23.87,25.07,5.03,2.36%,6.04%,11.75%,14.87%,67.86%,59.03%,22.37,20.79,14.03,24.95,56.0,True
189,LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,16922.77,94.0,17.0,76,1.24,58.87,65.89,11.92,2.33%,6.55%,17.60%,18.05%,63.35%,67.05%,53.68,48.43,34.11,59.42,62.333333333333336,True
207,MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,14135.24,76.5,20.0,88,1.54,37.89,44.93,18.58,0.45%,-8.63%,21.44%,3.89%,110.27%,64.67%,37.66,33.57,18.27,43.24,61.5,True
208,MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,25614.68,86.5,14.0,85,1.43,562.96,603.29,7.16,2.66%,17.03%,24.36%,81.95%,83.40%,53.72%,505.66,411.16,299.83,565.0,61.833333333333336,True
215,NDAQ,"Nasdaq, Inc.",Financial,Financial Data & Stock Exchanges,34697.73,71.5,20.0,80,1.3,209.73,215.46,2.73,-0.93%,3.31%,10.39%,29.51%,66.69%,58.00%,200.3,174.48,122.23,214.96,57.166666666666664,True
253,PNC,"The PNC Financial Services Group, Inc.",Financial,Banks - Regional,87411.03,74.0,14.0,76,1.24,204.82,212.52,3.76,-1.61%,2.86%,9.09%,5.63%,66.82%,37.46%,201.34,187.6,123.27,217.6,54.666666666666664,True
