no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,11074.42,13.98,9.2,,0.99,2.9,7.63,246.1,0.67%,0.00%,4.29,85.00%,3.85%,28.00%,,-3.70%,769.80%,31.50%,187.0,184.17,0.10%,-49.91%,77.60%,0.28%,8.01%,1.73,5.60%,23.00%,5.60%,1.5,0.9,0.44,0.44,22.00%,12.60%,7.30%,-2.42%,14.19%,4.91%,71.82%,160.07%,0.79%,2.42,2.86,4.82%,4.56%,1.39%,14.07%,36.89%,-6.71%,38.81%,-6.71%,247.11%,58.06,-0.74%,-1.45%,1.8,8543.83,0.7,60.05,-2.18%,5945347,1/19/2022 4:30:00 PM,62.85,10/18/2016,60.2,0.25%,75.0,99,2.16,60.05,59.54,52.92,44.01,17.3,64.37,12.0,4.66,62.0,True
376,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,USA,1255.63,23.0,17.04,,5.1,1.54,5.87,30.7,0.18%,0.00%,1.47,-103.50%,20.04%,-16.20%,,4.60%,900.60%,-0.80%,37.13,26.15,0.80%,-10.17%,32.00%,0.19%,1.39%,3.42,0.70%,7.00%,21.20%,,,0.15,0.15,,,22.70%,-1.75%,-0.24%,26.94%,55.25%,121.06%,-2.49%,1.41,1.26,2.33%,3.91%,-2.52%,5.38%,33.71%,-8.25%,26.65%,-8.25%,147.19%,51.18,-1.98%,-0.35%,1.8,106.42,0.85,33.69,-2.32%,90413,1/20/2022 8:30:00 AM,34.33,8/29/2018,33.69,0.00%,75.0,98,1.83,33.69,34.47,32.1,25.27,13.63,36.72,14.0,1.9,62.333333333333336,True
419,APA,APA Corporation,Energy,Oil & Gas E&P,USA,11545.44,20.79,6.15,,1.67,,30.62,4.03,1.52%,6.30%,1.59,-36.40%,30.13%,14.80%,,-7.40%,,83.80%,379.0,362.15,0.30%,-1.87%,88.90%,0.12%,3.22%,1.22,4.60%,-48.50%,-60.50%,1.2,0.9,,,64.30%,27.50%,8.70%,12.07%,33.00%,22.43%,87.76%,85.02%,22.61%,4.63,1.4,5.67%,4.64%,16.10%,18.82%,46.45%,-1.20%,43.72%,-1.20%,135.00%,69.26,-3.03%,2.13%,2.4,9553.35,1.01,32.97,-0.96%,9680604,11/3/2021 4:30:00 PM,35.95,8/2/1963,33.1,0.39%,56.0,96,1.54,32.97,28.83,27.82,22.59,14.03,34.4,17.0,9.04,56.333333333333336,True
449,APTS,Preferred Apartment Communities,Real Estate,REIT - Residential,USA,942.97,,,,2.02,0.89,17.27,8.65,3.88%,,-3.06,-154.30%,34.00%,-48.80%,7.00%,35.70%,-15.10%,-12.30%,52.45,51.51,0.40%,-0.13%,53.10%,0.30%,1.12%,1.09,-3.80%,-11.90%,-2.10%,,,2.24,2.24,73.50%,22.60%,-33.40%,2.50%,27.06%,45.87%,74.71%,132.05%,-0.17%,1.23,0.62,2.54%,4.24%,3.85%,18.33%,49.55%,-6.43%,43.89%,-6.43%,156.11%,65.04,0.22%,-0.55%,2.3,527.35,0.95,18.03,-0.33%,500131,11/8/2021 4:30:00 PM,14.75,4/1/2011,18.03,0.00%,59.0,98,1.93,18.03,17.54,15.35,12.1,7.04,19.27,17.0,-18.19,58.0,True
462,AR,Antero Resources Corporation,Energy,Oil & Gas E&P,USA,6006.63,,6.06,,1.7,1.24,,4.25,,,-3.24,-319.20%,87.91%,-27.40%,,-2.50%,12.20%,40.30%,313.79,273.36,1.10%,-32.25%,77.90%,0.40%,7.55%,3.31,-7.80%,-18.60%,-11.40%,0.3,0.3,0.48,0.48,64.40%,-34.60%,-28.80%,-0.21%,9.83%,-2.98%,47.05%,172.24%,9.83%,4.29,0.91,5.25%,4.92%,4.07%,4.74%,25.42%,-12.60%,24.97%,-12.60%,205.56%,54.4,-5.23%,1.25%,2.2,6232.06,1.21,19.22,-4.04%,7533420,10/27/2021 4:30:00 PM,27.44,10/10/2013,19.36,0.73%,63.0,99,2.26,19.22,18.57,18.32,15.37,6.29,21.99,17.0,42.77,59.666666666666664,True
472,ARCH,"Arch Resources, Inc.",Energy,Thermal Coal,USA,1494.12,95.49,2.56,,0.85,3.59,7.12,,1.03%,0.00%,1.02,-268.30%,96.78%,30.20%,,-10.60%,139.00%,55.50%,15.3,14.99,1.40%,-0.80%,,0.50%,29.24%,8.67,1.80%,10.00%,-41.40%,1.5,1.1,1.01,1.35,18.80%,3.10%,1.80%,3.87%,11.72%,-3.01%,69.89%,86.98%,6.45%,0.95,4.24,4.80%,4.48%,5.28%,12.01%,35.29%,-4.78%,32.19%,-7.93%,149.14%,64.3,-0.24%,0.89%,2.0,505.6,0.89,97.21,0.65%,448875,10/26/2021 8:30:00 AM,122.0,10/5/2016,97.21,0.00%,69.0,96,1.55,97.21,92.83,86.95,72.12,39.02,105.58,7.0,25.5,57.333333333333336,True
583,ATLC,Atlanticus Holdings Corporation,Financial,Credit Services,USA,1007.83,10.52,7.59,0.53,2.04,3.95,6.03,,,0.00%,6.53,138.40%,6.31%,100.30%,20.00%,29.70%,14.10%,31.50%,15.12,5.74,7.70%,-10.85%,18.80%,12.30%,5.27%,2.72,10.10%,79.20%,9.50%,,,3.8,3.8,75.30%,38.20%,27.10%,-0.17%,15.15%,2.78%,60.29%,173.60%,-3.67%,1.49,3.81,5.44%,5.95%,1.11%,1.52%,33.89%,-25.31%,27.29%,-25.31%,200.18%,52.51,-4.33%,-0.14%,2.0,111.29,0.4,68.7,-4.46%,44976,,98.0,4/23/1999,68.5,-0.29%,69.0,99,2.27,68.7,68.31,67.41,51.51,23.6,91.98,19.0,42.65,62.333333333333336,True
699,AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,USA,40905.57,19.05,16.76,1.36,2.7,,42.56,14.15,,0.00%,103.26,32.30%,10.63%,18.50%,14.00%,6.60%,38.10%,16.30%,20.99,20.52,0.40%,-46.05%,95.30%,0.31%,1.90%,2.47,15.90%,-126.70%,63.10%,0.8,0.2,,,52.60%,20.40%,15.10%,-2.24%,-2.17%,11.89%,22.84%,58.89%,-6.15%,0.89,50.51,2.35%,2.25%,-3.54%,0.66%,18.49%,-6.75%,9.63%,-6.75%,76.99%,44.48,-2.04%,-1.23%,2.3,158.1,1.13,1967.56,-3.24%,178902,12/7/2021 8:30:00 AM,2204.61,4/2/1991,1967.56,0.00%,59.0,92,1.32,1967.56,2038.39,1957.83,1663.3,1111.71,2110.0,17.0,12.05,56.0,True
840,BFS,"Saul Centers, Inc.",Real Estate,REIT - Retail,USA,1243.73,35.81,,4.71,5.2,4.8,104.52,27.27,4.37%,146.90%,1.46,-20.50%,,-2.50%,7.60%,2.00%,55.10%,2.60%,23.69,12.98,0.80%,-22.08%,46.80%,0.69%,0.73%,2.54,2.00%,14.50%,3.80%,,,4.41,4.41,74.00%,23.90%,14.40%,-3.28%,1.70%,12.34%,17.13%,64.94%,-1.60%,1.07,1.17,1.94%,2.13%,-1.33%,0.30%,12.21%,-5.89%,9.27%,-5.89%,75.95%,46.85,-1.44%,-0.15%,2.3,37.61,0.74,52.17,-1.58%,27953,11/4/2021 4:30:00 PM,54.33,8/19/1993,52.17,0.00%,59.0,94,1.37,52.17,52.98,52.08,46.55,29.65,55.44,13.0,4.14,55.333333333333336,True
945,BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,USA,14896.07,10.3,11.32,0.55,0.84,2.81,66.29,18.18,,0.00%,7.38,40.30%,-25.96%,69.60%,18.80%,19.10%,309.50%,140.00%,204.27,188.56,0.90%,-2.65%,,0.06%,3.11%,2.29,16.30%,33.20%,16.20%,2.1,1.3,0.44,0.44,28.30%,11.10%,8.00%,-3.87%,-1.68%,31.36%,80.88%,88.00%,-11.39%,2.3,2.91,3.61%,3.37%,-6.80%,0.33%,36.26%,-12.18%,17.59%,-12.18%,102.75%,42.33,-1.66%,-1.84%,1.5,2561.55,0.95,75.95,-3.47%,2434177,11/4/2021 8:30:00 AM,96.43,6/22/2005,76.1,0.20%,84.0,96,1.56,75.95,81.44,75.91,55.88,37.46,86.48,17.0,26.97,65.66666666666667,True
