rank,my_score,ticker,company,sentiment_score,analyst_score,relative_strength,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,adj_analyst_recom,in_russell_3k
1,77.16666666666667,NOTV,"Inotiv, Inc.",26.0,1.0,99,5.03,33.18,38.0,14.53,$4.85,$50.33,33.02,29.77,23.1,106.5,True
2,76.66666666666667,SKIN,The Beauty Health Company,49.0,1.7,92,1.93,26.72,28.17,5.43,$9.71,$28.62,26.36,23.83,15.76,89.0,True
3,76.16666666666667,OPCH,"Option Care Health, Inc.",57.0,1.6,80,1.41,25.07,27.81,10.93,$13.12,$28.21,25.07,24.17,20.37,91.5,True
4,75.66666666666667,BPOP,"Popular, Inc.",53.0,1.7,85,1.57,81.05,86.25,6.42,$38.05,$83.72,76.19,75.54,71.63,89.0,True
5,73.66666666666667,UEC,Uranium Energy Corp.,32.0,1.5,95,2.24,3.03,3.91,29.04,$0.82,$3.77,3.13,2.65,2.55,94.0,True
6,73.66666666666667,GDEN,"Golden Entertainment, Inc.",35.0,1.7,97,2.91,51.46,61.5,19.51,$12.25,$54.86,47.5,47.48,35.72,89.0,True
7,72.16666666666667,FANG,"Diamondback Energy, Inc.",33.0,1.8,97,2.65,105.12,112.32,6.85,$23.63,$107.55,89.49,81.12,76.79,86.5,True
10,71.5,PDCE,"PDC Energy, Inc.",31.0,1.8,97,2.89,47.56,60.06,26.28,$10.61,$51.81,45.29,42.04,37.21,86.5,True
12,70.83333333333333,RWT,"Redwood Trust, Inc.",48.0,1.6,73,1.27,13.21,14.04,6.28,$7.80,$13.47,12.81,12.49,11.0,91.5,True
14,70.16666666666667,CARE,"Carter Bankshares, Inc.",42.0,2.0,87,1.62,14.77,16.17,9.48,$6.72,$16.28,14.19,12.93,12.78,81.5,True
18,69.0,ESTE,"Earthstone Energy, Inc.",30.0,2.1,98,3.03,11.27,14.63,29.81,$2.41,$13.15,9.09,8.75,8.29,79.0,True
19,68.83333333333333,KE,"Kimball Electronics, Inc.",10.0,1.0,90,1.74,27.46,33.0,20.17,$11.60,$29.99,26.05,24.14,22.57,106.5,True
20,68.66666666666667,TH,Target Hospitality Corp.,11.0,1.3,96,2.46,4.08,5.5,34.8,$0.82,$4.70,3.82,3.75,2.94,99.0,True
21,68.66666666666667,EVRI,Everi Holdings Inc.,17.0,1.5,95,2.27,24.78,30.75,24.09,$8.15,$26.61,23.37,22.88,18.7,94.0,True
22,68.66666666666667,EVC,Entravision Communications Corporation,14.0,1.5,98,3.39,7.32,10.5,43.44,$1.59,$8.11,7.19,7.0,4.92,94.0,True
23,68.66666666666667,CLH,"Clean Harbors, Inc.",41.0,1.9,81,1.42,107.22,114.5,6.79,$52.22,$109.26,102.97,101.57,91.08,84.0,True
25,68.33333333333333,CMRE,Costamare Inc.,15.0,1.3,91,1.81,15.09,16.0,6.03,$5.50,$16.72,15.54,13.83,11.01,99.0,True
27,67.83333333333333,OLN,Olin Corporation,21.0,1.8,96,2.47,49.58,62.25,25.55,$14.80,$52.01,48.61,47.89,40.46,86.5,True
29,67.66666666666667,IHRT,"iHeartMedia, Inc.",18.0,1.7,96,2.39,24.98,32.38,29.62,$7.71,$28.24,24.78,24.38,20.54,89.0,True
30,67.66666666666667,LPLA,LPL Financial Holdings Inc.,29.0,1.7,85,1.57,164.35,188.88,14.93,$75.25,$166.66,152.59,148.01,138.37,89.0,True
31,67.5,KFY,Korn Ferry,14.0,1.4,92,1.91,77.2,97.75,26.62,$29.95,$77.93,73.98,71.15,63.65,96.5,True
32,67.5,ASO,"Academy Sports and Outdoors, Inc.",20.0,1.8,96,2.47,41.92,47.88,14.22,$12.80,$47.65,42.76,40.57,32.82,86.5,True
33,67.5,MEC,"Mayville Engineering Company, Inc.",10.0,1.0,86,1.59,19.13,24.0,25.46,$8.62,$22.16,18.3,16.84,16.48,106.5,True
34,67.33333333333333,KRG,Kite Realty Group Trust,42.0,2.1,81,1.44,21.93,23.15,5.56,$10.00,$23.14,20.84,20.26,19.65,79.0,True
36,66.83333333333333,RMNI,"Rimini Street, Inc.",28.0,2.2,96,2.54,10.85,11.9,9.68,$3.04,$11.04,9.8,9.21,7.85,76.5,True
37,66.83333333333333,PGNY,"Progyny, Inc.",16.0,1.4,88,1.65,59.03,65.5,10.96,$23.56,$66.61,59.18,54.75,52.54,96.5,True
39,66.66666666666667,IIPR,"Innovative Industrial Properties, Inc.",35.0,1.9,81,1.43,236.86,257.0,8.5,$112.25,$253.61,234.62,233.71,200.78,84.0,True
40,66.66666666666667,PXD,Pioneer Natural Resources Company,29.0,1.9,87,1.62,184.66,207.44,12.34,$76.58,$184.87,163.77,154.51,149.65,84.0,True
41,66.66666666666667,CASH,"Meta Financial Group, Inc.",18.0,1.7,93,1.98,56.93,63.0,10.66,$21.69,$57.22,52.32,50.51,47.24,89.0,True
42,66.5,GNK,Genco Shipping & Trading Limited,15.0,1.6,93,1.96,19.23,25.23,31.2,$6.38,$22.00,19.62,18.97,14.47,91.5,True
43,66.33333333333333,SSTK,"Shutterstock, Inc.",22.0,1.7,88,1.63,118.37,126.0,6.45,$56.62,$120.39,115.6,111.21,93.26,89.0,True
44,66.33333333333333,CZR,"Caesars Entertainment, Inc.",26.0,1.9,89,1.66,116.15,126.91,9.26,$43.07,$119.81,110.88,100.7,94.16,84.0,True
45,66.33333333333333,CUBI,"Customers Bancorp, Inc.",23.0,2.1,97,2.78,44.99,49.13,9.2,$12.23,$45.19,40.62,39.66,33.43,79.0,True
48,65.66666666666667,STXB,"Spirit of Texas Bancshares, Inc.",27.0,1.7,81,1.43,24.25,27.83,14.76,$12.27,$24.94,23.78,23.3,22.05,89.0,True
49,65.66666666666667,TPX,"Tempur Sealy International, Inc.",31.0,2.1,87,1.6,45.99,53.33,15.96,$21.19,$50.51,47.66,45.25,37.94,79.0,True
50,65.5,ATLC,Atlanticus Holdings Corporation,17.0,2.0,98,3.23,56.43,63.0,11.64,$11.20,$65.61,52.44,51.44,37.18,81.5,True
51,65.5,GTYH,GTY Technology Holdings Inc.,22.0,2.0,93,2.03,7.55,9.5,25.83,$2.40,$8.28,7.34,7.24,6.7,81.5,True
53,65.5,TGH,Textainer Group Holdings Limited,23.0,2.0,92,1.9,36.22,41.5,14.58,$13.95,$37.88,34.03,33.72,28.41,81.5,True
54,65.5,GTN,"Gray Television, Inc.",23.0,1.4,77,1.35,23.73,29.14,22.8,$11.96,$24.43,22.46,22.28,20.76,96.5,True
56,65.0,SBNY,Signature Bank,10.0,1.7,96,2.64,292.76,310.67,6.12,$71.44,$299.58,270.17,258.41,228.87,89.0,True
57,65.0,WIRE,Encore Wire Corporation,13.0,1.5,88,1.65,104.05,112.5,8.12,$45.65,$104.40,92.51,87.95,74.78,94.0,True
59,64.83333333333333,OAS,Oasis Petroleum Inc.,13.0,2.0,100,504.32,103.0,123.71,20.11,$0.07,$107.65,96.88,91.48,74.4,81.5,True
60,64.83333333333333,DVAX,Dynavax Technologies Corporation,10.0,1.8,98,3.08,18.14,21.0,15.77,$3.58,$20.96,17.06,15.15,10.24,86.5,True
61,64.83333333333333,BVH,Bluegreen Vacations Holding Corporation,20.0,2.0,93,2.01,25.42,42.5,67.19,$7.70,$27.52,25.58,22.54,18.62,81.5,True
63,64.83333333333333,SCU,"Sculptor Capital Management, Inc.",21.0,2.0,92,1.9,28.04,40.0,42.65,$10.28,$28.90,27.7,27.02,23.09,81.5,True
64,64.66666666666667,EGLE,Eagle Bulk Shipping Inc.,10.0,1.7,95,2.18,48.2,55.52,15.19,$13.61,$56.47,49.97,47.14,39.32,89.0,True
66,64.5,CURO,CURO Group Holdings Corp.,13.0,1.6,89,1.71,18.27,22.5,23.15,$7.32,$20.81,17.01,16.65,15.68,91.5,True
67,64.33333333333333,DEN,Denbury Inc.,11.0,1.9,98,3.33,72.52,87.82,21.1,$15.96,$81.37,72.06,69.65,55.18,84.0,True
68,64.33333333333333,CNTY,"Century Casinos, Inc.",11.0,1.7,93,2.05,14.55,20.67,42.06,$4.39,$15.84,13.44,13.06,11.3,89.0,True
69,64.33333333333333,MNKD,MannKind Corporation,10.0,1.7,94,2.15,5.25,6.17,17.52,$1.84,$6.25,4.67,4.47,4.3,89.0,True
70,64.16666666666667,WCC,"WESCO International, Inc.",18.0,2.0,93,1.95,119.95,137.5,14.63,$39.45,$123.27,115.78,114.18,97.75,81.5,True
72,64.16666666666667,ACLS,"Axcelis Technologies, Inc.",20.0,1.8,86,1.58,47.46,57.17,20.46,$21.69,$52.80,48.11,46.24,40.52,86.5,True
73,64.16666666666667,OII,"Oceaneering International, Inc.",19.0,2.2,97,2.73,14.02,16.83,20.04,$3.35,$18.20,13.23,12.75,12.56,76.5,True
74,64.16666666666667,MCB,Metropolitan Bank Holding Corp.,16.0,2.0,95,2.24,86.45,107.5,24.35,$25.74,$87.90,81.56,78.25,60.0,81.5,True
76,64.0,EBC,"Eastern Bankshares, Inc.",20.0,1.5,78,1.37,21.25,24.25,14.12,$11.74,$23.03,19.68,19.35,19.21,94.0,True
77,64.0,CSV,"Carriage Services, Inc.",15.0,1.5,83,1.5,45.67,52.5,14.96,$22.98,$48.61,44.87,42.75,37.5,94.0,True
78,63.833333333333336,JLL,Jones Lang LaSalle Incorporated,19.0,2.0,91,1.85,253.26,310.0,22.4,$101.39,$260.76,245.03,241.99,195.39,81.5,True
79,63.833333333333336,AA,Alcoa Corporation,13.0,2.0,97,2.94,47.05,54.12,15.03,$11.41,$52.45,48.99,45.14,34.68,81.5,True
80,63.833333333333336,FLL,"Full House Resorts, Inc.",11.0,2.0,99,3.81,11.83,13.5,14.12,$2.00,$12.18,9.54,8.79,8.25,81.5,True
81,63.666666666666664,ULTA,"Ulta Beauty, Inc.",45.0,2.3,72,1.26,375.03,436.65,16.43,$200.50,$414.98,375.19,369.4,332.05,74.0,True
82,63.5,FFWM,First Foundation Inc.,21.0,1.8,83,1.47,27.05,30.0,10.91,$14.09,$27.08,25.63,24.79,23.39,86.5,True
85,63.5,EWBC,"East West Bancorp, Inc.",15.0,1.8,89,1.69,80.72,90.55,12.18,$34.13,$82.53,75.1,74.08,71.2,86.5,True
86,63.5,CNOB,"ConnectOne Bancorp, Inc.",14.0,1.6,85,1.56,32.2,35.0,8.7,$14.60,$32.27,29.69,28.88,26.0,91.5,True
87,63.333333333333336,FOCS,Focus Financial Partners Inc.,34.0,1.7,67,1.18,56.68,64.0,12.91,$35.56,$57.33,52.5,51.6,49.23,89.0,True
91,62.833333333333336,ALLY,Ally Financial Inc.,19.0,1.8,83,1.49,52.96,65.3,23.3,$25.86,$56.61,52.36,52.2,48.03,86.5,True
93,62.833333333333336,NMRK,"Newmark Group, Inc.",12.0,2.0,95,2.31,14.73,17.17,16.56,$4.28,$15.06,13.95,13.47,11.22,81.5,True
95,62.666666666666664,TBI,"TrueBlue, Inc.",19.0,1.7,80,1.41,30.48,33.0,8.27,$14.99,$30.50,27.91,27.12,24.59,89.0,True
96,62.666666666666664,SCSC,"ScanSource, Inc.",13.0,1.3,76,1.33,36.69,39.33,7.2,$19.44,$38.49,35.38,32.95,29.84,99.0,True
98,62.5,UHAL,AMERCO,22.0,2.0,84,1.51,694.65,740.0,6.53,$345.19,$697.04,658.02,646.83,578.81,81.5,True
99,62.5,ATKR,Atkore Inc.,14.0,2.2,97,2.9,90.83,103.75,14.22,$20.42,$102.49,90.19,88.6,72.49,76.5,True
100,62.5,PWR,"Quanta Services, Inc.",17.0,1.8,84,1.51,113.39,121.33,7.0,$57.81,$119.70,115.69,105.93,91.26,86.5,True
102,62.5,PGC,Peapack-Gladstone Financial Corporation,19.0,2.0,87,1.62,33.95,38.25,12.67,$15.67,$34.67,32.97,32.89,30.41,81.5,True
103,62.5,WSC,WillScot Mobile Mini Holdings Corp.,15.0,1.6,81,1.43,32.2,36.33,12.83,$16.90,$32.80,31.41,29.61,27.9,91.5,True
104,62.333333333333336,AMSWA,"American Software, Inc.",17.0,1.5,76,1.33,25.39,28.5,12.25,$14.37,$28.45,24.55,23.77,21.32,94.0,True
105,62.333333333333336,EVR,Evercore Inc.,18.0,1.9,85,1.57,144.57,160.5,11.02,$70.65,$151.10,138.29,136.69,132.15,84.0,True
106,62.166666666666664,GCO,Genesco Inc.,15.0,2.2,95,2.2,60.96,69.0,13.19,$17.54,$67.26,60.27,59.71,51.59,76.5,True
107,62.166666666666664,SEAS,"SeaWorld Entertainment, Inc.",21.0,2.4,94,2.07,59.82,64.0,6.99,$19.56,$60.87,56.05,52.1,47.33,71.5,True
109,62.166666666666664,ENVA,"Enova International, Inc.",22.0,2.0,83,1.5,36.0,43.25,20.14,$15.13,$41.06,33.67,32.93,32.43,81.5,True
110,62.0,SLB,Schlumberger Limited,19.0,1.9,83,1.48,31.02,35.94,15.86,$13.70,$36.87,29.1,28.45,28.4,84.0,True
111,62.0,LKQ,LKQ Corporation,16.0,1.5,76,1.33,51.96,62.11,19.53,$29.60,$53.17,51.18,51.15,45.86,94.0,True
112,62.0,PACW,PacWest Bancorp,10.0,1.9,92,1.88,46.61,49.95,7.17,$17.79,$47.24,44.13,42.58,39.48,84.0,True
114,61.833333333333336,BYD,Boyd Gaming Corporation,19.0,2.0,85,1.57,64.62,80.5,24.57,$30.30,$71.00,62.73,60.71,58.42,81.5,True
116,61.833333333333336,ANF,Abercrombie & Fitch Co.,17.0,2.2,92,1.88,39.36,52.78,34.1,$14.04,$47.29,38.04,37.47,35.05,76.5,True
118,61.666666666666664,HCKT,"The Hackett Group, Inc.",20.0,1.7,76,1.33,20.73,22.67,9.36,$11.77,$20.94,19.62,19.22,17.2,89.0,True
119,61.5,TMDX,"TransMedics Group, Inc.",13.0,2.0,90,1.72,30.55,53.0,73.49,$11.51,$49.50,31.16,30.32,29.37,81.5,True
120,61.5,FULC,"Fulcrum Therapeutics, Inc.",10.0,2.0,93,2.05,25.53,34.86,36.55,$6.85,$33.10,27.67,23.0,14.05,81.5,True
122,61.5,MPC,Marathon Petroleum Corporation,11.0,1.8,87,1.6,63.5,70.07,10.35,$26.77,$64.84,60.73,58.7,55.29,86.5,True
123,61.5,VRTS,"Virtus Investment Partners, Inc.",16.0,2.0,87,1.62,321.62,400.0,24.37,$154.28,$333.03,316.43,309.05,268.46,81.5,True
124,61.333333333333336,AMP,"Ameriprise Financial, Inc.",26.0,1.9,74,1.28,276.35,292.5,5.84,$155.33,$280.89,268.13,267.64,242.48,84.0,True
125,61.333333333333336,SCHW,The Charles Schwab Corporation,20.0,2.1,85,1.57,76.39,83.83,9.74,$37.01,$77.97,73.02,72.5,67.35,79.0,True
128,61.166666666666664,VVI,Viad Corp,17.0,2.0,85,1.57,46.58,58.0,24.52,$18.45,$52.00,44.65,44.02,42.67,81.5,True
