no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp1500
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,11831.16,26.32,8.16,,0.97,2.8,8.15,,0.69%,0.00%,2.21,85.00%,-1.80%,28.00%,,-3.70%,769.80%,31.50%,187.0,185.26,0.10%,-51.12%,77.80%,0.50%,7.96%,1.79,3.00%,12.10%,5.00%,1.5,0.9,0.44,0.44,24.70%,8.10%,3.50%,-5.26%,-1.96%,26.45%,47.40%,213.68%,-2.60%,2.34,3.45,7.74%,5.42%,-3.31%,7.08%,29.38%,-9.85%,34.14%,-9.85%,235.43%,49.49,-4.87%,0.41%,1.9,8232.54,0.76,58.03,-4.48%,6275142,1/19/2022 4:30:00 PM,65.3,10/18/2016,58.21,0.31%,72.0,99,2.75,58.03,59.94,54.34,44.98,17.77,64.37,12.0,12.53,61.0,True
1636,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,122417.29,26.68,11.22,,3.38,2.71,11.65,21.25,1.70%,51.00%,3.36,-139.20%,35.33%,6.80%,-1.80%,-8.60%,526.20%,158.20%,1332.29,1317.86,0.10%,-9.77%,80.40%,0.03%,1.13%,1.88,5.90%,11.60%,-3.50%,1.9,1.8,0.42,0.45,46.70%,17.70%,12.90%,4.71%,22.96%,20.80%,57.51%,118.70%,24.22%,1.44,2.82,4.46%,3.24%,10.54%,18.92%,39.81%,0.53%,36.10%,0.53%,126.47%,71.78,0.80%,2.17%,1.8,7924.1,1.21,89.66,2.99%,9623451,2/3/2022 8:30:00 AM,93.63,1/13/1978,90.6,1.05%,75.0,98,1.91,89.66,81.97,75.86,64.47,39.7,89.74,15.0,4.43,62.666666666666664,True
2177,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,36934.08,29.92,9.83,1.2,4.14,3.89,15.91,13.42,0.85%,19.80%,1.73,3855.60%,55.91%,26.40%,25.00%,-18.20%,535.60%,224.80%,671.0,640.77,0.20%,-7.26%,90.20%,-1.98%,2.61%,1.45,6.70%,16.70%,-31.00%,1.2,1.2,0.76,0.76,42.90%,16.00%,13.40%,6.40%,16.27%,35.01%,103.54%,220.08%,17.46%,2.88,2.71,8.19%,5.01%,7.49%,17.25%,58.18%,-2.78%,45.54%,-2.78%,241.85%,65.41,-2.65%,2.63%,1.8,11567.32,1.18,51.74,-0.10%,13640287,2/15/2022 4:30:00 PM,53.64,3/17/1992,51.83,0.18%,75.0,99,2.63,51.74,48.51,44.77,33.93,16.17,54.24,31.0,3.67,68.33333333333333,True
2256,ECPG,"Encore Capital Group, Inc.",Financial,Mortgage Finance,USA,1875.6,6.53,7.37,0.5,1.29,1.39,11.86,,,0.00%,9.88,25.30%,-19.66%,21.00%,13.00%,5.70%,55.20%,-7.10%,30.23,28.76,0.60%,-32.69%,,0.00%,15.71%,10.36,6.60%,23.80%,9.40%,,,2.0,2.0,77.60%,40.10%,21.50%,1.11%,6.57%,21.42%,36.32%,109.55%,3.88%,1.36,1.98,3.23%,3.25%,2.72%,6.73%,27.21%,-5.03%,17.07%,-5.03%,117.61%,58.82,0.36%,0.20%,2.2,436.01,0.68,64.52,0.56%,295075,11/3/2021 4:30:00 PM,69.0,7/9/1999,64.52,0.00%,63.0,98,1.83,64.52,63.03,60.56,50.85,29.65,67.94,17.0,6.94,59.333333333333336,True
2429,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,66045.35,21.22,10.89,0.29,4.25,2.93,15.38,13.09,2.73%,31.00%,5.17,-122.20%,16.60%,33.90%,74.16%,4.80%,,105.70%,585.09,583.05,0.30%,1.78%,87.80%,-0.47%,0.87%,1.15,8.30%,14.40%,-1.60%,2.1,2.0,0.23,0.24,60.80%,26.20%,19.40%,6.04%,21.65%,20.70%,52.36%,111.71%,23.55%,1.83,3.95,5.16%,3.78%,10.63%,19.64%,35.83%,-0.14%,36.05%,-0.14%,127.09%,73.14,0.07%,1.99%,2.0,4407.11,1.41,109.75,2.06%,6217520,11/4/2021 4:30:00 PM,114.47,10/4/1989,109.75,0.00%,69.0,98,1.79,109.75,100.2,92.87,82.85,50.08,111.28,15.0,4.3,60.666666666666664,True
2659,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,24080.12,66.76,7.46,1.09,4.34,2.03,52.69,8.37,1.55%,82.70%,1.93,269.40%,53.65%,-27.70%,61.03%,44.50%,150.50%,165.30%,181.03,180.27,0.20%,-9.35%,89.40%,0.64%,2.82%,1.78,2.10%,4.20%,-31.20%,0.7,0.7,0.6,0.6,79.40%,33.70%,8.00%,5.52%,16.78%,19.58%,61.73%,113.30%,19.28%,2.34,6.28,7.48%,4.85%,6.88%,14.18%,37.26%,-2.36%,35.38%,-2.36%,129.18%,63.52,-2.13%,3.17%,1.9,2859.11,0.94,128.64,0.97%,2673316,11/1/2021 4:30:00 PM,138.97,10/12/2012,128.85,0.16%,72.0,98,1.87,128.64,121.35,113.02,93.96,56.35,134.06,22.0,8.03,64.0,True
3469,HAFC,Hanmi Financial Corporation,Financial,Banks - Regional,USA,814.92,10.23,11.89,1.28,3.77,1.3,0.97,14.79,3.03%,16.50%,2.58,30.00%,-18.89%,-4.00%,8.00%,6.40%,62.20%,1.10%,30.47,30.04,0.30%,0.00%,90.30%,0.06%,1.28%,2.12,1.20%,13.60%,17.00%,,,0.35,0.35,,91.50%,37.40%,3.69%,12.59%,20.94%,43.04%,87.43%,11.44%,1.14,1.07,5.91%,3.43%,4.20%,10.19%,26.21%,-8.50%,23.95%,-8.50%,113.17%,61.41,-3.23%,0.55%,2.3,180.69,1.45,26.39,-2.69%,262075,1/25/2022 4:30:00 PM,24.33,5/14/1997,26.39,0.00%,59.0,97,1.64,26.39,25.46,23.99,20.94,12.8,28.84,18.0,-7.81,58.0,True
3473,HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,USA,28197.73,69.28,17.95,1.1,1.98,4.86,10.71,28.06,0.58%,40.40%,0.45,-158.60%,60.71%,-33.80%,62.70%,-9.40%,,29.70%,894.0,892.11,0.40%,-3.92%,78.00%,-0.33%,1.59%,1.41,1.90%,7.50%,-15.60%,2.4,1.8,1.61,1.61,12.60%,8.10%,2.80%,9.56%,33.75%,22.73%,45.08%,68.75%,34.81%,2.5,1.19,6.80%,4.05%,15.33%,26.98%,36.34%,-2.37%,48.44%,-2.37%,78.93%,78.23,-1.38%,1.49%,2.2,10034.07,1.65,30.83,0.10%,16558437,1/24/2022 8:30:00 AM,30.29,9/15/1948,30.85,0.06%,63.0,95,1.48,30.83,27.13,24.43,22.66,17.5,32.13,7.0,-1.75,55.0,True
4714,LPI,"Laredo Petroleum, Inc.",Energy,Oil & Gas E&P,USA,1213.76,,2.88,,1.09,4.72,23.61,3.08,,,-22.42,-153.00%,147.58%,19.50%,10.49%,2.20%,142.10%,118.60%,15.76,15.72,1.70%,-64.16%,72.30%,0.83%,14.73%,3.27,-13.60%,,-73.40%,0.3,0.3,6.02,6.02,61.10%,37.90%,-21.30%,-0.33%,4.04%,-14.07%,19.37%,179.41%,11.71%,3.93,6.13,11.66%,8.88%,-3.07%,2.32%,6.59%,-14.13%,31.13%,-32.33%,196.95%,48.71,-7.73%,4.43%,2.5,708.32,0.94,67.17,-3.64%,663272,11/2/2021 4:30:00 PM,91.7,12/15/2011,68.48,1.95%,53.0,99,2.45,67.17,69.43,65.56,63.17,22.62,99.26,15.0,36.52,55.666666666666664,True
5081,MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,USA,45068.36,95.61,16.31,2.18,0.44,1.61,3.41,,3.23%,16.30%,0.75,-716.80%,151.83%,-39.20%,43.80%,-0.60%,156.30%,85.90%,633.0,590.89,0.10%,0.16%,79.50%,-0.11%,2.82%,2.48,10.40%,36.60%,-18.20%,2.0,1.5,0.96,0.97,8.10%,2.80%,8.90%,-0.13%,11.70%,8.69%,28.55%,60.60%,12.36%,1.93,2.16,3.94%,2.82%,2.59%,9.33%,17.21%,-5.25%,20.74%,-5.25%,69.90%,60.4,-1.01%,2.32%,1.8,6733.28,1.34,71.9,1.30%,9048977,2/2/2022 8:30:00 AM,79.47,6/23/2011,71.9,0.00%,75.0,95,1.41,71.9,70.48,65.88,61.43,42.32,75.88,16.0,10.53,62.0,True
5106,MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,USA,15949.28,,9.95,,3.55,1.45,,11.66,1.21%,,-0.05,-409.20%,50.72%,6.10%,-2.40%,-8.60%,158.10%,92.00%,789.0,766.09,0.25%,-7.30%,75.40%,0.42%,2.83%,1.25,-0.20%,-0.40%,-7.70%,1.0,0.9,0.37,0.37,88.50%,3.80%,-0.90%,6.26%,20.45%,22.53%,68.08%,162.57%,20.89%,2.82,0.88,6.60%,4.47%,9.32%,18.37%,42.45%,-2.00%,38.87%,-2.00%,175.69%,67.35,-1.24%,2.50%,2.2,17312.36,1.33,19.85,1.22%,22971196,2/16/2022 4:30:00 PM,20.9,11/26/1965,19.92,0.35%,63.0,99,2.3,19.85,18.32,16.83,13.98,7.2,20.58,20.0,5.29,60.666666666666664,True
5146,MTDR,Matador Resources Company,Energy,Oil & Gas E&P,USA,5526.02,18.91,7.0,1.82,4.18,3.07,75.6,6.38,0.45%,3.10%,2.34,-781.60%,54.27%,9.30%,10.40%,22.10%,171.90%,132.30%,117.01,109.77,1.40%,0.70%,90.70%,0.24%,9.45%,6.83,7.40%,19.30%,-15.30%,0.8,0.8,0.9,0.0,72.20%,31.00%,21.30%,3.15%,15.45%,1.40%,43.17%,171.58%,19.83%,4.1,2.85,9.52%,6.57%,5.91%,9.77%,27.32%,-6.84%,32.10%,-6.84%,200.54%,56.89,-3.62%,2.48%,2.1,1518.46,0.95,44.24,-1.23%,1443197,10/26/2021 4:30:00 PM,51.67,2/2/2012,44.83,1.33%,66.0,99,2.38,44.24,42.08,40.29,34.84,14.98,47.49,18.0,16.79,61.0,True
5754,OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,USA,36037.5,,12.09,,1.61,3.83,17.5,5.82,0.11%,,-0.79,155.00%,42.84%,-8.00%,37.40%,7.30%,115.80%,64.90%,935.4,932.02,0.10%,2.11%,70.90%,0.37%,3.61%,2.14,-1.40%,-12.90%,-23.10%,1.1,0.9,3.39,3.48,59.40%,7.40%,-5.00%,6.61%,26.39%,11.89%,39.13%,77.85%,28.53%,2.14,1.81,7.54%,5.18%,11.34%,19.20%,28.75%,-2.66%,43.03%,-2.66%,91.47%,67.03,-2.23%,2.83%,2.5,15769.74,1.31,37.26,0.54%,20724745,11/4/2021 4:30:00 PM,42.04,7/2/1962,37.46,0.54%,53.0,96,1.56,37.26,33.87,31.36,29.0,19.73,38.93,8.0,12.83,52.333333333333336,True
5857,PDCE,"PDC Energy, Inc.",Energy,Oil & Gas E&P,USA,5943.17,140.72,5.77,5.17,4.64,2.27,59.49,4.81,0.82%,53.90%,0.42,-733.00%,19.65%,-33.40%,27.20%,17.60%,570.40%,95.20%,98.18,95.87,1.20%,-5.46%,,-0.08%,7.40%,7.67,0.80%,1.70%,-15.10%,0.5,0.5,0.49,0.49,77.50%,9.30%,3.30%,4.96%,16.68%,15.42%,49.69%,160.36%,20.58%,3.01,3.0,7.07%,5.55%,8.86%,13.13%,29.34%,-3.32%,33.68%,-3.32%,176.08%,64.42,-0.17%,2.15%,2.0,924.67,1.58,58.82,1.98%,1463857,11/4/2021 4:30:00 PM,71.07,3/17/1980,58.82,0.00%,69.0,99,2.26,58.82,54.46,52.26,45.99,21.53,60.84,26.0,20.83,64.66666666666667,True
