rank,my_score,ticker,company,sentiment_score,analyst_score,relative_strength,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,adj_analyst_recom,in_sp1500
2,76.16666666666667,OPCH,"Option Care Health, Inc.",57.0,1.6,80,1.46,25.04,27.81,11.06,$13.12,$28.21,25.2,24.0,20.27,91.5,True
4,74.16666666666667,BNED,"Barnes & Noble Education, Inc.",43.0,2.0,98,3.16,10.46,11.5,9.94,$2.10,$10.62,8.32,8.31,7.21,81.5,True
7,72.5,RWT,"Redwood Trust, Inc.",48.0,1.6,78,1.4,13.29,14.04,5.64,$7.71,$13.47,12.63,12.27,10.64,91.5,True
10,71.83333333333333,FANG,"Diamondback Energy, Inc.",32.0,1.8,97,2.84,104.16,112.32,7.83,$23.63,$107.55,86.54,79.99,75.6,86.5,True
12,71.16666666666667,PDCE,"PDC Energy, Inc.",30.0,1.8,97,2.98,46.75,60.06,28.47,$10.61,$51.81,44.83,41.72,36.79,86.5,True
23,68.5,OLN,Olin Corporation,22.0,1.8,97,2.78,50.09,62.25,24.28,$13.63,$52.01,48.45,47.7,39.99,86.5,True
24,68.33333333333333,CLH,"Clean Harbors, Inc.",41.0,1.9,80,1.45,108.07,114.5,5.95,$52.22,$109.26,102.42,101.05,90.75,84.0,True
33,67.5,KFY,Korn Ferry,14.0,1.4,92,1.99,77.57,97.75,26.02,$29.95,$77.62,73.64,70.68,63.12,96.5,True
37,66.66666666666667,CASH,"Meta Financial Group, Inc.",18.0,1.7,93,2.02,55.49,63.0,13.53,$21.13,$56.19,51.74,50.18,46.96,89.0,True
40,66.33333333333333,PXD,Pioneer Natural Resources Company,29.0,1.9,86,1.64,181.96,207.44,14.0,$76.58,$184.69,159.84,151.67,146.63,84.0,True
41,66.33333333333333,KRG,Kite Realty Group Trust,42.0,2.1,78,1.41,21.38,23.15,8.28,$10.00,$23.14,20.62,20.07,19.28,79.0,True
44,66.0,CUBI,"Customers Bancorp, Inc.",22.0,2.1,97,2.75,44.72,49.13,9.86,$12.23,$44.87,40.19,39.04,31.26,79.0,True
50,65.66666666666667,CROX,"Crocs, Inc.",23.0,2.1,95,2.26,136.92,157.7,15.18,$46.15,$151.85,142.52,132.67,95.33,79.0,True
51,65.5,PGNY,"Progyny, Inc.",16.0,1.4,84,1.56,57.71,65.5,13.5,$23.56,$66.61,59.11,54.57,52.35,96.5,True
57,65.33333333333333,CZR,"Caesars Entertainment, Inc.",26.0,1.9,86,1.61,114.76,126.91,10.59,$43.07,$119.81,109.98,99.79,93.75,84.0,True
58,65.33333333333333,SSTK,"Shutterstock, Inc.",22.0,1.7,85,1.59,113.07,126.0,11.44,$52.94,$120.39,115.28,110.56,92.52,89.0,True
60,65.0,TPX,"Tempur Sealy International, Inc.",31.0,2.1,85,1.59,45.28,53.33,17.78,$21.19,$50.51,47.65,45.07,37.75,79.0,True
61,65.0,SBNY,Signature Bank,10.0,1.7,96,2.67,289.16,310.67,7.44,$71.44,$294.34,266.92,255.95,226.61,89.0,True
69,64.5,OII,"Oceaneering International, Inc.",19.0,2.2,98,3.16,14.94,16.83,12.65,$3.35,$18.20,13.14,12.73,12.53,76.5,True
77,64.16666666666667,JLL,Jones Lang LaSalle Incorporated,20.0,2.0,91,1.9,255.47,310.0,21.34,$101.39,$260.76,244.51,241.17,194.87,81.5,True
80,64.0,WIRE,Encore Wire Corporation,13.0,1.5,85,1.58,97.63,112.5,15.23,$45.65,$102.23,90.95,86.89,74.3,94.0,True
84,63.666666666666664,MMSI,"Merit Medical Systems, Inc.",40.0,1.9,67,1.22,72.03,76.22,5.82,$43.52,$73.85,71.92,69.84,62.19,84.0,True
85,63.5,AA,Alcoa Corporation,11.0,2.0,98,3.25,49.05,54.12,10.34,$11.41,$52.45,48.95,44.79,34.43,81.5,True
87,63.5,ACLS,"Axcelis Technologies, Inc.",20.0,1.8,84,1.55,45.95,57.17,24.42,$21.69,$52.80,48.33,45.83,40.35,86.5,True
90,63.5,EWBC,"East West Bancorp, Inc.",15.0,1.8,89,1.76,79.5,90.55,13.9,$34.13,$82.53,74.38,73.74,70.47,86.5,True
91,63.333333333333336,BOOT,"Boot Barn Holdings, Inc.",16.0,2.1,95,2.34,92.71,100.0,7.86,$29.50,$96.91,87.27,84.91,67.23,79.0,True
93,63.333333333333336,ULTA,"Ulta Beauty, Inc.",45.0,2.3,71,1.28,373.77,436.65,16.82,$200.50,$414.98,375.26,368.65,331.52,74.0,True
103,62.333333333333336,PACW,PacWest Bancorp,10.0,1.9,93,2.06,46.64,49.95,7.1,$17.79,$47.24,43.72,42.29,38.93,84.0,True
104,62.333333333333336,EVR,Evercore Inc.,17.0,1.9,86,1.61,142.97,160.5,12.26,$69.50,$151.10,137.74,135.97,130.8,84.0,True
105,62.166666666666664,VRTS,"Virtus Investment Partners, Inc.",16.0,2.0,89,1.73,321.51,400.0,24.41,$143.69,$333.03,316.01,307.85,266.87,81.5,True
107,62.166666666666664,PWR,"Quanta Services, Inc.",17.0,1.8,83,1.54,112.66,121.33,7.7,$56.24,$119.70,115.9,104.94,90.71,86.5,True
110,62.166666666666664,MPC,Marathon Petroleum Corporation,10.0,1.8,90,1.78,63.25,70.07,10.78,$26.77,$64.84,60.13,58.19,54.27,86.5,True
111,62.166666666666664,BYD,Boyd Gaming Corporation,19.0,2.0,86,1.62,64.86,80.5,24.11,$30.30,$71.00,62.54,60.56,58.31,81.5,True
113,62.0,SCSC,"ScanSource, Inc.",12.0,1.3,75,1.35,36.5,39.33,7.75,$19.04,$38.49,35.47,32.56,29.73,99.0,True
114,62.0,SLB,Schlumberger Limited,19.0,1.9,83,1.54,30.59,35.94,17.49,$13.70,$36.87,28.72,28.34,28.12,84.0,True
116,61.833333333333336,ANF,Abercrombie & Fitch Co.,17.0,2.2,92,1.95,39.18,52.78,34.71,$14.04,$47.29,37.77,37.45,34.95,76.5,True
119,61.833333333333336,GCO,Genesco Inc.,15.0,2.2,94,2.2,60.32,69.0,14.39,$17.54,$67.26,60.0,59.65,51.42,76.5,True
120,61.666666666666664,AMP,"Ameriprise Financial, Inc.",26.0,1.9,75,1.35,272.93,292.5,7.17,$155.33,$279.00,267.58,266.5,240.18,84.0,True
121,61.666666666666664,SCHW,The Charles Schwab Corporation,20.0,2.1,86,1.62,75.9,83.83,10.45,$36.07,$77.97,72.61,72.12,66.87,79.0,True
123,61.666666666666664,HWC,Hancock Whitney Corporation,10.0,1.9,91,1.84,48.91,51.39,5.07,$20.87,$50.69,45.17,44.82,42.65,84.0,True
127,61.5,LPX,Louisiana-Pacific Corporation,27.0,2.4,86,1.63,61.78,74.44,20.49,$27.01,$76.35,61.65,60.01,55.21,71.5,True
129,61.333333333333336,CBRE,"CBRE Group, Inc.",20.0,2.1,85,1.59,99.88,116.43,16.57,$43.17,$101.02,95.41,91.56,79.35,79.0,True
130,61.333333333333336,WD,"Walker & Dunlop, Inc.",10.0,1.7,85,1.6,119.11,134.0,12.5,$57.37,$119.46,112.72,106.69,101.23,89.0,True
131,61.333333333333336,LKQ,LKQ Corporation,16.0,1.5,74,1.34,51.11,62.11,21.52,$29.40,$53.17,51.18,51.11,45.71,94.0,True
134,61.166666666666664,VVI,Viad Corp,16.0,2.0,86,1.62,47.4,58.0,22.36,$18.45,$52.00,44.5,44.04,42.6,81.5,True
136,61.0,ABCB,Ameris Bancorp,18.0,2.1,86,1.62,52.62,57.07,8.46,$24.50,$59.85,49.57,49.02,48.13,79.0,True
137,61.0,ROIC,Retail Opportunity Investments Corp.,39.0,2.3,70,1.26,17.95,19.35,7.8,$9.69,$18.86,17.59,17.55,16.52,74.0,True
138,61.0,TBI,"TrueBlue, Inc.",17.0,1.7,77,1.39,29.57,33.0,11.6,$14.99,$29.99,27.64,27.03,24.49,89.0,True
142,60.833333333333336,CFG,"Citizens Financial Group, Inc.",21.0,2.0,80,1.46,48.99,51.75,5.63,$25.41,$51.14,44.93,44.04,43.4,81.5,True
145,60.833333333333336,RJF,"Raymond James Financial, Inc.",15.0,1.8,81,1.48,94.54,159.0,68.18,$48.87,$96.10,91.02,90.58,82.58,86.5,True
146,60.833333333333336,KBR,"KBR, Inc.",24.0,2.0,77,1.38,40.48,46.22,14.18,$21.13,$42.71,39.12,38.83,36.41,81.5,True
151,60.0,ABG,"Asbury Automotive Group, Inc.",24.0,2.1,77,1.38,200.26,238.29,18.99,$99.65,$216.88,190.37,189.53,176.66,79.0,True
154,59.666666666666664,FBNC,First Bancorp,21.0,2.3,84,1.56,43.94,50.1,14.02,$21.77,$48.83,41.25,41.16,40.52,74.0,True
155,59.666666666666664,SYF,Synchrony Financial,20.0,2.1,80,1.45,50.16,56.95,13.54,$24.47,$52.14,50.01,48.6,42.14,79.0,True
159,59.5,MET,"MetLife, Inc.",23.0,2.0,74,1.34,64.27,71.8,11.72,$35.90,$67.68,61.55,60.9,58.45,81.5,True
160,59.5,HES,Hess Corporation,13.0,2.2,89,1.74,84.11,99.36,18.13,$34.82,$91.09,73.93,71.77,71.74,76.5,True
164,59.333333333333336,TTGT,"TechTarget, Inc.",23.0,2.1,76,1.37,82.31,99.13,20.43,$43.31,$101.12,85.67,81.45,75.62,79.0,True
