,ticker,allocation,companyName,start_price,current_price,initial_investment,shares,cash_now,return
4,BK,1.5458077047274927,The Bank of New York Mellon Corporation,50.86000061035156,50.0,38.65,0.76,38.0,-1.68
3,DRE,7.923529945438947,Duke Realty Corporation,54.939998626708984,53.630001068115234,198.09,3.61,193.6,-2.27
8,ENPH,4.489751537407196,"Enphase Energy, Inc.",179.25,171.07000732421875,112.24,0.63,107.77,-3.98
9,INTU,14.579821141745605,Intuit Inc.,457.57000732421875,439.32000732421875,364.5,0.8,351.46,-3.58
5,LOW,6.035603808308681,"Lowe's Companies, Inc.",223.89999389648438,222.2100067138672,150.89,0.67,148.88,-1.33
7,NDAQ,15.392942524179908,"Nasdaq, Inc.",168.05999755859375,164.8699951171875,384.82,2.29,377.55,-1.89
0,ORLY,9.263560997068858,"O'Reilly Automotive, Inc.",682.7100219726562,675.1099853515625,231.59,0.34,229.54,-0.89
1,PLD,2.478563574495497,"Prologis, Inc.",152.22000122070312,147.8300018310547,61.96,0.41,60.61,-2.18
2,TXT,0.8254127516818519,Textron Inc.,70.4000015258789,69.19000244140625,20.64,0.29,20.07,-2.76
6,WST,37.46500601494596,"West Pharmaceutical Services, Inc.",376.1300048828125,363.2099914550781,936.63,2.49,904.39,-3.44
