no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
1363,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,USA,14166.81,49.17,6.45,0.78,2.78,4.96,18.71,15.1,1.77%,86.40%,1.38,-33.80%,139.65%,-13.10%,62.70%,-0.90%,-557.70%,60.80%,214.9,213.64,0.40%,-36.33%,95.30%,1.01%,2.03%,1.45,2.50%,9.90%,8.60%,1.8,1.4,1.18,1.18,27.70%,14.50%,5.90%,1.35%,-8.20%,15.82%,42.08%,65.85%,-4.21%,1.07,3.25,7.22%,4.32%,-1.86%,2.78%,22.70%,-9.32%,18.43%,-9.32%,70.05%,50.59,-5.02%,-0.11%,2.1,2989.15,1.63,67.8,-5.12%,4868333,11/3/2021 4:30:00 PM,72.58,8/11/2005,67.8,0.00%,66.0,95,1.43,67.8,68.76,66.03,55.37,39.87,74.77,10.0,7.05,57.0,True
1636,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,118867.37,25.91,10.89,,3.28,2.63,11.31,20.63,1.75%,51.00%,3.36,-139.20%,35.33%,6.80%,-1.80%,-8.60%,526.20%,158.20%,1332.29,1317.86,0.10%,-9.77%,80.40%,0.03%,1.13%,1.9,5.90%,11.60%,-3.50%,1.9,1.8,0.42,0.45,46.70%,17.70%,12.90%,-0.25%,19.25%,13.33%,53.92%,114.76%,20.62%,1.44,2.84,4.74%,3.21%,8.28%,15.93%,36.14%,-2.30%,32.15%,-2.30%,119.90%,67.86,-1.98%,1.96%,1.8,7868.52,1.13,87.06,-0.06%,8881714,2/3/2022 8:30:00 AM,93.63,1/13/1978,87.49,0.49%,75.0,98,1.83,87.06,81.13,75.52,64.29,39.7,89.19,14.0,7.55,62.333333333333336,True
2177,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,36969.77,29.95,9.84,1.2,4.14,3.89,15.93,13.43,0.85%,19.80%,1.73,3855.60%,55.91%,26.40%,25.00%,-18.20%,535.60%,224.80%,671.0,640.77,0.20%,-7.26%,90.20%,-1.98%,2.61%,1.47,6.70%,16.70%,-31.00%,1.2,1.2,0.76,0.76,42.90%,16.00%,13.40%,5.85%,16.10%,28.96%,105.05%,220.21%,17.57%,2.88,2.63,8.12%,4.80%,8.42%,17.93%,59.09%,-0.38%,45.68%,-0.38%,242.18%,65.63,-0.40%,1.44%,1.8,11411.32,1.38,51.79,1.03%,15775603,2/15/2022 4:30:00 PM,53.64,3/17/1992,52.0,0.41%,75.0,99,2.6,51.79,48.13,44.6,33.78,16.17,53.22,32.0,3.57,68.66666666666667,True
2429,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,64709.4,20.79,10.67,0.28,4.17,2.87,15.07,12.83,2.79%,31.00%,5.17,-122.20%,16.60%,33.90%,74.16%,4.80%,,105.70%,585.09,583.05,0.30%,1.78%,87.80%,-0.47%,0.87%,1.16,8.30%,14.40%,-1.60%,2.1,2.0,0.23,0.24,60.80%,26.20%,19.40%,2.28%,18.45%,15.82%,50.11%,102.56%,21.05%,1.83,3.98,5.43%,3.76%,9.35%,17.60%,33.41%,-0.43%,33.30%,-0.43%,122.50%,70.53,-0.13%,0.68%,2.0,4368.31,1.15,107.53,0.55%,5011984,11/4/2021 4:30:00 PM,114.47,10/4/1989,107.53,0.00%,69.0,98,1.73,107.53,99.2,92.54,82.67,50.08,109.9,15.0,6.45,60.666666666666664,True
2659,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,23848.01,66.11,7.39,1.08,4.3,2.01,52.18,8.29,1.57%,82.70%,1.93,269.40%,53.65%,-27.70%,61.03%,44.50%,150.50%,165.30%,181.03,180.27,0.20%,-9.35%,89.40%,0.64%,2.82%,1.79,2.10%,4.20%,-31.20%,0.7,0.7,0.6,0.6,79.40%,33.70%,8.00%,1.34%,14.63%,14.07%,60.09%,125.13%,18.13%,2.34,6.13,7.43%,4.68%,6.62%,13.43%,36.32%,-3.30%,34.08%,-3.30%,126.97%,62.25,-1.79%,2.16%,1.9,2838.97,1.09,127.4,0.33%,3086345,11/1/2021 4:30:00 PM,138.97,10/12/2012,127.4,0.00%,72.0,98,1.82,127.4,120.36,112.67,93.72,56.35,131.75,22.0,9.08,64.0,True
3473,HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,USA,28170.3,69.21,17.93,1.1,1.98,4.85,10.7,28.03,0.58%,40.40%,0.45,-158.60%,60.71%,-33.80%,62.70%,-9.40%,,29.70%,894.0,892.11,0.40%,-3.92%,78.00%,-0.33%,1.59%,1.44,1.90%,7.50%,-15.60%,2.4,1.8,1.61,1.61,12.60%,8.10%,2.80%,8.53%,32.93%,17.74%,46.04%,78.24%,34.67%,2.5,1.14,6.24%,3.88%,16.91%,27.61%,36.52%,-0.96%,48.29%,-0.96%,78.76%,78.14,-0.65%,1.34%,2.2,9845.4,1.86,30.8,0.69%,18301709,1/24/2022 8:30:00 AM,30.29,9/15/1948,30.98,0.58%,63.0,95,1.45,30.8,26.73,24.28,22.61,17.5,31.58,6.0,-1.66,54.666666666666664,True
5106,MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,USA,15756.44,,9.83,,3.51,1.43,,11.52,1.22%,,-0.05,-409.20%,50.72%,6.10%,-2.40%,-8.60%,158.10%,92.00%,789.0,766.09,0.25%,-7.30%,75.40%,0.42%,2.83%,1.27,-0.20%,-0.40%,-7.70%,1.0,0.9,0.37,0.37,88.50%,3.80%,-0.90%,2.67%,18.42%,16.38%,66.47%,160.08%,19.43%,2.82,0.85,6.29%,4.29%,8.93%,17.35%,41.17%,-2.00%,37.19%,-2.00%,172.36%,65.9,-1.31%,1.90%,2.2,17122.26,1.44,19.61,0.56%,24599058,2/16/2022 4:30:00 PM,20.9,11/26/1965,19.73,0.61%,63.0,99,2.24,19.61,18.16,16.77,13.94,7.2,20.26,21.0,6.58,61.0,True
5754,OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,USA,35844.06,,12.03,,1.6,3.8,17.41,5.79,0.11%,,-0.79,155.00%,42.84%,-8.00%,37.40%,7.30%,115.80%,64.90%,935.4,932.02,0.10%,2.11%,70.90%,0.37%,3.61%,2.16,-1.40%,-12.90%,-23.10%,1.1,0.9,3.39,3.48,59.40%,7.40%,-5.00%,3.43%,25.03%,4.81%,37.77%,80.08%,27.84%,2.14,1.75,7.05%,5.02%,12.01%,18.94%,28.35%,-0.13%,42.26%,-0.13%,90.44%,66.46,-0.78%,1.58%,2.5,15602.86,1.62,37.06,0.79%,25305473,11/4/2021 4:30:00 PM,42.04,7/2/1962,37.11,0.13%,53.0,96,1.53,37.06,33.47,31.26,28.94,19.73,38.28,8.0,13.44,52.333333333333336,True
6251,PXD,Pioneer Natural Resources Company,Energy,Oil & Gas E&P,USA,53894.32,41.75,10.42,,3.77,2.24,74.34,15.57,1.08%,59.00%,5.09,-126.30%,53.46%,7.50%,,19.50%,889.30%,167.20%,244.0,242.62,0.30%,0.20%,86.60%,0.09%,2.85%,3.28,4.30%,7.00%,1.50%,0.6,0.6,0.29,0.3,49.30%,28.50%,9.30%,-3.02%,14.36%,12.57%,49.01%,83.66%,16.81%,1.65,7.08,5.01%,3.13%,6.06%,13.14%,28.21%,-4.32%,27.24%,-4.32%,87.62%,64.92,-1.52%,1.21%,1.9,2107.49,1.38,212.45,-0.32%,2908639,11/3/2021 4:30:00 PM,233.67,12/22/1987,212.45,0.00%,72.0,96,1.49,212.45,201.74,188.96,168.2,115.15,222.04,29.0,9.99,65.66666666666667,True
6763,SCHW,The Charles Schwab Corporation,Financial,Capital Markets,USA,174426.78,31.86,18.81,1.26,9.18,3.58,5.08,29.75,0.80%,30.30%,2.83,-20.60%,22.22%,15.60%,25.30%,13.20%,55.90%,85.00%,1888.0,1600.54,7.19%,-1.85%,87.70%,0.12%,0.99%,2.54,0.70%,8.90%,0.60%,,,0.41,8.8,97.50%,31.80%,22.00%,-1.64%,4.88%,8.37%,32.66%,68.91%,7.03%,0.95,2.7,3.38%,2.77%,0.16%,6.18%,18.49%,-5.87%,17.72%,-5.87%,77.31%,54.33,0.02%,1.65%,2.0,6265.93,1.39,90.01,1.67%,8702809,1/18/2022 8:30:00 AM,103.38,9/22/1987,90.01,0.00%,69.0,95,1.44,90.01,90.09,84.93,76.08,50.77,95.62,20.0,14.85,61.333333333333336,True
