"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",45496.53,37.24,27.45,2.66,7.20,8.19,28.89,42.88,0.57%,19.10%,3.94,71.00%,10.37%,22.90%,14.00%,8.50%,102.30%,11.90%,302.00,301.14,0.20%,-19.27%,90.70%,0.22%,1.34%,2.55,11.70%,24.30%,14.70%,2.20,1.70,0.51,0.51,53.90%,21.30%,19.10%,-3.01%,-6.16%,-0.89%,-1.34%,15.49%,-8.15%,1.01,3.89,2.92%,2.46%,-4.73%,-5.73%,-2.85%,-11.49%,4.10%,-18.34%,30.38%,37.07,1.13%,-0.11%,,1579.90,1.38,146.64,1.02%,2185110,11/22/2021 4:30:00 PM,175.32,11/18/1999,146.64,0.00%
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",10906.15,14.48,9.67,,0.97,3.00,7.51,242.36,0.64%,0.00%,4.29,85.00%,3.26%,28.00%,,-3.70%,769.80%,31.50%,187.00,184.17,0.10%,-51.17%,77.40%,0.04%,6.03%,1.29,5.60%,23.00%,5.60%,1.50,0.90,0.44,0.44,22.00%,12.60%,7.30%,8.12%,27.46%,30.18%,77.01%,148.01%,4.40%,2.44,2.79,4.82%,4.71%,9.09%,20.86%,43.69%,-1.10%,43.78%,-1.10%,259.54%,67.66,2.45%,-1.35%,1.80,8639.98,0.69,62.20,1.07%,5980375,1/19/2022 4:30:00 PM,59.66,10/18/2016,62.20,0.00%
3,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44%,2.31%,3.48%,-0.28%,-1.95%,-0.28%,,0.15,0.79%,0.70%,1.31%,1.05%,1.34%,-2.40%,3.90%,-4.58%,8.63%,57.32,1.12%,0.11%,,200.28,0.68,18.13,1.23%,136981,,,8/15/2018,18.17,0.22%
4,"AAC","Ares Acquisition Corporation","Financial","Shell Companies","USA",1219.98,43.62,,,,1.31,1355.53,,,,0.22,,,,,,,,125.00,100.00,,,67.60%,,0.10%,0.37,,,,1.70,1.70,0.00,0.00,,,,-0.10%,-0.20%,0.00%,0.10%,,0.31%,,0.03,0.35%,0.25%,0.07%,-0.24%,-0.12%,-0.91%,0.41%,-2.30%,2.84%,49.48,0.00%,0.00%,,269.45,0.03,9.77,0.00%,9403,,,3/25/2021,9.75,-0.20%
5,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",53.86,,,,1.81,2.39,4.56,,,,-0.41,40.00%,-14.10%,-36.60%,25.00%,-17.20%,-61.50%,31.00%,31.19,29.64,18.70%,0.00%,17.50%,,0.10%,0.05,-17.50%,-49.20%,-48.10%,0.30,0.30,0.00,0.00,46.60%,-53.20%,-50.50%,-10.20%,45.86%,-4.18%,-23.15%,83.49%,113.92%,1.44,0.37,35.33%,21.43%,53.07%,31.11%,-12.68%,-22.11%,129.00%,-88.41%,129.00%,60.12,4.57%,0.00%,1.50,613.39,2.51,2.29,4.57%,1541355,11/10/2021 4:30:00 PM,32.50,1/29/2008,2.23,-2.62%
6,"AACI","Armada Acquisition Corp. I","Financial","Shell Companies","USA",213.55,,,,,223.86,305.07,,,,-0.02,,,,,,,,21.68,17.41,25.41%,0.00%,42.00%,248.13%,0.01%,0.02,,,,4.40,4.40,0.00,0.00,,,,-0.61%,0.82%,,,,0.61%,,0.06,0.33%,0.33%,0.43%,0.68%,0.68%,-0.61%,5.46%,-0.61%,5.46%,53.91,0.00%,-0.30%,,83.49,0.01,9.85,-0.30%,768,,,11/10/2021,,
7,"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,229.32,,,,,-0.09,,,,,,,,,,,,87.84%,,,0.02,,,,,,,,,,,0.92%,1.41%,2.75%,,,0.60%,,0.08,0.28%,0.56%,0.70%,1.24%,1.54%,-4.18%,2.96%,-4.18%,3.38%,56.86,0.90%,-0.30%,,67.63,0.01,10.09,0.60%,499,,,8/13/2021,,
8,"AACIW","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,110.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,9.96%,,,,-1.70%,,0.04,5.18%,9.75%,5.11%,6.34%,6.34%,-17.87%,22.20%,-17.87%,22.20%,53.27,9.98%,-9.07%,,62.92,0.40,0.55,0.00%,25067,,,11/11/2021,,
9,"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology","USA",521.21,,,,5212.11,1.51,3.23,,,,-11.63,82.30%,48.40%,30.90%,,,-705.00%,,20.89,12.38,0.10%,0.00%,52.70%,-2.94%,1.90%,1.30,-134.90%,-147.00%,-14.70%,14.00,14.00,0.04,0.04,,,,-1.88%,6.33%,-11.91%,-21.85%,33.50%,-0.50%,1.48,1.54,7.48%,6.48%,-1.12%,0.03%,-7.47%,-26.06%,28.16%,-51.75%,67.91%,51.26,5.58%,4.02%,1.70,181.42,0.80,24.03,9.83%,144494,,50.00,8/8/2017,24.03,0.00%
10,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,0.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.51%,1.66%,0.91%,-3.31%,5.87%,-0.26%,,0.74,1.07%,0.73%,1.44%,0.55%,-1.55%,-3.33%,5.37%,-7.60%,9.59%,54.38,1.06%,0.36%,,2.53,0.30,64.09,1.42%,746,,,7/21/2010,,
