,Date,News Headline,Article Link,Source
0,2022-02-18 16:16,Analysts: Failed SeaWorld/Cedar Fair deal is a good thing. Here's why.,https://www.bizjournals.com/orlando/news/2022/02/18/here-s-why-experts-are-happy-seaworld-deal-didn-t.html?ana=yahoo,American City Business Journals
1,2022-02-18 15:16,"One of the Most Anticipated Coasters of 2022, SeaWorld's ALL-NEW Ice Breaker, Now Open to the Public",https://finance.yahoo.com/news/one-most-anticipated-coasters-2022-201600726.html,PR Newswire
2,2022-02-17 15:02,SeaWorld (SEAS) Earnings Expected to Grow: Should You Buy?,https://finance.yahoo.com/news/seaworld-seas-earnings-expected-grow-200208103.html,Zacks
3,2022-02-17 08:30,"SeaWorld Conservation Partnerships Raise Awareness of Marine Animals in Need, Inspired by the Themes of Some of the Most Anticipated Coasters of 2022: Ice Breaker and Emperor",https://finance.yahoo.com/news/seaworld-conservation-partnerships-raise-awareness-133000923.html,PR Newswire
4,2022-02-16 18:03,Whats next for Schlitterbahn owner after rejecting $3.4B SeaWorld offer,https://www.bizjournals.com/sanantonio/news/2022/02/16/schlitterbahn-owner-rejects-3-4b-seaworld-offer.html?ana=yahoo,American City Business Journals
5,2022-02-16 15:09,Cedar Point parent reports a loss day after rejecting SeaWorld buyout offer,https://www.bizjournals.com/cleveland/news/2022/02/16/park-visitor-spending-cushions-cedar-fair-loss.html?ana=yahoo,American City Business Journals
6,2022-02-16 12:28,"SeaWorld, Cedar Fair Slide as Theme-Park Merger Plan Crumbles",https://finance.yahoo.com/news/seaworld-cedar-fair-slide-theme-141849747.html,Bloomberg
7,2022-02-16 10:59,"NATO Disputes Russian Withdrawals, an Alarming Yield Curve, and More Moving Today's Market",https://www.investopedia.com/nato-disputes-russian-troop-withdrawals-halting-stocks-advances-5219346?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral,Investopedia
8,2022-02-16 10:51,SeaWorld Entertainment's bid for Cedar Fair takeover rejected,https://www.bizjournals.com/orlando/news/2022/02/16/major-local-theme-park-abandons-acquisition-offer.html?ana=yahoo,American City Business Journals
9,2022-02-16 10:48,Is a Deal for Cedar Fair Still Possible?,https://www.fool.com/investing/2022/02/16/is-a-deal-for-cedar-fair-still-possible/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Motley Fool
10,2022-02-16 08:20,Worlds of Fun owner rejects $3.4B SeaWorld offer,https://www.bizjournals.com/kansascity/news/2022/02/16/worlds-of-fun-owner-rejects-seaworld-offer.html?ana=yahoo,American City Business Journals
