no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp1500
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,261147.67,34.93,11.96,8.52,4.73,19.16,21.32,24.32,3.84%,133.00%,4.2,11.50%,-13.34%,21.91%,4.10%,17.00%,37.60%,11.20%,1770.0,1765.97,0.10%,-22.58%,69.70%,1.97%,0.91%,2.11,4.40%,49.90%,19.60%,1.0,0.9,5.46,5.96,67.90%,28.20%,12.00%,1.38%,11.05%,26.90%,22.63%,35.03%,8.39%,0.78,3.0,2.15%,2.07%,4.19%,7.67%,22.54%,-0.31%,18.63%,-0.31%,43.81%,71.51,0.45%,0.37%,7671.47,1.21,146.76,0.82%,9268268,2/2/2022 8:30:00 AM,149.45,12/10/2012,146.57,-0.13%,69.0,92,1.25,146.76,141.55,136.73,119.91,102.05,148.35,12.0,1.83,57.666666666666664,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,29294.28,18.11,12.05,1.75,0.13,120.23,8.27,16.3,1.32%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-44.93%,65.70%,1.02%,1.13%,1.56,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,-1.42%,6.02%,15.15%,18.19%,32.58%,4.95%,0.46,3.11,1.82%,2.39%,0.61%,4.24%,13.04%,-3.29%,15.26%,-3.29%,38.49%,54.88,-1.25%,0.48%,1087.21,1.01,139.47,-0.78%,1095184,2/2/2022 8:30:00 AM,153.92,4/4/1995,139.47,0.00%,63.0,91,1.23,139.47,139.04,134.12,123.46,100.71,144.22,13.0,10.36,55.666666666666664,True
212,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,3985.87,16.28,15.86,5.43,4.71,0.65,39.46,,1.55%,24.40%,3.48,4.40%,0.99%,-10.00%,3.00%,-15.80%,-77.50%,-32.90%,72.7,66.34,0.20%,-12.45%,91.70%,-4.66%,2.68%,3.96,1.60%,4.20%,4.30%,,,0.27,0.27,,34.50%,32.30%,-4.24%,9.29%,5.73%,13.45%,28.81%,12.93%,1.13,1.53,2.20%,2.67%,1.75%,7.32%,13.33%,-5.26%,26.15%,-5.26%,44.43%,55.7,-1.89%,1.44%,449.04,0.87,56.69,-0.47%,391051,2/24/2022 4:30:00 PM,61.0,4/23/2004,56.69,0.00%,78.0,89,1.2,56.69,55.94,52.98,50.07,41.1,59.84,37.0,7.6,68.0,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,50806.81,9.66,10.09,0.31,1.07,0.78,23.12,9.78,2.08%,11.60%,6.37,257.40%,14.68%,77.40%,30.69%,-0.30%,478.80%,45.60%,833.65,829.46,0.10%,-1.74%,91.40%,-2.44%,0.98%,1.59,1.60%,14.50%,11.70%,,,0.46,0.46,,28.10%,19.60%,1.92%,7.10%,8.08%,13.21%,35.46%,8.23%,1.3,1.92,2.84%,3.28%,2.47%,5.10%,12.73%,-3.15%,18.69%,-3.15%,41.05%,57.17,-0.95%,0.84%,5135.25,0.99,61.54,-0.11%,5102256,2/16/2022 4:30:00 PM,65.62,4/3/1972,61.01,-0.86%,63.0,92,1.26,61.54,60.22,58.7,54.64,43.63,63.54,14.0,6.63,56.333333333333336,True
363,AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,1304.35,37.98,18.52,1.52,3.16,3.06,11.38,29.31,,0.00%,0.72,-97.10%,12.95%,19.70%,25.00%,6.80%,651.50%,34.50%,48.02,36.86,0.60%,-32.27%,62.50%,4.81%,5.25%,7.08,5.60%,8.70%,1.70%,3.1,2.1,0.18,0.18,43.70%,15.00%,8.70%,4.02%,11.08%,30.27%,42.87%,49.65%,17.90%,0.69,1.15,3.14%,5.08%,6.89%,12.74%,31.56%,0.37%,29.77%,0.37%,62.39%,62.75,2.31%,2.84%,273.48,1.85,27.46,5.21%,506823,,28.25,6/25/2014,27.46,0.00%,53.0,95,1.39,27.46,25.82,24.48,20.91,16.91,27.9,12.0,2.88,53.333333333333336,True
393,ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA,1360.59,14.14,15.63,1.77,0.11,1.34,6.27,,1.73%,26.00%,2.94,-69.00%,-5.57%,18.80%,8.00%,13.90%,,59.00%,33.28,30.77,2.60%,-25.42%,81.30%,4.05%,1.61%,2.51,2.20%,9.00%,0.00%,1.4,0.9,0.53,0.9,4.70%,1.00%,0.70%,3.93%,8.85%,12.05%,34.79%,49.32%,7.39%,0.71,1.48,5.08%,3.79%,8.64%,8.97%,26.01%,0.29%,20.67%,0.29%,65.82%,67.57,3.67%,0.65%,197.47,2.6,41.57,4.34%,513910,2/15/2022 4:30:00 PM,45.75,2/20/1996,41.31,-0.63%,69.0,95,1.39,41.57,38.45,38.28,33.04,25.07,41.83,16.0,10.06,60.0,True
690,AXP,American Express Company,Financial,Credit Services,USA,144091.38,18.91,16.64,0.55,3.36,6.54,6.76,12.37,0.91%,17.20%,9.99,166.10%,17.14%,12.30%,34.57%,3.50%,24.50%,28.80%,768.0,758.29,0.10%,-39.00%,87.00%,-2.10%,1.33%,2.35,4.20%,32.80%,5.50%,,,1.74,5.65,68.60%,25.00%,18.50%,-4.56%,18.89%,10.56%,17.21%,35.07%,15.50%,1.11,5.14,2.00%,2.89%,0.72%,8.26%,11.57%,-5.31%,23.62%,-5.31%,41.23%,55.39,-2.78%,0.99%,4291.3,0.83,188.95,-1.81%,3561019,1/25/2022 8:30:00 AM,196.6,4/4/1972,188.5,-0.24%,56.0,92,1.25,188.95,188.4,174.97,169.51,133.79,199.55,13.0,4.05,53.666666666666664,True
791,BCOR,"Blucora, Inc.",Financial,Asset Management,USA,947.05,130.2,8.9,8.68,1.07,2.6,5.11,12.38,,,0.15,-831.20%,12.27%,47.75%,15.00%,45.00%,-4.60%,-0.70%,48.71,47.6,1.90%,8.42%,95.60%,3.52%,2.61%,3.13,-1.60%,-5.00%,-34.70%,2.1,2.1,1.54,1.54,45.80%,6.40%,-2.00%,1.92%,19.10%,8.94%,17.50%,15.96%,10.51%,1.57,0.8,5.93%,4.53%,10.19%,11.39%,14.23%,-6.41%,26.75%,-6.41%,34.69%,65.69,-4.20%,0.86%,395.77,0.85,19.14,-3.38%,337640,2/16/2022 8:30:00 AM,23.67,12/15/1998,19.14,0.00%,69.0,81,1.08,19.14,17.54,17.22,16.77,14.21,20.6,15.0,23.67,55.0,True
935,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,30176.27,,16.84,,1.47,1.57,6.17,32.59,2.48%,,-0.36,98.20%,35.61%,46.90%,50.90%,15.80%,-56.50%,-0.20%,899.0,818.52,0.10%,-98.95%,88.90%,4.85%,8.21%,7.65,-0.60%,-1.30%,2.90%,1.7,1.2,0.4,0.41,19.70%,7.00%,-1.10%,0.90%,7.31%,28.26%,30.91%,15.51%,20.74%,1.47,1.18,3.57%,4.24%,4.13%,10.35%,19.22%,-3.50%,27.61%,-3.50%,54.93%,60.33,1.47%,0.10%,8775.18,0.82,29.05,1.57%,7211690,1/20/2022 8:30:00 AM,32.41,10/3/1961,29.05,0.00%,69.0,80,1.07,29.05,27.95,26.4,24.39,18.75,30.11,2.0,11.57,50.333333333333336,True
1281,CBT,Cabot Corporation,Basic Materials,Specialty Chemicals,USA,4051.19,42.66,11.14,3.6,1.12,5.15,22.63,,2.06%,81.90%,1.69,199.60%,11.62%,13.30%,11.86%,7.20%,-252.90%,29.80%,56.8,56.15,1.10%,-4.56%,92.40%,-0.51%,2.15%,2.94,3.10%,11.30%,15.60%,1.2,0.8,0.9,1.65,22.30%,7.00%,2.70%,-1.07%,28.93%,20.59%,33.85%,39.53%,28.06%,1.46,2.29,2.59%,3.66%,10.42%,19.97%,26.57%,-3.87%,40.87%,-3.87%,51.23%,68.49,-1.73%,0.85%,411.47,1.34,71.97,-0.90%,549770,1/31/2022 4:30:00 PM,77.33,8/23/1968,71.99,0.03%,69.0,93,1.3,71.97,66.0,60.31,56.92,47.59,74.87,9.0,7.45,57.0,True
