no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,259012.37,34.65,11.86,8.45,4.69,19.0,21.15,24.12,3.87%,133.00%,4.2,11.50%,-13.34%,21.91%,4.10%,17.00%,37.60%,11.20%,1770.0,1765.97,0.10%,-22.58%,69.70%,1.97%,0.91%,2.15,4.40%,49.90%,19.60%,1.0,0.9,5.46,5.96,67.90%,28.20%,12.00%,1.79%,10.29%,25.22%,21.95%,36.97%,7.50%,0.78,3.02,2.05%,2.16%,3.83%,7.13%,21.69%,-1.13%,19.21%,-1.13%,42.64%,69.14,2.08%,-1.00%,7522.48,1.53,145.56,1.06%,11546836,2/2/2022 8:30:00 AM,149.45,12/10/2012,145.21,-0.24%,69.0,91,1.21,145.56,140.86,136.31,119.76,102.05,147.22,12.0,2.67,57.333333333333336,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,29523.22,18.25,12.15,1.76,0.13,121.17,8.34,16.42,1.31%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-44.93%,65.70%,1.02%,1.13%,1.55,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,0.27%,6.87%,16.63%,17.45%,32.02%,5.77%,0.46,3.13,1.92%,2.45%,1.73%,5.36%,14.02%,-2.54%,17.29%,-2.54%,39.57%,58.6,-0.76%,0.10%,1095.06,0.9,140.56,-0.66%,985381,2/2/2022 8:30:00 AM,153.92,4/4/1995,140.56,0.00%,63.0,90,1.2,140.56,138.62,133.79,123.38,100.71,144.22,13.0,9.5,55.333333333333336,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,50864.6,9.67,10.1,0.32,1.07,0.78,23.14,9.79,2.08%,11.60%,6.37,257.40%,14.68%,77.40%,30.69%,-0.30%,478.80%,45.60%,833.65,829.46,0.10%,-0.84%,91.40%,-2.44%,0.98%,1.59,1.60%,14.50%,11.70%,,,0.46,0.46,,28.10%,19.60%,4.44%,7.48%,12.12%,13.76%,38.86%,8.35%,1.3,1.93,2.79%,3.44%,2.94%,5.46%,12.97%,-3.04%,18.82%,-3.04%,46.43%,57.56,-0.63%,0.44%,5135.35,1.12,61.61,-0.19%,5749547,2/16/2022 4:30:00 PM,65.62,4/3/1972,62.0,0.63%,63.0,91,1.22,61.61,60.06,58.56,54.59,43.63,63.54,15.0,6.51,56.333333333333336,True
690,AXP,American Express Company,Financial,Credit Services,USA,146752.82,19.26,16.95,0.56,3.43,6.66,6.88,12.6,0.89%,17.20%,9.99,166.10%,17.14%,12.30%,34.57%,3.50%,24.50%,28.80%,768.0,758.29,0.10%,-39.00%,87.00%,-2.10%,1.33%,2.34,4.20%,32.80%,5.50%,,,1.74,5.65,68.60%,25.00%,18.50%,0.05%,21.23%,10.89%,19.94%,40.53%,17.63%,1.11,4.99,1.81%,2.95%,3.50%,10.57%,13.74%,-3.56%,25.90%,-3.56%,48.61%,61.32,-1.30%,0.05%,4313.49,0.79,192.44,-1.25%,3419521,1/25/2022 8:30:00 AM,196.6,4/4/1972,193.02,0.30%,56.0,92,1.24,192.44,187.61,174.53,169.36,133.79,199.55,12.0,2.16,53.333333333333336,True
935,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,29708.82,,16.58,,1.45,1.55,6.07,32.08,2.52%,,-0.36,98.20%,35.61%,46.90%,50.90%,15.80%,-56.50%,-0.20%,899.0,818.52,0.10%,-98.95%,88.90%,4.85%,8.21%,7.73,-0.60%,-1.30%,2.90%,1.7,1.2,0.4,0.41,19.70%,7.00%,-1.10%,0.21%,4.99%,26.83%,32.90%,19.62%,18.87%,1.47,1.18,3.71%,4.37%,2.80%,8.95%,17.47%,-5.00%,25.63%,-5.00%,52.53%,57.51,-3.83%,2.16%,8691.53,1.76,28.6,-1.75%,15259494,1/20/2022 8:30:00 AM,32.41,10/3/1961,28.6,0.00%,69.0,78,1.03,28.6,27.9,26.33,24.37,18.75,30.11,3.0,13.32,50.0,True
1375,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,USA,16465.57,17.39,12.44,0.28,2.52,5.4,21.75,27.96,1.63%,56.60%,4.25,-33.80%,-51.56%,-13.10%,62.70%,-0.90%,-557.70%,60.80%,214.9,213.64,0.40%,-36.09%,92.20%,-2.28%,2.07%,1.35,3.80%,15.00%,8.90%,1.8,1.4,1.18,1.18,36.50%,13.60%,7.00%,3.32%,11.86%,13.25%,64.80%,57.93%,4.31%,1.02,4.21,7.04%,6.11%,1.80%,6.12%,28.48%,-4.45%,26.29%,-4.45%,70.96%,53.95,-2.68%,3.53%,3256.96,1.42,73.83,0.76%,4611823,2/15/2022 4:30:00 PM,76.79,8/11/2005,73.65,-0.24%,66.0,96,1.42,73.83,72.8,69.88,57.56,43.19,77.27,14.0,4.01,58.666666666666664,True
1382,CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional,USA,22576.0,10.3,10.5,,4.65,1.06,1.43,,2.94%,34.70%,5.16,-41.70%,19.54%,7.50%,-2.76%,6.80%,74.50%,-4.50%,426.09,424.13,0.10%,0.00%,96.90%,-0.78%,3.08%,2.75,1.00%,9.10%,12.90%,,,0.32,0.32,,91.80%,39.50%,-0.99%,4.96%,7.10%,24.11%,19.53%,12.44%,1.45,1.56,2.35%,2.86%,-0.48%,3.65%,11.35%,-6.79%,21.97%,-6.79%,34.32%,49.59,-0.64%,0.41%,4754.22,0.75,53.13,-0.23%,3560430,1/19/2022 8:30:00 AM,60.58,9/24/2014,53.13,0.00%,69.0,78,1.03,53.13,53.49,51.38,47.73,39.56,57.0,12.0,14.02,53.0,True
1649,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,117820.43,14.47,11.28,8.15,2.57,2.54,21.52,12.65,1.73%,32.50%,6.07,342.80%,-13.67%,32.60%,1.78%,13.70%,376.60%,175.40%,1318.95,1317.17,0.10%,-19.84%,78.80%,-1.93%,1.30%,2.09,9.30%,18.30%,10.80%,1.3,1.2,0.41,0.44,48.20%,25.10%,17.60%,-4.06%,6.18%,26.52%,60.75%,69.05%,21.68%,1.43,3.29,3.31%,3.69%,-2.74%,7.24%,30.14%,-7.48%,33.32%,-7.48%,85.38%,49.37,-5.28%,3.46%,8177.99,1.13,87.83,-2.01%,9264073,2/3/2022 8:30:00 AM,102.29,1/13/1978,88.19,0.41%,75.0,96,1.45,87.83,90.54,82.27,67.79,47.85,94.93,11.0,16.46,60.666666666666664,True
1792,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,18516.8,25.81,6.6,0.35,11.01,3.88,242.68,62.07,1.99%,47.80%,0.87,-69.30%,16.97%,30.70%,74.49%,1.60%,514.80%,51.30%,813.58,797.84,1.30%,-4.27%,94.50%,69.70%,3.55%,3.47,7.60%,15.30%,7.60%,1.0,0.9,0.41,0.41,62.10%,29.00%,20.90%,-2.88%,16.71%,12.86%,59.00%,28.98%,18.74%,-0.21,0.92,3.23%,4.07%,1.17%,6.47%,20.25%,-7.50%,22.68%,-7.50%,63.12%,53.41,-3.51%,3.50%,8171.97,1.38,22.56,-0.13%,11273638,2/23/2022 4:30:00 PM,27.56,2/8/1990,22.56,0.00%,59.0,81,1.06,22.56,22.45,21.22,19.11,14.28,24.39,30.0,22.16,56.666666666666664,True
1840,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,255588.92,16.28,14.32,,1.64,1.87,42.37,,4.05%,279.00%,8.13,-291.90%,-11.93%,-26.20%,-4.90%,-6.10%,,77.30%,1918.01,1897.83,0.04%,-62.87%,67.60%,0.35%,1.22%,1.86,1.50%,2.70%,-2.10%,1.3,1.0,0.27,0.27,42.70%,2.80%,2.30%,-3.12%,4.33%,18.31%,36.88%,32.89%,12.82%,1.15,3.45,2.36%,2.65%,-1.56%,4.80%,19.51%,-5.05%,19.57%,-5.05%,42.58%,50.57,-3.00%,2.31%,12467.57,1.56,132.4,-0.76%,19423182,1/28/2022 8:30:00 AM,141.26,6/24/1921,132.6,0.15%,63.0,88,1.16,132.4,134.76,126.63,110.9,92.86,139.44,10.0,6.69,53.666666666666664,True
