,ticker,allocation,companyName,start_price,current_price,initial_investment,shares,cash_now,return,rank
7,KZR,1.1910699851475364,"Kezar Life Sciences, Inc.",9.73,14.23,29.78,3.06,43.54,46.21,1.0
0,TRNS,11.22296596355523,"Transcat, Inc.",64.33,73.0,280.57,4.36,318.28,13.44,2.0
10,LSI,19.03634462407512,"Life Storage, Inc.",119.89,131.16,475.91,3.97,520.71,9.41,3.0
2,NVDA,7.592448963168952,NVIDIA Corporation,219.0,221.0,189.81,0.87,192.27,1.3,4.0
9,EFX,16.69011586150763,Equifax Inc.,267.62,223.9,417.25,1.56,349.28,-16.29,5.0
4,DHR,5.514266507707372,Danaher Corporation,324.1,262.52,137.86,0.43,112.88,-18.12,6.0
5,INTU,16.881751287477524,Intuit Inc.,561.85,439.32,422.04,0.75,329.49,-21.93,7.0
3,NAVI,0.6979070128093848,Navient Corporation,23.49,16.63,17.45,0.74,12.31,-29.46,8.0
1,SWAV,12.926614940282796,"ShockWave Medical, Inc.",227.05,157.45,323.17,1.42,223.58,-30.82,9.0
6,NOTV,6.969201100677935,"Inotiv, Inc.",35.09,20.74,174.23,4.97,103.08,-40.84,10.0
8,BSY,1.2773137535905195,"Bentley Systems, Incorporated",67.79,36.44,31.93,0.47,17.13,-46.35,11.0
