,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_sp1500
0,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,14825.22,76.5,18.0,79,1.2,231.83,254.06,9.59,0.03%,2.45%,11.09%,24.74%,61.97%,49.69%,231.63,,201.1,143.15,243.05,57.833333333333336,True
1,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,2757.14,81.5,27.0,83,1.27,92.56,105.57,14.06,7.86%,15.36%,27.67%,26.51%,75.63%,74.02%,85.85,,70.98,50.22,94.42,63.833333333333336,True
3,ABCB,Ameris Bancorp,Financial,Banks - Regional,3786.93,84.0,17.0,75,1.14,52.82,59.43,12.51,-0.83%,-2.75%,8.35%,-1.33%,54.93%,40.40%,53.68,,51.51,33.86,59.85,58.666666666666664,True
6,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,2139.58,86.5,19.0,94,1.81,63.58,68.5,7.74,-0.51%,29.42%,30.13%,57.10%,133.64%,119.20%,59.34,,43.95,26.51,65.16,66.5,True
8,ADNT,Adient plc,Consumer Cyclical,Auto Parts,4659.09,71.5,14.0,75,1.14,47.15,50.9,7.95,2.48%,12.49%,18.40%,2.14%,64.76%,40.12%,44.78,,42.78,30.1,53.17,53.5,True
9,AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,12539.08,74.0,20.0,76,1.16,141.16,160.33,13.58,3.62%,11.33%,15.00%,36.96%,98.85%,103.62%,140.72,,126.87,79.21,146.63,56.666666666666664,True
10,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,3774.78,89.0,37.0,82,1.25,53.62,61.0,13.76,-0.55%,-2.43%,6.99%,15.84%,66.44%,71.20%,54.67,,47.53,29.73,56.95,69.33333333333333,True
12,AKR,Acadia Realty Trust,Real Estate,REIT - Retail,1989.31,74.0,46.0,75,1.14,22.21,24.29,9.37,-0.31%,-1.82%,4.87%,3.02%,48.49%,56.24%,22.32,,20.98,13.48,23.33,65.0,True
18,AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,7318.81,79.0,15.0,90,1.48,174.26,213.67,22.62,-1.37%,6.66%,4.75%,10.80%,104.55%,74.93%,179.08,,159.85,86.94,191.62,61.333333333333336,True
19,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,34421.56,84.0,26.0,80,1.21,301.31,337.11,11.88,-1.53%,2.00%,11.47%,18.86%,65.42%,56.42%,304.47,,258.0,182.83,312.15,63.333333333333336,True
