,ticker,allocation,companyName,start_price,current_price,initial_investment,shares,cash_now,return
4,AAP,9.323153463028024,"Advance Auto Parts, Inc.",205.5800018310547,204.0800018310547,233.08,1.13,230.61,-1.06
1,ANET,12.90368146066985,"Arista Networks, Inc.",121.79000091552734,119.91000366210938,322.59,2.65,317.76,-1.5
3,BAC,0.7767430134397049,Bank of America Corporation,41.040000915527344,40.33000183105469,19.42,0.47,18.96,-2.37
10,EPAM,15.369074683211643,"EPAM Systems, Inc.",196.77999877929688,200.13999938964844,384.23,1.95,390.27,1.57
7,FTNT,15.390771029221815,"Fortinet, Inc.",292.05999755859375,279.1300048828125,384.77,1.32,368.45,-4.24
0,GOOG,6.639948246458184,Alphabet Inc.,2679.989990234375,2609.510009765625,166.0,0.06,156.57,-5.68
9,MPWR,9.69925276018521,"Monolithic Power Systems, Inc.",418.989990234375,395.739990234375,242.48,0.58,229.53,-5.34
6,MSFT,2.9347006667548303,Microsoft Corporation,287.9599914550781,280.07000732421875,73.37,0.25,70.02,-4.57
5,MSI,11.04159475142102,"Motorola Solutions, Inc.",224.50999450683594,221.77000427246094,276.04,1.23,272.78,-1.18
8,NDAQ,15.738212609444156,"Nasdaq, Inc.",168.05999755859375,164.8699951171875,393.46,2.34,385.8,-1.95
2,TXT,0.1828673161655641,Textron Inc.,70.4000015258789,69.19000244140625,4.57,0.06,4.15,-9.19
