"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",40952.67,33.53,24.96,2.40,6.48,7.38,26.00,38.60,0.64%,19.10%,3.94,71.00%,10.16%,22.90%,14.00%,8.50%,102.30%,11.90%,301.00,299.66,0.20%,-18.32%,91.10%,0.20%,1.75%,2.90,11.70%,24.30%,14.70%,2.20,1.70,0.51,0.51,53.90%,21.30%,19.10%,-3.75%,-5.33%,-18.57%,-21.46%,6.92%,-17.29%,1.04,4.04,2.85%,2.92%,-4.36%,-9.72%,-13.09%,-18.80%,1.80%,-26.46%,17.41%,36.28,1.19%,0.19%,,1806.10,2.00,132.05,1.38%,3614025,2/22/2022 4:30:00 PM,175.32,11/18/1999,132.05,0.00%
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",14163.58,35.46,11.16,,1.17,3.77,9.75,,0.51%,0.00%,2.21,85.00%,-4.97%,28.00%,,-3.70%,769.80%,31.50%,187.00,186.96,0.70%,-29.50%,77.70%,0.20%,5.18%,1.21,3.00%,12.10%,5.00%,1.50,0.90,0.44,0.44,24.70%,8.10%,3.50%,6.37%,27.67%,63.94%,107.37%,215.32%,31.25%,2.39,3.68,4.15%,5.83%,19.83%,29.48%,65.23%,0.32%,66.45%,0.32%,271.14%,75.56,2.69%,-0.42%,2.00,7990.31,0.73,78.20,2.26%,5818825,1/19/2022 4:30:00 PM,67.91,10/18/2016,78.19,-0.01%
3,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00%,3.17%,1.95%,6.37%,4.78%,3.74%,,0.17,0.61%,0.74%,3.67%,4.56%,4.87%,-0.16%,8.08%,-0.74%,13.00%,69.04,0.05%,-0.13%,,469.32,0.54,18.86,-0.08%,252855,,,8/15/2018,18.84,-0.11%
4,"AAC","Ares Acquisition Corporation","Financial","Shell Companies","USA",1217.54,43.50,,,,1.30,1352.82,,,,0.22,,,,,,,,125.00,100.00,,,67.70%,0.06%,0.14%,0.47,,,,1.70,1.70,0.00,0.00,,,,-0.10%,0.05%,-0.76%,0.78%,,0.05%,,0.03,0.32%,0.30%,0.05%,-0.09%,-0.24%,-0.76%,0.46%,-2.55%,2.58%,48.82,-0.05%,0.00%,,297.20,0.21,9.74,-0.05%,62675,,,3/25/2021,9.75,0.05%
5,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",45.59,,,,1.52,1.45,3.86,,,,-0.41,40.00%,-14.10%,-36.60%,25.00%,-17.20%,-61.50%,31.00%,31.19,29.64,18.70%,0.00%,17.50%,,0.25%,0.11,-17.50%,-49.20%,-48.20%,0.30,0.30,0.00,0.00,46.60%,-53.20%,-50.50%,-11.46%,-24.04%,-28.35%,-46.12%,-74.21%,29.85%,1.36,0.16,9.08%,9.07%,-13.10%,-13.07%,-41.72%,-52.72%,39.00%,-77.76%,39.00%,38.12,-11.46%,1.29%,1.50,661.92,0.08,1.39,-10.32%,52465,11/10/2021 4:30:00 PM,32.50,1/29/2008,1.48,6.47%
6,"AACI","Armada Acquisition Corp. I","Financial","Shell Companies","USA",214.00,,,,,1.37,535.00,,,,-0.02,,,,,,,,20.71,17.41,25.41%,0.00%,16.50%,,1.07%,4.53,,,,0.40,0.40,0.00,0.00,,,,-0.10%,0.31%,,,,0.41%,,0.06,0.38%,0.32%,-0.25%,0.20%,0.25%,-1.60%,5.25%,-1.60%,5.25%,48.62,0.00%,-1.60%,,41.20,0.02,9.83,-1.60%,802,,,11/10/2021,,
7,"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,,,,,,-0.09,,,,,,,,,10.72,,,83.96%,,0.00%,0.07,,,,,,,,,,,0.30%,-0.10%,1.26%,,,-0.10%,,0.10,0.04%,0.36%,0.05%,0.41%,0.77%,-4.84%,2.24%,-4.84%,2.66%,51.38,0.00%,0.00%,,6.04,0.00,10.02,0.00%,0,,,8/13/2021,,
8,"AACIW","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,64.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.73%,-36.73%,,,,-42.28%,,0.06,7.11%,14.38%,-7.86%,-28.59%,-30.11%,-51.78%,53.56%,-51.78%,53.56%,44.99,-2.14%,56.70%,,32.03,0.09,0.32,53.34%,2877,,,11/11/2021,,
9,"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology","USA",375.76,,,,3757.60,1.11,2.33,,,,-11.63,82.30%,52.60%,30.90%,,,-705.00%,,20.89,12.38,0.10%,0.00%,53.40%,-1.78%,4.99%,2.99,-134.90%,-147.00%,-14.70%,14.00,14.00,0.04,0.04,,,,-6.43%,-10.66%,-25.04%,-45.17%,-39.52%,-27.12%,1.53,1.46,6.02%,7.37%,-6.98%,-19.17%,-32.78%,-33.83%,2.62%,-64.66%,22.98%,39.60,-1.68%,-1.10%,1.60,206.44,0.74,17.60,-2.76%,153567,,48.75,8/8/2017,17.53,-0.40%
10,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,0.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.82%,-1.99%,-5.93%,-11.44%,-7.13%,-4.90%,,1.09,0.95%,1.47%,-1.72%,-2.77%,-6.00%,-5.93%,5.79%,-11.90%,5.79%,42.89,-0.48%,-0.17%,,3.76,2.51,61.10,-0.65%,9461,,,7/21/2010,,
