no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,10366.25,13.09,8.61,,0.93,2.71,7.14,230.36,0.71%,0.00%,4.29,85.00%,3.85%,28.00%,,-3.70%,769.80%,31.50%,187.0,184.17,0.10%,-49.91%,77.60%,0.28%,8.01%,1.8,5.60%,23.00%,5.60%,1.5,0.9,0.44,0.44,22.00%,12.60%,7.30%,-7.11%,-1.02%,12.44%,51.67%,189.74%,-5.66%,2.42,3.17,5.57%,4.73%,-6.46%,5.26%,26.88%,-12.68%,29.94%,-12.68%,224.91%,45.76,-6.27%,-2.09%,1.8,8176.61,1.33,56.21,-8.23%,10855129,1/19/2022 4:30:00 PM,62.85,10/18/2016,56.28,0.12%,75.0,99,2.53,56.21,59.94,53.58,44.43,17.3,64.37,11.0,11.81,61.666666666666664,True
376,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,USA,1260.1,23.08,17.1,,5.12,1.54,5.89,30.81,0.18%,0.00%,1.47,-103.50%,20.04%,-16.20%,,4.60%,900.60%,-0.80%,37.13,26.15,0.80%,-10.17%,32.00%,0.19%,1.39%,3.29,0.70%,7.00%,21.20%,,,0.15,0.15,,,22.70%,-2.42%,-1.14%,27.58%,53.68%,120.98%,-2.14%,1.41,1.5,5.27%,3.81%,-1.52%,4.83%,33.04%,-7.92%,21.05%,-7.92%,148.07%,52.33,2.24%,-1.22%,1.8,110.47,1.25,33.81,0.99%,138207,1/20/2022 8:30:00 AM,34.33,8/29/2018,33.81,0.00%,75.0,98,1.93,33.81,34.29,32.34,25.49,13.63,36.72,14.0,1.54,62.333333333333336,True
449,APTS,Preferred Apartment Communities,Real Estate,REIT - Residential,USA,887.53,,,,1.9,0.84,16.26,8.14,4.12%,,-3.06,-154.30%,34.00%,-48.80%,7.00%,35.70%,-15.10%,-12.30%,52.45,51.51,0.40%,-0.13%,53.10%,0.30%,1.12%,1.06,-3.80%,-11.90%,-2.10%,,,2.24,2.24,73.50%,22.60%,-33.40%,-5.04%,2.79%,37.63%,64.44%,124.17%,-6.04%,1.23,0.66,3.57%,3.52%,-3.61%,9.41%,39.52%,-11.93%,31.96%,-11.93%,141.05%,51.2,-0.18%,-0.58%,2.3,544.83,0.84,16.97,-0.76%,457300,11/8/2021 4:30:00 PM,14.75,4/1/2011,16.97,0.00%,59.0,99,1.96,16.97,17.61,15.56,12.2,7.04,19.27,17.0,-13.08,58.333333333333336,True
472,ARCH,"Arch Resources, Inc.",Energy,Thermal Coal,USA,1407.74,89.97,2.41,,0.8,3.38,6.71,,1.09%,0.00%,1.02,-268.30%,96.78%,30.20%,,-10.60%,139.00%,55.50%,15.3,14.99,1.40%,-0.80%,,0.50%,29.24%,8.68,1.80%,10.00%,-41.40%,1.5,1.1,1.01,1.35,18.80%,3.10%,1.80%,-5.52%,1.37%,-1.35%,50.86%,79.17%,0.30%,0.95,4.68,5.38%,4.79%,-2.25%,5.00%,26.08%,-12.52%,24.54%,-13.25%,134.74%,48.39,-1.24%,-0.97%,2.0,504.86,1.04,91.59,-2.20%,526728,10/26/2021 8:30:00 AM,122.0,10/5/2016,91.59,0.00%,69.0,96,1.56,91.59,93.73,87.31,72.88,39.02,105.58,7.0,33.2,57.333333333333336,True
1278,CCB,Coastal Financial Corporation,Financial,Banks - Regional,USA,580.9,24.73,25.5,,7.68,3.62,0.86,25.59,,0.00%,1.96,14.60%,-9.16%,36.30%,,20.50%,59.80%,19.50%,12.0,9.61,2.60%,0.00%,55.70%,0.47%,1.95%,3.9,1.20%,16.20%,17.40%,,,0.17,0.0,,93.60%,32.20%,-6.36%,-4.52%,40.86%,69.47%,125.59%,-4.05%,1.25,2.24,4.08%,4.01%,-5.38%,2.45%,39.46%,-10.73%,24.16%,-10.73%,147.68%,45.23,0.56%,-1.19%,1.7,48.09,1.04,48.57,-0.63%,50221,,63.38,7/18/2018,48.57,0.00%,78.0,99,1.97,48.57,51.16,47.52,34.94,19.61,54.41,3.0,30.49,60.0,True
1349,CENX,Century Aluminum Company,Basic Materials,Aluminum,USA,1423.69,,4.18,,0.73,4.48,24.72,,,,-2.92,-51.40%,396.90%,-20.30%,,-3.80%,10.60%,48.00%,90.1,49.84,0.90%,0.00%,57.80%,0.35%,8.11%,3.14,-18.60%,-64.00%,-9.10%,1.1,0.4,1.03,1.22,2.80%,-1.20%,-13.50%,-5.19%,3.05%,3.05%,27.92%,38.74%,-3.99%,2.61,0.9,5.98%,4.98%,-5.86%,4.97%,13.35%,-13.11%,28.85%,-18.88%,75.88%,46.16,-3.93%,-2.65%,2.0,1288.91,1.7,15.9,-6.47%,2192720,11/3/2021 4:30:00 PM,18.0,3/29/1996,15.9,0.00%,69.0,88,1.21,15.9,16.84,15.18,14.03,9.04,19.6,8.0,13.21,55.0,True
1580,CNOB,"ConnectOne Bancorp, Inc.",Financial,Banks - Regional,USA,1367.16,11.36,11.47,1.14,4.58,1.4,3.17,11.76,1.49%,12.90%,3.08,-13.80%,-4.69%,5.60%,10.00%,16.90%,29.20%,-0.30%,39.65,35.53,3.00%,-5.99%,73.90%,-0.08%,0.77%,1.99,1.60%,12.90%,19.60%,,,0.15,0.15,,85.10%,41.10%,-4.41%,9.64%,7.81%,39.39%,62.09%,6.79%,1.28,1.14,4.74%,3.13%,1.69%,3.44%,17.61%,-5.59%,13.56%,-5.59%,79.13%,54.12,0.06%,-0.88%,1.6,136.74,3.17,34.93,-0.82%,432930,1/27/2022 8:30:00 AM,39.0,6/4/1996,34.93,0.00%,81.0,95,1.42,34.93,34.49,33.77,29.75,19.5,37.0,14.0,11.65,63.333333333333336,True
1635,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,105178.48,24.62,10.61,,2.91,2.5,10.01,18.26,1.84%,51.00%,3.36,-139.20%,32.70%,6.80%,-1.80%,-8.60%,526.20%,158.20%,1332.29,1317.86,0.10%,-10.42%,80.40%,0.11%,1.13%,1.93,5.90%,11.60%,-3.50%,1.9,1.8,0.42,0.45,46.70%,17.70%,12.90%,-1.08%,17.36%,11.21%,49.89%,94.31%,14.60%,1.55,2.49,3.56%,2.80%,5.37%,11.11%,30.37%,-7.17%,25.57%,-7.17%,108.94%,59.96,-2.81%,-0.61%,1.8,7739.75,1.35,82.72,-3.40%,10449655,2/3/2022 8:30:00 AM,92.73,1/13/1978,82.5,-0.27%,75.0,97,1.69,82.72,79.15,74.73,63.77,39.7,89.11,13.0,12.1,61.666666666666664,True
2180,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,30758.35,26.67,8.79,1.07,3.45,3.47,13.25,11.18,0.95%,26.40%,1.73,3855.60%,55.22%,26.40%,25.00%,-18.20%,535.60%,224.80%,671.0,640.77,0.20%,-7.73%,90.50%,-1.79%,2.61%,1.54,6.70%,16.70%,-31.00%,1.2,1.2,0.76,0.76,42.90%,16.00%,13.40%,-7.09%,11.64%,20.07%,88.58%,175.70%,4.70%,3.0,2.21,5.05%,4.18%,-1.73%,6.02%,43.51%,-11.29%,29.73%,-11.29%,204.72%,49.45,-1.87%,-3.35%,1.8,10865.79,1.56,46.12,-5.16%,16958437,11/2/2021 4:30:00 PM,52.55,3/17/1992,46.15,0.07%,75.0,99,2.26,46.12,47.12,44.13,33.35,16.11,51.99,30.0,13.94,68.0,True
2259,ECPG,"Encore Capital Group, Inc.",Financial,Mortgage Finance,USA,1784.5,6.5,7.34,0.5,1.23,1.39,11.28,,,0.00%,9.88,25.30%,-19.66%,21.00%,13.00%,5.70%,55.20%,-7.10%,30.23,28.76,0.60%,-33.70%,,-0.07%,15.71%,10.6,6.60%,23.80%,9.40%,,,2.0,2.0,77.60%,40.10%,21.50%,0.45%,7.78%,22.59%,40.12%,112.50%,3.46%,1.4,1.94,4.37%,2.92%,3.67%,7.10%,28.00%,-5.42%,16.60%,-5.42%,119.99%,59.96,1.39%,-0.67%,2.2,426.14,0.93,64.26,0.71%,397247,11/3/2021 4:30:00 PM,69.0,7/9/1999,64.26,0.00%,63.0,98,1.86,64.26,62.18,60.11,50.33,29.21,67.94,18.0,7.38,59.666666666666664,True
