rank,my_score,ticker,company,sentiment_score,analyst_score,relative_strength,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,adj_analyst_recom,in_russell_3k
2,79.83333333333333,OPCH,"Option Care Health, Inc.",57.0,1.6,91,1.83,24.82,27.81,12.05,$10.52,$26.90,22.23,21.62,18.91,91.5,True
3,76.33333333333333,BPOP,"Popular, Inc.",53.0,1.7,87,1.63,78.59,86.25,9.75,$34.30,$83.72,75.15,74.3,67.71,89.0,True
4,74.66666666666667,GDEN,"Golden Entertainment, Inc.",37.0,1.7,98,3.23,49.26,61.5,24.85,$12.01,$54.86,47.65,45.9,31.36,89.0,True
5,73.83333333333333,DAR,Darling Ingredients Inc.,40.0,1.6,90,1.76,73.71,96.21,30.53,$31.45,$79.65,73.16,69.14,66.45,91.5,True
6,73.16666666666667,RWT,"Redwood Trust, Inc.",47.0,1.6,81,1.47,13.16,14.04,6.69,$6.80,$12.71,12.19,12.04,10.26,91.5,True
7,72.0,AGO,Assured Guaranty Ltd.,36.0,1.7,91,1.85,47.53,58.0,22.03,$18.45,$52.28,49.04,47.55,41.83,89.0,True
9,71.5,ONTO,Onto Innovation Inc.,39.0,1.8,89,1.74,73.06,90.2,23.46,$28.08,$79.45,71.44,69.94,61.83,86.5,True
10,71.16666666666667,LQDT,"Liquidity Services, Inc.",13.0,1.0,94,2.15,21.68,32.5,49.91,$6.63,$30.00,22.35,21.99,19.14,106.5,True
11,70.66666666666667,WOW,"WideOpenWest, Inc.",41.0,2.3,97,2.63,19.89,25.4,27.7,$4.72,$23.92,21.31,20.73,14.78,74.0,True
13,69.5,ORMP,Oramed Pharmaceuticals Inc.,18.0,1.6,99,3.92,20.93,23.0,9.89,$2.40,$23.57,16.96,14.83,9.8,91.5,True
15,69.33333333333333,EPRT,"Essential Properties Realty Trust, Inc.",41.0,1.9,83,1.53,28.39,32.36,13.98,$16.18,$31.49,30.35,28.88,24.27,84.0,True
18,69.0,UTHR,United Therapeutics Corporation,40.0,1.9,83,1.53,185.9,231.89,24.74,$98.37,$216.90,201.17,190.09,174.73,84.0,True
