no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,13009.16,32.28,10.15,,1.07,3.43,8.96,,0.56%,0.00%,2.21,85.00%,-4.97%,28.00%,,-3.70%,769.80%,31.50%,187.0,186.96,0.70%,-29.31%,77.70%,0.31%,6.06%,1.42,3.00%,12.10%,5.00%,1.5,0.9,0.44,0.44,24.70%,8.10%,3.50%,13.44%,14.42%,54.15%,57.63%,232.73%,19.45%,2.4,3.7,6.03%,5.92%,16.38%,25.10%,53.94%,-1.66%,64.52%,-1.66%,239.55%,70.8,-0.35%,-0.68%,1.9,8007.97,1.43,71.17,-1.03%,11436399,1/19/2022 4:30:00 PM,66.3,10/18/2016,71.14,-0.04%,72.0,100,2.89,71.17,61.61,57.38,46.4,20.96,73.72,15.0,-6.84,62.333333333333336,True
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,252438.3,33.97,11.78,8.34,4.58,18.63,20.61,23.51,3.95%,133.00%,4.2,-48.50%,-13.93%,-2.80%,4.08%,14.90%,37.60%,11.20%,1770.0,1765.83,0.10%,-22.68%,68.20%,-0.14%,0.81%,2.03,4.40%,49.90%,12.70%,1.0,0.9,5.46,5.96,67.90%,28.20%,12.00%,1.41%,4.19%,22.24%,23.41%,37.55%,5.40%,0.8,2.79,1.68%,2.09%,4.16%,7.82%,20.38%,-0.88%,23.99%,-0.88%,39.84%,70.13,-0.55%,0.21%,2.0,7068.68,1.04,142.71,-0.34%,7332664,2/2/2022 8:30:00 AM,146.71,12/10/2012,142.85,0.10%,69.0,88,1.19,142.71,137.28,132.91,118.7,102.05,144.42,10.0,2.8,55.666666666666664,True
119,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,42741.43,15.98,14.7,2.42,0.5,1.96,39.47,,1.94%,35.50%,4.78,24.80%,0.19%,1.00%,6.60%,-1.00%,130.80%,34.50%,564.0,556.9,0.20%,-33.49%,81.00%,-0.11%,0.84%,1.7,4.50%,11.00%,3.60%,1.6,1.0,0.37,0.41,7.00%,2.30%,2.70%,1.02%,8.46%,16.90%,23.65%,39.18%,13.09%,0.8,1.62,1.73%,2.29%,4.65%,11.34%,18.91%,-1.77%,23.69%,-1.77%,41.66%,67.63,-1.02%,-0.06%,1.9,2743.8,0.88,76.44,-1.09%,2423619,1/25/2022 8:30:00 AM,73.23,12/24/1924,76.4,-0.05%,72.0,88,1.19,76.44,73.34,68.94,64.35,54.7,78.03,24.0,-4.2,61.333333333333336,True
153,AEL,American Equity Investment Life Holding Company,Financial,Insurance - Life,USA,3862.26,12.01,8.79,,1.07,0.63,0.3,2.46,0.79%,8.90%,3.59,157.50%,49.53%,20.50%,,9.80%,-78.70%,-32.10%,92.48,90.83,0.30%,-13.27%,97.40%,-0.89%,0.63%,1.26,0.50%,5.50%,-8.40%,,,0.09,0.09,,15.30%,9.50%,5.71%,0.19%,18.27%,29.45%,44.07%,10.79%,1.11,1.37,3.05%,3.51%,3.67%,9.60%,27.42%,-1.55%,31.02%,-1.55%,64.52%,65.61,1.17%,-0.98%,2.4,451.02,1.2,43.12,0.19%,539149,2/17/2022 4:30:00 PM,44.11,12/4/2003,43.12,0.00%,56.0,91,1.26,43.12,41.6,39.53,33.9,26.21,44.18,9.0,2.3,52.0,True
212,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,4019.76,16.82,16.39,5.61,4.75,0.68,39.8,,1.50%,24.40%,3.48,4.40%,0.99%,-10.00%,3.00%,-15.80%,-77.50%,-32.90%,72.7,66.34,0.10%,-22.57%,96.50%,0.24%,2.69%,4.04,1.60%,4.20%,4.30%,,,0.27,0.27,,34.50%,32.30%,7.90%,7.25%,10.24%,16.81%,52.91%,16.69%,1.16,1.49,2.22%,2.92%,8.38%,14.15%,17.80%,1.09%,30.35%,1.09%,55.80%,74.04,2.18%,-0.09%,1.7,441.87,1.02,58.58,2.09%,449736,11/4/2021 4:30:00 PM,61.0,4/23/2004,58.58,0.00%,78.0,92,1.29,58.58,54.24,51.51,49.77,38.0,58.93,37.0,4.13,69.0,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,50390.73,9.76,11.6,0.32,1.06,0.82,18.67,16.58,2.06%,19.90%,6.37,-286.60%,13.25%,-43.90%,30.69%,-5.80%,507.80%,25.60%,852.76,829.46,0.10%,-5.64%,93.30%,-0.34%,0.97%,1.63,0.90%,8.60%,-4.20%,,,0.49,0.49,,16.50%,11.70%,4.59%,0.73%,5.71%,15.48%,49.57%,9.43%,1.33,1.81,2.49%,3.31%,4.38%,8.33%,14.97%,-2.08%,20.37%,-2.08%,51.13%,63.25,1.09%,-1.38%,2.2,4949.85,1.0,62.22,-0.30%,4926495,2/16/2022 4:30:00 PM,65.0,4/3/1972,62.22,0.00%,63.0,93,1.31,62.22,59.65,57.63,54.19,41.17,63.54,15.0,4.47,57.0,True
363,AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,1279.42,36.4,17.75,1.46,3.1,2.94,11.16,28.75,,0.00%,0.72,-97.10%,12.95%,19.70%,25.00%,6.80%,651.50%,34.50%,48.02,36.61,0.60%,-32.81%,60.70%,1.78%,5.38%,7.29,5.60%,8.70%,1.70%,3.1,2.1,0.18,0.18,43.70%,15.00%,8.70%,3.46%,4.03%,24.44%,34.77%,37.51%,13.01%,0.7,1.22,5.15%,5.10%,4.55%,12.32%,28.19%,-3.52%,35.39%,-3.52%,55.65%,60.03,1.62%,-0.65%,2.5,270.42,0.87,26.32,0.96%,236454,,28.25,6/25/2014,26.32,0.00%,53.0,89,1.21,26.32,25.21,23.57,20.58,16.91,27.28,11.0,7.33,51.0,True
369,AMRK,"A-Mark Precious Metals, Inc.",Financial,Capital Markets,USA,854.07,4.57,11.84,,0.11,2.28,28.85,,,0.00%,16.43,312.90%,-4.08%,68.70%,,2.30%,-29.80%,7.90%,11.26,8.38,8.10%,-10.34%,44.00%,1.98%,2.20%,2.14,13.90%,56.30%,17.20%,1.3,0.6,0.25,1.57,3.00%,2.50%,2.10%,18.79%,27.40%,7.18%,54.81%,155.69%,22.83%,-0.46,3.26,5.64%,4.99%,21.56%,22.93%,34.67%,1.42%,37.81%,-7.26%,195.69%,79.42,2.53%,-1.08%,2.0,86.14,2.6,75.05,1.42%,224226,2/8/2022 4:30:00 PM,91.0,3/17/2014,75.05,0.00%,69.0,99,2.16,75.05,62.54,61.17,56.7,26.24,80.93,54.0,21.25,74.0,True
379,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,USA,1247.69,11.27,14.06,,5.04,1.56,5.83,21.59,0.18%,0.00%,3.03,-103.50%,17.04%,-16.20%,,4.60%,900.60%,-0.80%,37.13,27.37,0.90%,-9.35%,32.30%,1.09%,1.24%,2.42,0.50%,5.10%,20.10%,,,0.15,0.15,,88.40%,16.40%,-1.19%,-0.99%,16.63%,39.83%,111.48%,-1.33%,1.38,1.36,2.95%,4.44%,-0.87%,1.91%,28.44%,-7.16%,22.06%,-7.16%,114.40%,49.08,1.04%,-0.79%,1.8,140.29,1.66,34.09,0.24%,232730,1/20/2022 8:30:00 AM,37.04,8/29/2018,34.09,0.00%,75.0,98,1.79,34.09,34.37,33.57,26.62,16.06,36.72,15.0,8.65,62.666666666666664,True
392,ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA,1272.26,14.36,14.18,1.79,0.11,1.22,5.87,,1.91%,25.70%,2.63,-58.00%,0.00%,20.10%,8.00%,14.30%,,56.00%,33.28,30.77,2.60%,-22.96%,78.00%,-0.21%,1.83%,3.16,2.20%,9.00%,0.70%,1.4,0.9,0.53,0.9,4.80%,1.10%,0.80%,1.45%,-3.70%,-1.33%,28.33%,39.28%,-2.53%,0.72,1.21,3.72%,3.39%,-0.67%,0.93%,15.67%,-6.35%,13.99%,-6.35%,53.79%,49.13,-0.03%,-0.76%,2.0,178.52,1.05,37.73,-0.79%,188071,2/15/2022 4:30:00 PM,44.5,2/20/1996,37.73,0.00%,69.0,90,1.22,37.73,37.9,37.46,32.66,24.53,40.29,13.0,17.94,57.333333333333336,True
407,ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,USA,112441.47,18.51,14.19,1.44,0.81,3.12,20.48,23.67,0.99%,24.10%,24.72,-2.60%,13.23%,13.90%,12.86%,9.00%,602.40%,14.90%,243.4,241.16,0.20%,-0.78%,92.80%,0.29%,0.77%,1.65,4.50%,12.30%,9.10%,,,0.61,0.64,,4.60%,3.10%,1.29%,0.85%,7.69%,24.47%,56.26%,-1.28%,1.06,12.32,2.70%,2.71%,2.35%,3.56%,13.28%,-3.05%,16.62%,-3.05%,59.22%,55.68,-1.14%,-1.10%,1.9,1135.31,0.78,457.6,-2.22%,880507,1/26/2022 8:30:00 AM,491.32,10/30/2001,457.6,0.00%,72.0,95,1.37,457.6,447.38,442.91,404.38,287.4,472.01,18.0,7.37,61.666666666666664,True
447,APR,"Apria, Inc.",Healthcare,Medical Instruments & Supplies,USA,1321.34,18.59,20.28,,1.16,56.36,6.1,17.41,,0.00%,2.0,195.30%,8.65%,18.20%,,0.30%,268.70%,3.80%,35.31,34.62,2.00%,-93.43%,89.40%,-12.33%,2.85%,1.61,10.50%,,14.00%,1.2,1.2,15.2,16.55,70.40%,9.30%,6.50%,-0.21%,-0.24%,14.32%,11.14%,59.25%,14.11%,,0.51,0.22%,0.38%,-0.13%,10.62%,15.03%,-1.27%,33.38%,-7.00%,85.35%,65.32,-0.03%,-0.08%,1.8,611.39,1.22,37.2,-0.11%,748793,11/4/2021 4:30:00 PM,38.33,2/11/2021,37.2,0.00%,75.0,97,1.54,37.2,37.25,33.81,32.37,20.07,40.0,11.0,3.04,61.0,True
453,APTS,Preferred Apartment Communities,Real Estate,REIT - Residential,USA,1090.41,,,,2.34,1.04,19.97,10.0,3.33%,,-3.06,-154.30%,34.00%,-48.80%,7.00%,35.70%,-15.10%,-12.30%,52.45,51.37,1.80%,-0.03%,52.80%,-0.32%,1.15%,1.0,-3.80%,-11.90%,-2.10%,,,2.24,2.24,73.50%,22.60%,-33.40%,22.91%,21.21%,51.62%,78.83%,155.22%,16.45%,1.24,0.92,6.46%,4.58%,21.71%,28.54%,66.38%,9.14%,63.53%,9.14%,185.73%,76.69,10.74%,5.73%,2.3,587.75,6.04,21.03,17.09%,3551543,2/28/2022 4:30:00 PM,15.92,4/1/2011,21.03,0.00%,59.0,99,2.22,21.03,17.46,16.52,12.69,7.36,21.59,16.0,-24.3,58.0,True
466,AR,Antero Resources Corporation,Energy,Oil & Gas E&P,USA,6110.14,,5.92,,1.73,1.26,,4.33,,,-3.24,-319.20%,103.46%,-27.40%,,-2.50%,12.20%,40.30%,313.79,273.59,0.90%,-36.73%,78.10%,0.77%,7.27%,2.84,-7.80%,-18.60%,-11.40%,0.3,0.3,0.48,0.48,64.40%,-34.60%,-28.80%,-6.61%,0.88%,2.68%,44.63%,140.57%,11.49%,4.18,1.12,4.67%,6.05%,0.48%,6.52%,20.74%,-11.44%,26.85%,-11.44%,146.96%,51.41,2.63%,-1.55%,2.2,7006.11,1.44,19.51,1.04%,10098081,2/16/2022 4:30:00 PM,27.81,10/10/2013,19.4,-0.56%,63.0,99,2.09,19.51,19.35,18.36,16.2,7.92,22.03,17.0,42.54,59.666666666666664,True
