no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,11831.16,26.32,8.16,,0.97,2.8,8.15,,0.69%,0.00%,2.21,85.00%,-1.80%,28.00%,,-3.70%,769.80%,31.50%,187.0,185.26,0.10%,-51.12%,77.80%,0.50%,7.96%,1.79,3.00%,12.10%,5.00%,1.5,0.9,0.44,0.44,24.70%,8.10%,3.50%,-5.26%,-1.96%,26.45%,47.40%,213.68%,-2.60%,2.34,3.45,7.74%,5.42%,-3.31%,7.08%,29.38%,-9.85%,34.14%,-9.85%,235.43%,49.49,-4.87%,0.41%,1.9,8232.54,0.76,58.03,-4.48%,6275142,1/19/2022 4:30:00 PM,65.3,10/18/2016,58.21,0.31%,72.0,99,2.75,58.03,59.94,54.34,44.98,17.77,64.37,12.0,12.53,61.0,True
377,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,USA,1238.87,11.14,14.61,,5.0,1.54,5.79,21.43,0.18%,0.00%,3.03,-103.50%,13.86%,-16.20%,,4.60%,900.60%,-0.80%,37.13,20.0,0.80%,-10.31%,32.20%,0.82%,1.82%,2.91,0.50%,5.10%,20.10%,,,0.15,0.15,,88.40%,16.40%,0.72%,-3.21%,27.25%,51.28%,131.75%,-2.40%,1.4,1.53,4.77%,4.17%,-1.75%,3.31%,31.08%,-8.17%,20.73%,-8.17%,147.41%,49.59,-1.92%,-0.29%,1.8,125.23,0.83,33.72,-2.20%,104401,1/20/2022 8:30:00 AM,36.0,8/29/2018,33.72,0.00%,75.0,99,2.03,33.72,34.27,32.71,25.8,14.02,36.72,14.0,6.76,62.666666666666664,True
444,APR,"Apria, Inc.",Healthcare,Medical Instruments & Supplies,USA,1325.06,18.59,20.28,,1.16,56.36,6.12,17.46,,0.00%,2.0,195.30%,8.65%,18.20%,,0.30%,268.70%,3.80%,35.31,34.63,2.00%,-93.41%,89.00%,-12.71%,2.48%,1.51,10.50%,,14.00%,1.2,1.2,15.2,16.55,70.40%,9.30%,6.50%,-0.16%,18.06%,6.19%,23.18%,,14.11%,,0.83,0.34%,1.90%,6.56%,15.64%,16.39%,-1.27%,33.38%,-7.00%,85.35%,67.1,-0.03%,0.03%,1.8,570.78,0.92,37.2,0.00%,523162,11/4/2021 4:30:00 PM,38.33,2/11/2021,37.2,0.00%,75.0,94,1.39,37.2,35.17,32.31,32.0,20.07,40.0,11.0,3.04,60.0,True
450,APTS,Preferred Apartment Communities,Real Estate,REIT - Residential,USA,861.07,,,,1.85,0.8,15.77,7.9,4.34%,,-3.06,-154.30%,34.00%,-48.80%,7.00%,35.70%,-15.10%,-12.30%,52.45,51.37,1.90%,-0.03%,52.90%,-0.08%,1.12%,1.02,-3.80%,-11.90%,-2.10%,,,2.24,2.24,73.50%,22.60%,-33.40%,-5.61%,-2.06%,31.33%,53.13%,119.29%,-10.63%,1.23,0.74,4.91%,3.94%,-8.55%,2.56%,31.29%,-16.24%,25.51%,-16.24%,129.26%,42.05,-2.77%,0.55%,2.3,564.91,0.49,16.14,-2.24%,276671,11/8/2021 4:30:00 PM,15.42,4/1/2011,16.14,0.00%,59.0,98,1.92,16.14,17.59,15.77,12.32,7.04,19.27,17.0,-4.46,58.0,True
463,AR,Antero Resources Corporation,Energy,Oil & Gas E&P,USA,5988.53,,5.79,,1.69,1.2,,4.24,,,-3.24,-319.20%,93.35%,-27.40%,,-2.50%,12.20%,40.30%,313.79,273.23,0.30%,-62.80%,78.00%,0.48%,7.55%,3.18,-7.80%,-18.60%,-11.40%,0.3,0.3,0.48,0.48,64.40%,-34.60%,-28.80%,6.07%,-1.28%,-7.49%,36.15%,143.50%,5.89%,4.2,1.06,7.79%,5.84%,0.21%,2.52%,18.63%,-11.34%,20.48%,-15.73%,176.16%,51.18,-2.42%,3.26%,2.2,6490.5,1.74,18.53,0.76%,11292684,2/16/2022 4:30:00 PM,27.56,10/10/2013,18.53,0.00%,63.0,99,2.13,18.53,18.48,18.05,15.67,6.88,21.99,17.0,48.73,59.666666666666664,True
473,ARCH,"Arch Resources, Inc.",Energy,Thermal Coal,USA,1541.41,96.69,2.46,,0.87,3.63,7.35,,1.02%,0.00%,1.02,-268.30%,114.84%,30.20%,,-10.60%,139.00%,55.50%,15.3,14.99,1.40%,-0.79%,,0.78%,29.24%,9.01,1.80%,10.00%,-41.40%,1.5,1.1,1.01,1.35,18.80%,3.10%,1.80%,5.10%,6.94%,7.44%,43.80%,96.74%,7.79%,0.92,4.83,5.67%,5.21%,4.43%,11.99%,33.65%,-5.99%,33.85%,-6.77%,152.27%,60.33,1.83%,0.89%,2.0,486.3,1.23,98.43,2.73%,598310,10/26/2021 8:30:00 AM,126.83,10/5/2016,98.43,0.00%,69.0,97,1.72,98.43,94.49,88.23,73.9,39.02,105.58,7.0,28.85,57.666666666666664,True
876,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,Healthcare,Biotechnology,USA,8319.67,,,,27.05,,15.99,,,,-13.76,-19.70%,52.40%,,,,19.70%,666.70%,65.39,56.09,6.20%,-3.26%,92.80%,0.08%,7.84%,6.59,-94.40%,202.60%,-198.10%,2.0,1.9,,,78.60%,,,3.91%,-12.29%,-12.08%,-4.44%,39.47%,-12.53%,1.11,7.01,7.95%,5.54%,-4.15%,0.79%,5.80%,-14.81%,22.97%,-20.44%,92.65%,48.11,-5.21%,0.86%,1.8,667.39,1.1,120.54,-4.39%,734161,11/9/2021 8:30:00 AM,154.91,5/4/2017,120.0,-0.45%,75.0,88,1.22,120.54,124.84,119.65,114.16,62.57,151.51,8.0,28.51,57.0,True
1279,CCB,Coastal Financial Corporation,Financial,Banks - Regional,USA,581.53,24.49,25.25,,7.69,3.58,0.86,25.62,,0.00%,1.96,14.60%,-10.06%,36.30%,,20.50%,59.80%,19.50%,12.0,9.61,2.90%,0.00%,55.70%,0.48%,1.95%,3.76,1.20%,16.20%,17.40%,,,0.17,0.0,,93.60%,32.20%,-1.60%,-5.56%,34.89%,63.33%,130.47%,-4.98%,1.25,2.41,6.08%,4.40%,-5.37%,0.51%,36.38%,-11.60%,22.96%,-11.60%,145.28%,43.8,-1.70%,0.12%,1.7,49.91,1.46,48.1,-1.58%,73019,,63.38,7/18/2018,48.1,0.00%,78.0,99,2.02,48.1,50.72,47.94,35.37,19.61,54.41,3.0,31.77,60.0,True
1418,CHK,Chesapeake Energy Corporation,Energy,Oil & Gas E&P,USA,8353.84,28.2,7.18,2.35,2.12,2.23,9.84,11.43,2.53%,9.20%,2.45,,-0.81%,,12.00%,-16.20%,95.40%,-7.50%,117.11,103.99,0.04%,0.00%,,17.05%,12.11%,9.78,64.40%,533.10%,237.70%,0.7,0.7,0.41,0.41,65.10%,,,6.68%,4.79%,4.40%,24.90%,,7.13%,,2.95,5.11%,4.40%,2.55%,7.47%,19.32%,-6.16%,21.80%,-6.16%,72.80%,56.29,-1.75%,2.81%,2.0,1287.46,1.42,69.12,1.01%,1833804,11/2/2021 4:30:00 PM,94.45,2/10/2021,69.39,0.39%,69.0,93,1.34,69.12,67.58,64.45,58.04,40.0,73.66,32.0,36.65,64.66666666666667,True
1636,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,122417.29,26.68,11.22,,3.38,2.71,11.65,21.25,1.70%,51.00%,3.36,-139.20%,35.33%,6.80%,-1.80%,-8.60%,526.20%,158.20%,1332.29,1317.86,0.10%,-9.77%,80.40%,0.03%,1.13%,1.88,5.90%,11.60%,-3.50%,1.9,1.8,0.42,0.45,46.70%,17.70%,12.90%,4.71%,22.96%,20.80%,57.51%,118.70%,24.22%,1.44,2.82,4.46%,3.24%,10.54%,18.92%,39.81%,0.53%,36.10%,0.53%,126.47%,71.78,0.80%,2.17%,1.8,7924.1,1.21,89.66,2.99%,9623451,2/3/2022 8:30:00 AM,93.63,1/13/1978,90.6,1.05%,75.0,98,1.91,89.66,81.97,75.86,64.47,39.7,89.74,15.0,4.43,62.666666666666664,True
