"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Gross Margin","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research",48451.79,50.52,0.48%,12.00%,5.70%,303.00,0.10%,-25.37%,91.30%,1.16%,1.53%,53.60%,20.40%,2.12%,2.90%,-3.55%,22.57%,53.05%,36.86%,0.99,2.10%,3.57%,2.41%,12.92%,-8.37%,12.30%,-8.50%,56.19%,62.18,,164.30,1.32%,1647017,175.88
"AA","Alcoa Corporation","Basic Materials","Aluminum",8803.04,11.11,0.84%,28.00%,-3.70%,187.00,0.10%,-52.85%,78.10%,-0.83%,4.51%,22.00%,12.60%,-6.85%,-9.16%,26.49%,31.99%,160.23%,106.94%,2.41,4.57%,-1.20%,-2.90%,22.84%,-17.32%,7.01%,-17.32%,175.14%,47.27,1.80,47.60,-0.21%,5605011,58.85
"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,,-0.13%,4.17%,4.34%,-1.07%,-0.64%,-2.32%,,0.69%,1.46%,3.29%,3.04%,-1.10%,7.27%,-5.50%,10.07%,59.37,,18.37,-0.70%,225224,
"AAC","Ares Acquisition Corporation","Financial","Shell Companies",1226.22,101.24,,,,124.87,,,59.30%,0.82%,0.08%,,,-0.20%,0.61%,1.55%,0.41%,,-0.51%,,0.39%,-0.08%,0.33%,0.37%,-0.41%,1.24%,-1.80%,3.37%,52.59,,9.82,0.00%,988416,
"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services",60.84,,,-36.60%,-17.20%,33.68,18.70%,0.00%,16.70%,0.08%,0.16%,42.90%,-51.50%,-12.22%,-20.49%,-24.81%,-33.79%,67.24%,63.03%,1.68,5.21%,-21.55%,-25.47%,-45.19%,-39.15%,-4.29%,-91.03%,56.70%,21.73,1.00,1.77,-8.73%,44269,30.50
"AACI","ARMADA ACQUISITION CORP I","Financial","Shell Companies",,,,,,,25.41%,,,,,,,0.20%,,,,,0.51%,,,0.29%,0.29%,0.29%,-0.20%,0.82%,-0.20%,0.82%,,,9.80,0.00%,82436,
"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies",,,,,,,,,41.98%,,,,,0.20%,0.45%,,,,2.14%,,0.35%,0.86%,1.26%,1.26%,-0.10%,2.77%,-0.10%,2.77%,61.38,,10.03,0.20%,10209,
"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology",482.28,,,30.90%,,20.87,0.10%,0.00%,14.60%,34.49%,1.35%,,,7.85%,-15.45%,-26.85%,-22.51%,-11.56%,59.73%,1.42,6.03%,-4.54%,-9.73%,-6.22%,-24.92%,15.16%,-50.26%,73.08%,45.42,1.70,24.77,5.49%,86385,47.67
"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund",,,0.31%,,,,,,,,,,,-1.06%,-2.19%,-4.92%,-0.74%,8.72%,6.40%,,0.57%,-1.99%,-1.60%,-1.67%,-6.53%,3.15%,-7.50%,14.61%,40.59,,64.16,-0.97%,416,
"AAIC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage",118.04,,,7.90%,,31.93,3.10%,2.61%,45.00%,-0.29%,0.84%,62.50%,,-3.38%,-5.34%,-0.27%,-9.27%,22.77%,-1.59%,1.76,1.60%,-3.35%,-2.74%,-5.65%,-8.17%,0.82%,-16.06%,26.19%,35.16,2.70,3.71,-0.27%,111480,4.62
