"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",43827.43,36.68,27.30,2.62,6.94,8.07,27.83,41.31,0.58%,19.10%,3.94,71.00%,10.16%,22.90%,14.00%,8.50%,102.30%,11.90%,301.00,,0.20%,-19.62%,90.60%,0.26%,,2.87,11.70%,24.30%,14.70%,2.20,1.70,0.51,0.51,53.90%,21.30%,19.10%,0.14%,-0.50%,-9.62%,-7.72%,15.48%,-9.53%,1.04,4.00,2.02%,2.70%,2.88%,-2.56%,-4.87%,-11.18%,10.08%,-19.56%,28.43%,52.36,1.20%,1.36%,,1708.06,0.71,144.44,2.58%,1216888,2/22/2022 4:30:00 PM,175.32,11/18/1999,144.44,0.00%
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",13144.43,32.61,10.26,,1.08,3.47,9.05,,0.56%,0.00%,2.21,85.00%,-4.97%,28.00%,,-3.70%,769.80%,31.50%,187.00,186.96,0.70%,-29.31%,77.70%,0.31%,6.06%,1.42,3.00%,12.10%,5.00%,1.50,0.90,0.44,0.44,24.70%,8.10%,3.50%,21.45%,16.85%,52.22%,61.02%,233.53%,20.69%,2.40,3.67,6.73%,5.93%,18.54%,27.42%,56.14%,-0.08%,66.23%,-0.08%,243.08%,72.98,4.22%,-1.39%,1.90,7957.28,1.29,71.91,2.77%,10237341,1/19/2022 4:30:00 PM,66.30,10/18/2016,71.73,-0.25%
3,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39%,1.68%,0.00%,4.48%,-0.71%,0.17%,,0.15,0.63%,0.69%,0.73%,1.58%,1.40%,-1.14%,4.36%,-4.16%,9.11%,57.49,0.28%,0.06%,,451.57,0.54,18.21,0.33%,244859,,,8/15/2018,,
4,"AAC","Ares Acquisition Corporation","Financial","Shell Companies","USA",1220.02,43.53,,,,1.30,1355.57,,,,0.22,,,,,,,,125.00,100.00,,,67.70%,0.15%,0.08%,0.29,,,,1.70,1.70,0.00,0.00,,,,-0.20%,-0.20%,-0.61%,0.41%,,0.10%,,0.03,0.30%,0.27%,0.10%,-0.09%,-0.21%,-0.71%,0.52%,-2.50%,2.63%,50.51,-0.10%,0.00%,,288.55,0.14,9.75,-0.10%,39682,,,3/25/2021,9.74,-0.10%
5,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",49.23,,,,1.65,1.66,4.17,,,,-0.41,40.00%,-14.10%,-36.60%,25.00%,-17.20%,-61.50%,31.00%,31.19,29.64,18.70%,0.00%,17.50%,,1.14%,0.51,-17.50%,-49.20%,-48.20%,0.30,0.30,0.00,0.00,46.60%,-53.20%,-50.50%,-2.45%,-27.40%,-31.17%,-45.92%,-73.85%,48.53%,1.37,0.25,7.33%,10.34%,-7.80%,-0.06%,-34.83%,-45.92%,59.00%,-76.27%,59.00%,46.81,1.27%,-0.63%,1.50,659.06,0.08,1.59,0.63%,52915,11/10/2021 4:30:00 PM,32.50,1/29/2008,1.57,-1.26%
6,"AACI","Armada Acquisition Corp. I","Financial","Shell Companies","USA",214.91,,,,,223.64,307.01,,,,-0.02,,,,,,,,21.84,17.41,25.41%,0.00%,6.80%,,0.02%,0.06,,,,4.40,4.40,0.00,0.00,,,,0.41%,0.24%,,,,0.51%,,0.04,0.33%,0.29%,-0.05%,0.41%,0.43%,-1.11%,5.35%,-1.11%,5.35%,51.53,0.00%,0.00%,,67.50,0.00,9.84,0.00%,4,,,11/10/2021,,
7,"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,225.50,,,,,-0.09,,,,,,,,,13.68,,,87.84%,,0.01%,0.02,,,,,,,,,,,-1.37%,-0.78%,0.32%,,,-1.08%,,0.10,0.04%,0.59%,-1.01%,-0.56%,-0.21%,-5.78%,1.24%,-5.78%,1.66%,45.02,-0.18%,-1.00%,,49.58,0.00,9.92,-1.18%,104,,,8/13/2021,,
8,"AACIW","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,50.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12%,-54.53%,,,,-55.30%,,0.05,22.69%,11.12%,-40.00%,-47.27%,-47.56%,-62.65%,18.93%,-62.65%,18.93%,31.71,0.00%,-28.54%,,53.64,0.00,0.25,-28.54%,50,,,11/11/2021,,
9,"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology","USA",437.87,,,,4378.71,1.29,2.71,,,,-11.63,82.30%,52.60%,30.90%,,,-705.00%,,20.89,12.38,0.10%,0.00%,53.00%,-2.44%,4.98%,2.81,-134.90%,-147.00%,-14.70%,14.00,14.00,0.04,0.04,,,,13.90%,-6.35%,-21.49%,-32.38%,-31.70%,-15.16%,1.54,1.45,6.35%,7.93%,2.24%,-6.73%,-21.53%,-22.97%,19.48%,-58.86%,43.17%,50.32,6.17%,0.89%,1.60,219.12,0.43,20.49,7.11%,94834,,48.75,8/8/2017,20.05,-2.15%
10,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,0.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06%,2.23%,-2.45%,-4.28%,5.52%,0.54%,,0.96,0.84%,1.35%,3.37%,3.00%,-0.69%,-0.55%,11.84%,-6.86%,11.84%,60.51,0.39%,1.54%,,3.60,1.82,64.60,1.93%,6527,,,7/21/2010,,
11,"AAIC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage","USA",107.70,,13.68,,5.33,0.58,5.08,21.98,,,-0.15,-743.40%,13.12%,7.90%,-9.37%,,-126.40%,-46.80%,31.93,30.42,3.40%,4.39%,34.90%,-0.14%,0.77%,1.64,-0.50%,-2.40%,,,,0.49,3.43,53.10%,,-23.80%,-0.29%,-4.20%,-11.17%,-11.40%,-6.81%,-2.29%,1.69,0.08,2.31%,2.55%,-1.01%,-3.01%,-10.00%,-8.56%,5.23%,-22.62%,5.23%,44.83,0.00%,-0.58%,2.70,143.08,0.59,3.42,-0.58%,84437,11/9/2021 4:30:00 PM,4.62,12/23/1997,,
12,"AAL","American Airlines Group Inc.","Industrials","Airlines","USA",12236.02,,8.97,,0.41,,0.84,,,,-3.12,-583.80%,200.50%,-29.60%,16.09%,-15.80%,105.40%,182.70%,648.56,640.95,0.50%,0.00%,56.90%,0.90%,13.40%,2.20,-8.60%,77.70%,-25.60%,1.00,0.90,,,57.10%,-20.90%,-19.40%,10.61%,-0.16%,-15.72%,-11.63%,7.75%,4.45%,1.63,0.83,4.38%,4.89%,9.40%,6.68%,-6.77%,-5.06%,25.86%,-28.10%,25.86%,61.47,1.63%,1.10%,3.10,39092.07,1.08,18.76,2.74%,42258050,1/20/2022 8:30:00 AM,18.32,12/9/2013,18.76,0.00%
13,"AAME","Atlantic American Corporation","Financial","Insurance - Life","USA",51.20,4.06,,,0.24,0.37,3.58,256.00,0.78%,3.20%,0.63,,,24.30%,,3.30%,-161.10%,6.50%,20.40,4.02,2.80%,0.00%,5.70%,,2.12%,4.82,3.30%,9.30%,7.70%,,,0.24,0.24,,8.80%,6.20%,-0.78%,-10.49%,-41.95%,-37.10%,-55.09%,4.49%,0.09,0.21,5.13%,8.86%,0.39%,-15.07%,-33.71%,-36.51%,20.75%,-65.87%,20.75%,43.88,-0.39%,-1.53%,,17.69,0.35,2.56,-1.92%,6213,,,3/17/1980,,
