Company,Recommendations
MSFT,1.6
MARA,1.7
SKLZ,1.7
RIOT,1.7
BABA,1.7
BBD,1.8
GM,1.8
LI,1.8
BSX,1.8
XPEV,1.8
ET,1.8
PYPL,1.8
UBER,1.8
V,1.8
FB,1.8
NVDA,1.9
GOLD,1.9
WISH,1.9
FIS,1.9
MU,1.9
ZNGA,1.9
VALE,2.0
BEKE,2.0
NIO,2.0
QCOM,2.0
RLX,2.0
AAPL,2.0
CMCSA,2.0
SAVA,2.0
AMAT,2.0
TME,2.0
EQT,2.0
FCX,2.0
SIRI,2.1
SLB,2.1
SNAP,2.1
DAL,2.1
MRK,2.1
C,2.1
LVS,2.1
PCG,2.1
ON,2.1
KO,2.1
GE,2.1
WFC,2.2
BAC,2.2
NLY,2.2
HBAN,2.2
TAL,2.2
PINS,2.2
BP,2.3
MRO,2.3
CSCO,2.3
JPM,2.3
CLF,2.3
KDP,2.3
AMD,2.3
PLUG,2.3
PBR-A,2.3
ITUB,2.3
SQ,2.3
AFRM,2.4
HAL,2.4
PBR,2.4
NCLH,2.4
CCL,2.5
UAL,2.5
MRNA,2.5
F,2.5
COG,2.6
QS,2.6
SPCE,2.6
UAA,2.6
NKLA,2.6
XOM,2.6
PFE,2.6
TLRY,2.7
TWTR,2.7
VIAC,2.7
RKT,2.7
VZ,2.7
OXY,2.7
NOK,2.7
INTC,2.8
T,2.8
TSLA,2.8
X,2.9
SWN,2.9
KMI,3.0
ABEV,3.1
PLTR,3.2
CLOV,3.3
AAL,3.4
M,3.4
RIG,3.5
AMC,3.6
LUMN,3.6
EVGO,6.0
SOFI,6.0
DIDI,6.0
