Company,Recommendations
MIXT,1.0
CVEO,1.0
OPT,1.2
BOLT,1.2
LVTX,1.2
BCEL,1.5
FUSN,1.6
PLRX,1.6
KNSA,1.6
SRRK,1.6
KDMN,1.7
DLTH,1.7
CGEM,1.7
OPTN,1.8
DAO,1.8
LPG,1.9
BGFV,2.0
AUTL,2.0
GTX,2.0
INFI,2.1
ZYXI,2.2
DBD,2.2
RNGR,2.5
BQ,2.5
RCKY,2.5
VYGR,2.6
JAKK,2.7
NBRV,2.7
LLNW,2.7
CLMT,2.8
CTK,3.0
FEDU,3.0
UXIN,3.0
EXPR,3.0
PEI,3.0
LHDX,3.0
UAN,3.0
GSKY,3.5
STG,4.0
SCR,6.0
RPID,6.0
OG,6.0
AKO-A,6.0
MTEX,6.0
LITB,6.0
KRT,6.0
KLTR,6.0
KEN,6.0
JP,6.0
IMGO,6.0
DRTT,6.0
CVRX,6.0
CRBU,6.0
CANO,6.0
ATIP,6.0
NTZ,6.0
KELYB,6.0
