no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,20_day_ma,50_day_ma,200_day_ma,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
79,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,2350.22,29.68,18.35,1.48,4.06,4.4,8.67,23.86,,0.00%,2.26,190.80%,36.73%,24.70%,20.00%,9.50%,155.80%,60.10%,33.54,32.69,2.40%,-6.38%,89.30%,-0.09%,2.96%,2.28,11.80%,15.70%,9.80%,4.2,2.7,0.09,0.09,43.20%,16.40%,13.40%,-12.56%,1.94%,38.24%,79.83%,118.17%,-9.97%,1.53,3.77,7.10%,5.28%,-2.45%,3.79%,38.34%,-13.49%,31.76%,-13.49%,135.96%,47.97,-1.80%,-0.45%,1.8,423.04,1.38,67.13,-2.24%,584636,11/3/2021 4:30:00 PM,79.33,7/11/2000,67.38,0.37%,75.0,95,1.48,67.4,69.47,65.69,49.11,33.36,77.6,19.0,17.7,63.0,True
374,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,USA,994.75,23.41,17.36,,4.04,1.56,4.65,24.32,0.17%,0.00%,1.47,-103.50%,19.91%,-16.20%,,4.60%,900.60%,-0.80%,37.13,18.1,1.00%,-10.43%,40.90%,0.15%,1.55%,2.73,0.70%,7.00%,21.20%,,,0.15,0.15,,,22.70%,-0.78%,11.48%,35.75%,63.60%,116.48%,-0.75%,1.41,1.38,3.74%,4.56%,1.24%,9.84%,38.29%,-6.62%,33.37%,-6.62%,151.59%,57.7,-1.47%,0.03%,1.8,103.1,0.4,34.29,-1.44%,41067,1/20/2022 8:30:00 AM,34.0,8/29/2018,34.29,0.00%,75.0,97,1.75,34.44,34.36,31.67,25.04,13.63,36.72,14.0,-1.28,62.0,True
389,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,USA,41415.37,53.43,37.97,2.92,14.94,10.46,12.23,45.29,,0.00%,2.46,-24.90%,24.78%,36.70%,18.27%,22.60%,32.20%,23.70%,307.46,225.42,0.10%,-88.99%,65.40%,-0.17%,1.74%,1.72,15.50%,21.90%,17.90%,5.1,4.4,0.0,0.0,63.90%,30.80%,28.30%,-7.52%,2.24%,39.35%,42.21%,73.67%,-8.49%,1.21,4.58,3.86%,3.43%,-4.40%,0.97%,33.22%,-11.46%,31.32%,-11.46%,100.76%,46.05,2.22%,-0.62%,2.3,2272.87,1.05,131.54,1.59%,2388340,11/1/2021 4:30:00 PM,135.51,6/6/2014,131.56,0.02%,59.0,93,1.38,133.05,137.79,132.1,99.58,65.52,148.57,17.0,1.85,56.333333333333336,True
417,APA,APA Corporation,Energy,Oil & Gas E&P,USA,10669.46,18.55,5.58,,1.55,,28.3,3.72,1.70%,6.30%,1.59,-36.40%,28.38%,14.80%,,-7.40%,,83.80%,379.0,362.22,0.20%,-2.68%,88.90%,0.10%,3.61%,1.36,4.60%,-48.50%,-60.50%,1.2,0.9,,,64.30%,27.50%,8.70%,4.85%,13.02%,20.48%,45.86%,76.59%,9.41%,4.68,1.29,4.36%,4.51%,9.92%,7.90%,32.69%,-5.52%,28.25%,-5.52%,109.69%,61.19,-0.44%,-0.40%,2.4,9643.23,1.07,29.42,-0.84%,10357771,11/3/2021 4:30:00 PM,35.12,8/2/1963,29.45,0.10%,56.0,95,1.45,32.65,27.62,27.54,22.37,14.03,33.09,16.0,7.57,55.666666666666664,True
447,APTS,Preferred Apartment Communities,Real Estate,REIT - Residential,USA,947.4,,,,2.03,0.87,17.35,8.69,3.98%,,-3.06,-154.30%,34.00%,-48.80%,7.00%,35.70%,-15.10%,-12.30%,52.45,51.51,0.40%,-0.13%,53.10%,0.33%,1.97%,1.99,-3.80%,-11.90%,-2.10%,,,2.24,2.24,73.50%,22.60%,-33.40%,-6.29%,27.74%,45.01%,73.13%,140.96%,-2.60%,1.23,0.67,3.54%,4.42%,6.66%,19.40%,48.27%,-8.71%,44.65%,-8.71%,149.86%,62.95,-1.73%,0.00%,2.3,509.72,1.35,17.59,-1.73%,687830,11/8/2021 4:30:00 PM,14.75,4/1/2011,17.59,0.00%,59.0,98,1.84,17.38,16.99,15.03,11.98,7.04,19.27,16.0,-15.13,57.666666666666664,True
696,AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,USA,42507.38,19.49,17.2,1.39,2.81,,44.23,14.7,,0.00%,103.26,32.30%,10.63%,18.50%,14.00%,6.60%,38.10%,16.30%,20.99,20.52,0.40%,-50.42%,95.30%,0.29%,2.12%,2.78,15.90%,-126.70%,63.10%,0.8,0.2,,,52.60%,20.40%,15.10%,-1.59%,2.38%,20.22%,29.24%,59.05%,-3.99%,0.89,52.12,2.48%,2.29%,-1.09%,4.27%,22.33%,-4.61%,13.87%,-4.61%,81.04%,51.26,0.75%,-0.85%,2.3,156.98,0.93,2012.66,-0.10%,146759,12/7/2021 8:30:00 AM,2194.94,4/2/1991,1998.23,-0.72%,59.0,92,1.34,2052.88,2038.73,1944.62,1654.25,1111.71,2110.0,16.0,6.92,55.666666666666664,True
837,BFS,"Saul Centers, Inc.",Real Estate,REIT - Retail,USA,1290.24,37.02,,4.87,5.4,4.96,108.42,28.29,4.23%,146.90%,1.46,-20.50%,,-2.50%,7.60%,2.00%,55.10%,2.60%,23.69,12.98,0.80%,-22.02%,46.50%,0.12%,1.13%,4.04,2.00%,14.50%,3.80%,,,4.41,4.41,74.00%,23.90%,14.40%,0.50%,3.73%,17.11%,19.65%,68.25%,1.74%,1.07,1.28,2.34%,2.30%,3.12%,4.82%,16.81%,-2.70%,18.45%,-2.70%,81.92%,59.37,0.28%,0.06%,2.3,36.49,0.87,53.94,0.33%,31796,11/4/2021 4:30:00 PM,54.33,8/19/1993,53.94,0.00%,59.0,93,1.36,53.32,52.79,51.94,46.43,29.65,55.44,13.0,1.89,55.0,True
942,BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,USA,15867.58,10.71,12.0,0.57,0.89,2.92,70.62,19.37,,0.00%,7.38,40.30%,-27.34%,69.60%,18.80%,19.10%,309.50%,140.00%,204.27,188.56,0.90%,-2.59%,,0.04%,3.73%,2.82,16.30%,33.20%,16.20%,2.1,1.3,0.44,0.44,28.30%,11.10%,8.00%,-5.37%,1.62%,43.13%,86.65%,99.37%,-7.82%,2.3,3.05,4.27%,3.24%,-2.40%,7.39%,43.93%,-8.64%,38.49%,-8.64%,110.92%,49.97,2.01%,-1.50%,1.5,2497.15,1.13,79.01,0.48%,2823220,11/4/2021 8:30:00 AM,95.0,6/22/2005,79.0,-0.01%,84.0,97,1.64,81.18,81.3,74.88,55.41,37.46,86.48,17.0,17.02,66.0,True
1034,BPOP,"Popular, Inc.",Financial,Banks - Regional,USA,7136.03,8.37,10.51,1.67,3.39,1.23,0.39,10.58,1.96%,15.50%,10.96,-14.70%,-21.42%,-7.40%,5.00%,5.50%,54.00%,3.30%,80.13,78.57,1.20%,-10.08%,87.40%,0.54%,1.72%,3.19,1.30%,15.30%,23.20%,,,0.12,0.13,,98.30%,43.00%,10.93%,16.37%,13.27%,24.72%,52.44%,11.86%,1.12,2.46,3.35%,2.66%,12.51%,12.15%,18.43%,-0.21%,23.15%,-0.21%,69.91%,76.65,-0.90%,1.05%,1.8,423.38,1.85,91.77,0.14%,783178,1/27/2022 8:30:00 AM,104.33,11/4/1982,91.77,0.00%,75.0,88,1.22,92.92,83.66,82.46,77.81,54.01,93.86,50.0,12.28,71.0,True
1176,BXC,BlueLinx Holdings Inc.,Industrials,Building Products & Equipment,USA,857.91,3.3,6.93,0.13,0.21,2.81,4289.53,8.55,,0.00%,24.69,552.90%,-55.56%,53.30%,25.00%,10.10%,-17.10%,11.40%,9.72,9.31,0.10%,-84.38%,84.30%,0.53%,3.16%,1.81,20.40%,139.10%,19.60%,3.1,1.5,1.74,1.76,17.00%,8.60%,5.80%,-10.46%,-1.81%,58.75%,94.40%,135.56%,-14.84%,1.84,4.82,7.11%,5.38%,-5.22%,6.70%,45.03%,-15.61%,77.82%,-15.61%,147.65%,47.07,1.94%,-1.25%,2.0,162.98,1.41,81.55,0.67%,230172,11/2/2021 4:30:00 PM,105.25,12/14/2004,82.3,0.92%,69.0,98,1.82,84.1,86.39,78.53,56.9,33.05,96.63,15.0,25.15,60.666666666666664,True
