,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_sp1500
0,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,2516.62,74.0,27.0,46.01,56.98,85.5,105.57,23.47,-6.17%,-0.19%,8.54%,30.31%,60.74%,-8.68%,88.45,83.77,71.89,95.0,50.22,49.0,True
1,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,2458.05,79.0,19.0,64.22,129.13,63.48,79.33,24.97,0.03%,10.72%,48.78%,98.33%,88.84%,-5.83%,61.78,54.18,44.55,65.16,26.85,54.07,True
2,AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,11589.89,66.5,21.0,43.82,88.37,132.93,162.0,21.87,1.07%,1.29%,10.38%,22.64%,91.58%,-0.40%,138.38,130.63,113.29,145.6,64.31,43.77,True
3,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,146959.91,74.0,10.0,55.1,78.46,151.67,169.85,11.99,3.78%,8.46%,24.44%,19.78%,62.72%,1.39%,151.19,140.1,133.55,159.0,82.88,46.37,True
5,AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,6483.79,69.0,16.0,41.79,95.28,167.42,210.43,25.69,0.79%,-0.04%,6.37%,-4.23%,48.27%,-1.76%,180.25,166.8,160.56,191.62,88.0,42.26,True
6,AMN,"AMN Healthcare Services, Inc.",Healthcare,Medical Care Facilities,5108.39,81.5,12.0,50.7,74.97,111.46,138.25,24.04,-9.90%,-1.45%,-7.73%,11.18%,50.08%,-12.64%,111.04,109.34,95.67,124.62,63.51,48.07,True
8,AN,"AutoNation, Inc.",Consumer Cyclical,Auto & Truck Dealerships,7354.49,64.0,18.0,48.4,102.07,122.67,155.12,26.45,1.18%,-1.52%,-1.60%,8.85%,50.33%,-3.69%,124.46,122.3,105.74,133.48,61.48,43.47,True
9,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,41890.79,66.5,17.0,50.11,83.32,121.39,135.51,11.63,-0.08%,0.66%,38.63%,44.60%,71.88%,-7.44%,129.37,107.96,90.27,134.13,65.52,44.54,True
14,ARCB,ArcBest Corporation,Industrials,Trucking,2484.14,76.5,22.0,44.26,145.96,99.84,128.56,28.77,-8.40%,-10.76%,15.27%,55.53%,102.59%,-21.01%,109.73,94.83,74.47,116.79,41.22,47.59,True
23,BJ,"BJ's Wholesale Club Holdings, Inc.",Consumer Defensive,Discount Stores,9269.45,69.0,18.0,49.13,61.38,63.27,78.21,23.61,1.51%,-2.93%,13.45%,35.20%,69.02%,-3.54%,64.26,60.16,50.8,74.09,36.07,45.38,True
