no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
334,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA,178626.35,46.51,45.04,1.32,12.03,25.55,49.51,60.27,,0.00%,3.23,604.70%,26.65%,34.80%,35.32%,19.60%,133.20%,54.00%,1214.0,1202.52,0.50%,-18.38%,70.50%,0.99%,5.79%,1.28,38.90%,59.90%,40.90%,2.2,1.7,0.0,0.04,46.80%,19.90%,26.70%,-2.67%,-0.29%,49.73%,59.03%,62.77%,4.41%,1.9,7.12,3.84%,4.93%,5.17%,5.94%,43.52%,-8.65%,29.23%,-8.65%,107.23%,55.53,3.60%,0.78%,2.3,54367.75,1.09,150.24,4.41%,59334700,10/26/2021 4:30:00 PM,142.5,10/15/1979,150.55,0.21%,59.0,87,1.26,150.24,143.16,142.44,105.04,72.5,164.46,16.0,-5.15,54.0,True
382,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,USA,42993.46,57.77,41.31,3.16,15.51,11.32,12.7,47.02,,0.00%,2.46,-24.90%,24.12%,36.70%,18.27%,22.60%,32.20%,23.70%,307.46,225.42,0.10%,-89.31%,65.90%,0.97%,1.74%,1.76,15.50%,21.90%,17.90%,5.1,4.4,0.0,0.0,63.90%,30.80%,28.30%,-3.13%,15.38%,65.53%,51.75%,100.93%,-1.05%,1.18,4.23,2.13%,3.26%,5.40%,12.32%,46.41%,-4.26%,47.48%,-4.26%,117.09%,61.75,-1.28%,0.24%,2.3,2228.57,1.03,142.24,-1.05%,2296603,11/1/2021 4:30:00 PM,129.49,6/6/2014,142.24,0.00%,59.0,94,1.55,142.24,136.01,127.51,97.51,65.52,148.57,16.0,-8.96,56.333333333333336,True
686,AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,USA,42395.13,19.81,17.51,1.41,2.8,,44.11,14.66,,0.00%,103.26,32.30%,10.52%,18.50%,14.00%,6.60%,38.10%,16.30%,20.99,20.52,0.20%,-67.64%,95.00%,-0.02%,2.12%,2.73,15.90%,-126.70%,63.10%,0.8,0.2,,,52.60%,20.40%,15.10%,-0.10%,9.46%,24.51%,32.61%,73.26%,-2.45%,0.86,48.33,2.07%,2.56%,1.79%,7.20%,25.65%,-3.08%,15.71%,-3.08%,83.96%,58.49,-1.56%,-0.90%,2.2,159.53,0.94,2045.11,-2.45%,150315,12/7/2021 8:30:00 AM,2170.29,4/2/1991,2045.11,0.00%,63.0,90,1.34,2045.11,2018.17,1912.46,1631.28,1111.71,2110.0,16.0,6.12,56.333333333333336,True
1241,CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,USA,36251.22,25.31,19.27,2.3,1.39,4.58,13.1,18.37,,0.00%,4.29,-41.00%,6.52%,6.40%,11.00%,17.00%,134.80%,20.40%,335.37,332.43,0.50%,-39.60%,98.40%,-0.33%,1.41%,3.44,7.90%,19.50%,6.80%,1.4,1.4,0.24,0.42,22.00%,5.40%,5.60%,0.82%,8.76%,9.72%,27.94%,82.64%,0.15%,1.41,2.74,1.47%,2.31%,4.25%,5.24%,17.00%,-0.81%,14.84%,-0.81%,85.02%,62.02,-0.62%,0.77%,2.1,1361.56,0.68,108.67,0.15%,930046,10/28/2021 8:30:00 AM,128.0,6/10/2004,110.25,1.45%,66.0,91,1.41,108.67,104.75,103.39,93.04,58.74,110.23,20.0,17.79,59.0,True
1608,COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,USA,250978.87,48.76,40.57,4.89,1.24,13.61,18.62,8096.09,0.56%,25.60%,11.62,25.00%,9.06%,16.20%,9.98%,10.50%,13.50%,16.60%,443.38,442.57,0.20%,-2.65%,68.80%,-0.54%,1.02%,2.07,8.80%,30.30%,19.60%,1.0,0.5,0.36,0.4,12.80%,3.40%,2.50%,0.58%,7.84%,28.76%,42.08%,49.08%,-0.17%,0.64,12.85,1.52%,2.38%,2.97%,7.14%,29.04%,-0.84%,20.81%,-0.84%,84.60%,62.06,0.30%,-0.48%,2.2,2177.62,1.24,566.71,-0.17%,2694194,12/9/2021 4:30:00 PM,545.7,11/27/1985,566.36,-0.06%,63.0,80,1.15,566.71,552.25,530.73,440.37,307.0,571.49,21.0,-3.71,54.666666666666664,True
2073,DRE,Duke Realty Corporation,Real Estate,REIT - Industrial,USA,24658.69,26.61,74.04,4.44,22.26,4.11,2490.78,,1.58%,41.90%,2.43,-31.60%,-60.16%,8.50%,6.00%,4.60%,575.70%,7.00%,379.22,374.26,0.10%,-2.54%,98.50%,-1.26%,1.52%,3.89,9.60%,16.90%,4.60%,,,0.57,0.57,69.40%,92.40%,82.80%,0.40%,8.09%,30.66%,33.44%,68.08%,-1.65%,0.63,1.27,1.92%,1.81%,3.02%,8.54%,26.46%,-2.51%,18.17%,-2.51%,71.66%,66.61,-1.65%,0.00%,2.1,1460.42,0.96,64.56,-1.65%,1396131,10/27/2021 4:30:00 PM,64.0,2/6/1986,64.6,0.06%,66.0,88,1.3,64.56,62.91,59.67,51.17,37.61,66.22,15.0,-0.87,56.333333333333336,True
2137,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,31026.79,26.36,8.68,1.05,3.48,3.43,13.37,11.27,0.97%,26.40%,1.73,3266.70%,55.11%,26.40%,25.00%,-18.20%,535.60%,224.80%,671.0,640.77,0.20%,-7.59%,92.10%,3.94%,2.62%,1.54,6.70%,16.70%,-31.00%,1.2,1.2,0.76,0.76,42.90%,16.00%,13.40%,2.15%,13.25%,21.52%,71.48%,200.62%,3.45%,3.07,2.02,2.92%,4.43%,8.48%,10.46%,50.14%,0.49%,28.19%,0.49%,208.65%,62.89,3.36%,0.09%,1.8,10915.85,0.94,45.57,3.45%,10215934,11/2/2021 4:30:00 PM,51.27,3/17/1992,45.7,0.29%,75.0,98,2.18,45.57,42.48,42.31,31.64,15.71,45.77,26.0,12.51,66.33333333333333,True
2271,EFX,Equifax Inc.,Industrials,Consulting Services,USA,34210.64,49.4,32.27,3.63,7.14,9.78,16.89,55.9,0.55%,26.80%,5.75,228.40%,15.79%,3.60%,13.60%,9.20%,-10.60%,14.50%,121.9,121.5,0.10%,-30.74%,93.10%,0.35%,1.52%,2.81,7.10%,21.00%,6.90%,1.5,1.5,1.4,1.55,59.60%,22.00%,14.80%,-2.44%,-2.41%,12.08%,15.50%,51.10%,-3.00%,1.43,6.78,1.90%,2.30%,-1.60%,0.22%,13.29%,-5.37%,18.28%,-5.37%,75.45%,47.46,-3.00%,0.00%,2.3,658.22,0.87,284.0,-3.00%,574976,10/20/2021 4:30:00 PM,296.94,5/11/1971,284.0,0.00%,59.0,82,1.17,284.0,288.69,283.94,251.24,161.87,300.11,13.0,4.56,51.333333333333336,True
2588,EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,USA,29495.2,40.75,39.37,6.79,19.62,9.8,449.62,82.21,2.28%,77.10%,5.38,14.70%,5.73%,18.90%,6.00%,11.60%,59.40%,20.30%,133.81,131.04,0.60%,-46.27%,96.00%,-2.75%,1.67%,3.48,7.50%,25.00%,7.90%,,,1.87,1.87,74.00%,57.20%,47.50%,-1.14%,6.73%,30.26%,28.32%,98.78%,-3.31%,0.33,5.19,2.33%,2.23%,2.06%,7.30%,26.67%,-4.20%,19.60%,-4.20%,105.73%,58.86,-3.42%,0.12%,2.1,627.27,0.97,219.23,-3.31%,607081,10/27/2021 4:30:00 PM,220.79,8/12/2004,223.52,1.96%,66.0,94,1.53,219.23,215.69,204.99,173.53,106.56,228.84,15.0,0.71,58.333333333333336,True
2603,F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,USA,86525.52,30.88,10.96,,0.64,2.38,1.86,8.01,1.84%,0.00%,0.7,290.20%,4.69%,-16.80%,,-3.20%,-23.80%,-4.80%,3995.0,3914.51,0.10%,8.70%,54.00%,-0.23%,1.70%,0.73,1.10%,8.40%,-2.40%,1.2,1.0,2.66,3.95,10.10%,1.00%,2.10%,4.66%,9.56%,51.71%,50.14%,155.52%,4.81%,1.1,0.75,2.56%,3.68%,8.11%,12.63%,45.26%,1.30%,40.45%,1.30%,158.24%,66.12,2.06%,2.70%,2.4,90657.78,1.21,21.77,4.81%,109969924,10/27/2021 4:30:00 PM,19.41,6/1/1972,21.88,0.51%,56.0,97,1.97,21.77,20.27,19.43,15.03,8.43,21.88,15.0,-10.84,56.0,True
