,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_russell_3k
0,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,14825.22,76.5,18.0,80,1.21,233.37,254.06,8.87,0.03%,2.45%,11.09%,24.74%,61.97%,49.69%,231.94,,201.83,143.15,243.05,58.166666666666664,True
1,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,2757.14,81.5,26.0,84,1.3,94.18,105.57,12.09,7.86%,15.36%,27.67%,26.51%,75.63%,74.02%,87.22,,71.37,50.22,95.0,63.833333333333336,True
3,ABCB,Ameris Bancorp,Financial,Banks - Regional,3786.93,84.0,17.0,76,1.15,53.2,59.43,11.71,-0.83%,-2.75%,8.35%,-1.33%,54.93%,40.40%,53.67,,51.59,33.86,59.85,59.0,True
6,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,2139.58,86.5,19.0,95,1.86,64.72,68.5,5.84,-0.51%,29.42%,30.13%,57.10%,133.64%,119.20%,60.71,,44.21,26.51,65.16,66.83333333333333,True
8,ADNT,Adient plc,Consumer Cyclical,Auto Parts,4659.09,71.5,14.0,79,1.2,48.01,50.9,6.02,2.48%,12.49%,18.40%,2.14%,64.76%,40.12%,45.54,,42.9,30.2,53.17,54.833333333333336,True
9,AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,12539.08,74.0,20.0,77,1.17,141.73,160.33,13.12,3.62%,11.33%,15.00%,36.96%,98.85%,103.62%,141.49,,127.25,79.21,146.63,57.0,True
10,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,3774.78,89.0,37.0,83,1.28,53.46,61.0,14.1,-0.55%,-2.43%,6.99%,15.84%,66.44%,71.20%,54.58,,47.69,29.73,56.95,69.66666666666667,True
12,AKR,Acadia Realty Trust,Real Estate,REIT - Retail,1989.31,74.0,46.0,76,1.15,22.44,24.29,8.24,-0.31%,-1.82%,4.87%,3.02%,48.49%,56.24%,22.32,,21.05,13.48,23.33,65.33333333333333,True
14,ALTR,Altair Engineering Inc.,Technology,Software - Infrastructure,5793.29,76.5,20.0,75,1.13,75.8,86.29,13.84,-4.86%,-2.14%,0.03%,14.79%,47.02%,29.15%,78.25,,68.7,50.96,82.96,57.166666666666664,True
17,AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,7318.81,79.0,15.0,90,1.5,176.14,213.67,21.31,-1.37%,6.66%,4.75%,10.80%,104.55%,74.93%,180.54,,160.19,86.94,191.62,61.333333333333336,True
18,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,34421.56,84.0,26.0,81,1.23,302.46,337.11,11.46,-1.53%,2.00%,11.47%,18.86%,65.42%,56.42%,305.11,,258.88,182.83,312.15,63.666666666666664,True
20,AMRK,"A-Mark Precious Metals, Inc.",Financial,Capital Markets,824.93,81.5,55.0,94,1.79,70.19,91.0,29.65,-5.06%,-0.09%,49.64%,36.10%,140.71%,181.54%,72.43,,49.43,25.08,80.93,76.83333333333333,True
21,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,908.66,76.5,15.0,90,1.5,30.64,33.0,7.7,2.01%,14.87%,28.61%,33.43%,128.06%,103.75%,29.33,,22.57,13.63,32.67,60.5,True
22,AMTX,"Aemetis, Inc.",Energy,Oil & Gas Refining & Marketing,619.63,86.5,13.0,100,7.02,18.54,29.86,61.06,-9.83%,-11.93%,68.64%,39.03%,714.02%,599.60%,19.82,,14.97,1.96,27.44,66.5,True
24,APA,APA Corporation,Energy,Oil & Gas E&P,10970.91,71.5,15.0,91,1.56,28.61,33.98,18.77,-3.88%,0.89%,57.03%,39.01%,121.38%,100.63%,28.34,,21.17,12.2,31.14,59.166666666666664,True
