no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp1500
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,253905.81,22.91,12.01,5.59,4.52,17.0,25.83,19.95,3.82%,80.30%,6.45,137.00%,-12.99%,12.20%,4.10%,17.00%,11133.30%,7.40%,1773.0,1766.31,0.10%,-22.57%,69.00%,1.10%,0.87%,1.98,7.70%,83.00%,17.90%,0.8,0.7,4.17,4.98,69.20%,31.90%,20.40%,2.60%,8.68%,26.83%,23.57%,36.31%,9.14%,0.76,3.24,2.35%,2.03%,3.50%,7.43%,22.90%,-1.72%,15.81%,-1.72%,44.80%,66.12,0.98%,-2.14%,7786.53,1.42,147.77,-1.18%,11087836,2/2/2022 8:30:00 AM,150.69,12/10/2012,147.62,-0.10%,69.0,90,1.22,147.77,143.27,137.9,120.39,102.05,150.36,11.0,1.98,56.666666666666664,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,28954.97,18.51,12.32,1.79,0.13,122.87,8.17,16.11,1.29%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-45.31%,65.80%,1.31%,1.30%,1.76,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,0.73%,5.82%,18.55%,18.88%,38.15%,7.25%,0.46,3.44,2.32%,2.35%,1.98%,5.74%,15.26%,-1.17%,16.38%,-1.17%,41.53%,61.1,2.31%,-1.84%,1103.6,1.12,142.53,0.43%,1241223,2/2/2022 8:30:00 AM,153.92,4/4/1995,142.53,0.00%,63.0,90,1.23,142.53,140.06,135.17,123.77,101.84,144.22,12.0,7.99,55.0,True
211,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,3822.31,17.8,14.08,5.93,4.52,0.68,31.85,,1.42%,,3.48,19.20%,19.78%,5.91%,3.00%,,-80.20%,6.20%,69.3,66.34,0.20%,-13.95%,91.80%,-5.15%,2.85%,4.08,,,,,,0.27,0.27,,,,8.34%,21.58%,19.54%,22.18%,36.74%,23.45%,1.11,2.11,4.66%,2.95%,9.12%,15.89%,23.43%,-3.14%,37.89%,-3.14%,50.78%,66.98,-0.74%,-1.90%,463.97,1.57,61.97,-2.62%,727940,2/24/2022 4:30:00 PM,62.67,4/23/2004,61.97,0.00%,78.0,90,1.22,61.97,57.27,53.75,50.28,41.1,63.98,37.0,1.13,68.33333333333333,True
236,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,47699.84,5.64,9.85,0.18,0.92,0.78,21.7,9.18,2.09%,11.60%,10.86,257.40%,17.05%,77.40%,30.69%,-0.30%,478.80%,45.60%,833.65,813.92,0.10%,-1.85%,93.00%,-2.61%,0.73%,1.15,1.60%,14.50%,11.70%,,,0.46,0.46,,25.70%,18.00%,-0.79%,8.54%,9.26%,11.33%,35.16%,7.70%,1.28,2.18,3.27%,3.02%,0.90%,3.80%,11.85%,-3.62%,18.11%,-3.62%,40.36%,53.08,-0.02%,-3.02%,5179.86,1.47,61.24,-3.04%,7596583,2/16/2022 4:30:00 PM,67.54,4/3/1972,60.43,-1.32%,63.0,90,1.21,61.24,60.91,59.14,54.81,44.54,63.54,14.0,10.29,55.666666666666664,True
248,AIR,AAR Corp.,Industrials,Aerospace & Defense,USA,1542.34,20.71,14.22,1.51,0.89,1.57,36.12,32.4,,0.00%,2.17,84.30%,34.64%,0.00%,13.68%,1.60%,41.30%,8.20%,35.1,33.8,0.10%,-69.25%,98.20%,2.55%,6.08%,5.95,4.70%,7.60%,4.20%,3.0,1.3,0.1,0.1,17.30%,6.00%,4.20%,4.24%,13.20%,30.83%,30.64%,6.85%,15.14%,1.65,1.48,4.32%,3.18%,7.88%,11.01%,20.99%,0.76%,30.98%,-1.21%,45.44%,66.72,1.01%,2.09%,345.37,1.64,44.94,3.12%,565024,12/21/2021 4:30:00 PM,51.0,4/24/1972,44.94,0.00%,69.0,69,0.95,44.94,41.93,40.67,37.17,30.9,45.49,18.0,13.48,52.0,True
362,AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,1270.23,38.33,18.69,1.53,3.08,3.09,11.08,28.54,,0.00%,0.72,-97.10%,12.95%,19.70%,25.00%,6.80%,651.50%,34.50%,48.02,36.86,0.60%,-33.06%,62.50%,5.00%,5.56%,7.06,5.60%,8.70%,1.70%,3.1,2.1,0.18,0.18,43.70%,15.00%,8.70%,5.72%,10.71%,39.18%,43.58%,58.52%,18.98%,0.58,1.26,4.84%,5.41%,5.96%,11.99%,31.92%,-5.07%,29.49%,-5.07%,63.87%,60.26,-3.68%,0.00%,290.36,1.5,27.71,-3.68%,435310,,28.25,6/25/2014,27.71,0.00%,53.0,95,1.41,27.71,26.23,24.85,21.05,16.91,29.19,12.0,1.95,53.333333333333336,True
585,ATI,Allegheny Technologies Incorporated,Industrials,Metal Fabrication,USA,3057.91,,17.36,,1.09,6.04,3.04,,,,-0.34,-773.50%,58.44%,-28.70%,-4.50%,-4.30%,187.30%,21.40%,127.2,126.27,1.00%,0.00%,,0.06%,14.78%,8.16,-29.40%,-243.40%,-55.50%,2.2,1.4,3.11,4.23,11.90%,-38.50%,-43.90%,7.38%,38.16%,69.79%,40.27%,23.57%,61.58%,1.36,1.1,4.24%,4.53%,12.38%,30.46%,34.87%,-0.19%,77.27%,-0.19%,85.85%,77.25,2.51%,-1.37%,2287.64,1.4,25.74,1.10%,3197312,2/2/2022 8:30:00 AM,28.25,5/2/1966,25.74,0.00%,63.0,83,1.1,25.74,23.27,19.94,19.1,13.85,26.34,11.0,9.75,52.333333333333336,True
688,AXP,American Express Company,Financial,Credit Services,USA,143636.66,19.47,17.2,0.56,3.35,6.74,6.74,12.33,0.88%,17.20%,9.99,166.10%,16.68%,12.30%,34.57%,3.50%,24.50%,28.80%,768.0,758.29,0.10%,-39.77%,87.00%,-2.19%,1.36%,2.4,4.20%,32.80%,5.50%,,,1.74,5.65,68.60%,25.00%,18.50%,-0.17%,13.17%,24.05%,15.35%,40.25%,18.91%,1.1,5.59,3.27%,2.59%,2.31%,10.48%,14.51%,-2.51%,27.28%,-2.51%,45.41%,61.93,2.53%,-2.05%,4308.8,1.34,194.54,0.43%,5787432,1/25/2022 8:30:00 AM,199.0,4/4/1972,194.2,-0.17%,56.0,91,1.25,194.54,191.01,176.74,170.09,135.13,199.55,14.0,2.29,53.666666666666664,True
789,BCOR,"Blucora, Inc.",Financial,Asset Management,USA,956.79,135.37,7.7,9.02,1.08,2.7,5.16,12.51,,,0.15,-831.20%,14.38%,47.75%,15.00%,45.00%,-4.60%,-0.70%,48.71,47.71,1.90%,8.69%,95.30%,3.63%,2.91%,3.45,-1.60%,-5.00%,-34.70%,2.1,2.1,1.54,1.54,45.80%,6.40%,-2.00%,1.89%,28.80%,15.36%,18.03%,16.99%,14.90%,1.49,0.84,5.08%,4.51%,10.97%,14.90%,18.34%,-3.40%,31.79%,-3.40%,40.04%,71.52,2.63%,-0.46%,403.28,0.88,19.9,2.16%,353796,2/16/2022 8:30:00 AM,23.67,12/15/1998,19.9,0.00%,69.0,78,1.04,19.9,18.14,17.38,16.84,14.21,20.6,15.0,18.94,54.0,True
933,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,29389.11,,17.03,,1.43,1.59,6.01,31.74,2.45%,,-0.36,98.20%,35.61%,46.90%,50.90%,15.80%,-56.50%,-0.20%,899.0,818.52,0.10%,-98.99%,88.80%,4.92%,2.74%,2.55,-0.60%,-1.30%,2.90%,1.7,1.2,0.4,0.41,19.70%,7.00%,-1.10%,0.93%,7.62%,27.41%,27.35%,17.61%,22.11%,1.45,1.17,4.19%,3.86%,4.46%,10.49%,20.23%,-2.41%,29.06%,-2.41%,56.69%,60.99,0.34%,-0.75%,8770.32,1.26,29.38,-0.41%,11034156,1/20/2022 8:30:00 AM,32.41,10/3/1961,29.38,0.00%,69.0,79,1.05,29.38,28.24,26.7,24.46,18.75,30.11,-2.0,10.31,48.666666666666664,True
