,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_sp500
0,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,14576.17,76.5,18.0,78,1.21,230.0,240.65,4.63,-2.74%,2.32%,10.61%,18.97%,56.60%,47.24%,231.54,,200.73,142.59,243.05,57.5,True
12,ALGN,"Align Technology, Inc.",Healthcare,Medical Devices,53776.39,86.5,15.0,75,1.16,683.29,761.83,11.49,-0.30%,12.44%,0.33%,15.56%,53.80%,27.97%,666.31,,622.4,439.86,737.45,58.833333333333336,True
18,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,33654.9,84.0,26.0,80,1.26,299.55,333.78,11.43,-0.96%,2.17%,15.89%,19.23%,65.37%,56.01%,304.31,,257.56,179.77,312.15,63.333333333333336,True
22,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,10097.66,74.0,16.0,88,1.45,128.96,499.11,287.03,1.69%,34.33%,43.35%,59.64%,94.90%,82.47%,121.68,,88.88,65.52,134.14,59.333333333333336,True
24,APA,APA Corporation,Energy,Oil & Gas E&P,10005.47,71.5,15.0,93,1.72,26.0,32.73,25.88,-6.22%,0.47%,71.62%,32.02%,149.82%,94.36%,28.32,,21.01,11.16,31.14,59.833333333333336,True
25,APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,47264.12,76.5,13.0,75,1.17,176.06,183.92,4.46,4.29%,4.31%,13.97%,25.49%,53.20%,35.28%,173.34,,153.91,113.92,180.81,54.833333333333336,True
40,BAC,Bank of America Corporation,Financial,Banks - Diversified,383773.7,71.5,14.0,82,1.28,45.4,47.58,4.8,-2.46%,-1.64%,14.74%,9.25%,71.68%,52.82%,47.23,,40.83,26.63,48.69,55.833333333333336,True
69,CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional,21265.88,81.5,19.0,75,1.16,49.61,54.41,9.68,2.08%,-1.45%,18.42%,1.52%,54.23%,40.21%,48.72,,45.74,31.83,51.14,58.5,True
106,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,29423.81,86.5,23.0,97,2.34,40.6,47.69,17.46,1.40%,5.89%,70.84%,74.57%,249.50%,182.08%,42.14,,28.7,13.04,44.79,68.83333333333333,True
116,EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,37479.41,81.5,18.0,88,1.47,663.84,780.53,17.58,-0.63%,5.74%,5.37%,39.13%,102.46%,85.28%,675.55,,521.21,311.82,725.4,62.5,True
