no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,10609.82,14.09,9.4,,0.95,2.92,7.31,235.77,0.66%,0.00%,4.29,85.00%,3.26%,28.00%,,-3.70%,769.80%,31.50%,187.0,184.17,0.10%,-51.17%,77.40%,0.04%,8.01%,1.71,5.60%,23.00%,5.60%,1.5,0.9,0.44,0.44,22.00%,12.60%,7.30%,3.52%,19.92%,24.51%,83.64%,141.17%,1.56%,2.44,2.91,5.01%,4.67%,3.77%,16.15%,38.84%,-6.00%,39.88%,-6.00%,249.77%,61.03,-2.01%,-0.21%,1.8,8631.98,0.66,60.51,-2.21%,5739602,1/19/2022 4:30:00 PM,59.66,10/18/2016,60.42,-0.15%,75.0,99,2.14,59.37,59.86,53.15,44.15,17.3,64.37,12.0,0.49,62.0,True
376,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,USA,1005.2,23.65,17.54,,4.08,1.58,4.7,24.58,0.17%,0.00%,1.47,-103.50%,19.91%,-16.20%,,4.60%,900.60%,-0.80%,37.13,18.1,1.00%,-10.43%,40.90%,0.15%,2.01%,3.47,0.70%,7.00%,21.20%,,,0.15,0.15,,,22.70%,-0.26%,10.53%,34.51%,60.49%,116.56%,0.29%,1.41,1.29,2.39%,4.15%,0.83%,9.41%,38.39%,-5.64%,30.26%,-5.64%,154.23%,59.94,0.12%,0.49%,1.8,104.81,0.48,34.65,0.61%,50293,1/20/2022 8:30:00 AM,34.0,8/29/2018,34.25,-1.15%,75.0,98,1.82,33.45,34.39,32.19,25.34,13.63,36.72,14.0,1.64,62.333333333333336,True
419,APA,APA Corporation,Energy,Oil & Gas E&P,USA,11637.76,20.23,6.08,,1.69,,30.87,4.06,1.56%,6.30%,1.59,-36.40%,28.38%,14.80%,,-7.40%,,83.80%,379.0,362.22,0.20%,-2.68%,88.90%,0.10%,3.22%,1.22,4.60%,-48.50%,-60.50%,1.2,0.9,,,64.30%,27.50%,8.70%,8.34%,28.62%,22.39%,78.48%,74.88%,19.34%,4.68,1.34,4.83%,4.66%,16.16%,16.53%,43.46%,-3.02%,39.89%,-3.02%,128.72%,68.0,-1.69%,-0.03%,2.4,9578.95,0.84,32.09,-1.72%,8073477,11/3/2021 4:30:00 PM,35.12,8/2/1963,32.09,0.00%,56.0,96,1.52,32.6,29.26,27.88,22.66,14.03,34.4,17.0,7.73,56.333333333333336,True
449,APTS,Preferred Apartment Communities,Real Estate,REIT - Residential,USA,962.48,,,,2.06,0.88,17.63,8.83,3.92%,,-3.06,-154.30%,34.00%,-48.80%,7.00%,35.70%,-15.10%,-12.30%,52.45,51.51,0.40%,-0.13%,53.10%,0.33%,1.12%,1.1,-3.80%,-11.90%,-2.10%,,,2.24,2.24,73.50%,22.60%,-33.40%,-1.87%,27.55%,42.50%,73.33%,132.38%,-1.05%,1.23,0.63,2.61%,4.35%,5.15%,18.93%,49.20%,-7.26%,43.07%,-7.26%,153.84%,64.25,2.06%,0.75%,2.3,524.51,0.67,17.87,2.82%,350716,11/8/2021 4:30:00 PM,14.75,4/1/2011,17.87,0.00%,59.0,98,1.89,17.64,17.6,15.44,12.13,7.04,19.27,17.0,-16.37,58.0,True
462,AR,Antero Resources Corporation,Energy,Oil & Gas E&P,USA,6205.33,,5.8,,1.76,1.29,,4.39,,,-3.24,-319.20%,99.54%,-27.40%,,-2.50%,12.20%,40.30%,313.79,273.36,1.10%,-32.35%,77.70%,0.13%,7.55%,3.31,-7.80%,-18.60%,-11.40%,0.3,0.3,0.48,0.48,64.40%,-34.60%,-28.80%,9.08%,22.18%,1.84%,50.60%,173.90%,13.94%,4.33,0.95,5.28%,5.01%,9.55%,8.42%,30.93%,-9.32%,29.65%,-9.32%,217.01%,60.45,-1.63%,-2.36%,2.2,6241.8,0.96,19.94,-3.95%,5961982,10/27/2021 4:30:00 PM,27.44,10/10/2013,19.94,0.00%,63.0,99,2.22,18.81,18.66,18.28,15.41,6.29,21.99,17.0,45.88,59.666666666666664,True
472,ARCH,"Arch Resources, Inc.",Energy,Thermal Coal,USA,1499.66,95.23,2.55,,0.85,3.58,7.15,,1.03%,0.00%,1.02,-268.30%,96.78%,30.20%,,-10.60%,139.00%,55.50%,15.3,14.99,1.40%,-0.80%,,0.50%,29.24%,8.63,1.80%,10.00%,-41.40%,1.5,1.1,1.01,1.35,18.80%,3.10%,1.80%,4.78%,16.50%,1.73%,70.79%,90.79%,6.15%,0.97,4.31,4.69%,4.77%,6.19%,12.07%,35.95%,-3.06%,31.82%,-8.18%,148.45%,64.25,-3.05%,0.67%,2.0,507.79,0.72,96.94,-2.40%,363094,10/26/2021 8:30:00 AM,121.17,10/5/2016,96.76,-0.19%,69.0,97,1.64,102.49,93.62,87.18,72.41,39.02,105.58,7.0,18.23,57.666666666666664,True
1036,BPOP,"Popular, Inc.",Financial,Banks - Regional,USA,7412.08,8.69,10.92,1.74,3.52,1.28,0.4,10.99,1.89%,15.50%,10.96,-14.70%,-21.42%,-7.40%,5.00%,5.50%,54.00%,3.30%,80.13,78.57,1.20%,-10.08%,87.40%,0.54%,1.37%,2.47,1.30%,15.30%,23.20%,,,0.12,0.13,,98.30%,43.00%,6.83%,22.14%,20.69%,33.18%,54.21%,16.19%,1.12,2.27,2.63%,2.59%,13.94%,15.60%,22.50%,1.56%,27.91%,1.56%,76.49%,81.29,2.01%,0.56%,1.8,436.71,2.38,95.32,2.58%,1038332,1/27/2022 8:30:00 AM,104.33,11/4/1982,95.32,0.00%,75.0,92,1.3,94.5,87.35,83.57,78.32,54.01,99.49,50.0,10.4,72.33333333333333,True
1184,BY,"Byline Bancorp, Inc.",Financial,Banks - Regional,USA,1072.19,12.66,16.65,1.27,4.39,1.31,6.34,7.64,1.26%,10.40%,2.26,-35.30%,-29.13%,30.70%,10.00%,23.50%,96.20%,7.90%,37.2,22.57,0.10%,-35.04%,44.10%,0.31%,1.42%,2.92,1.30%,10.90%,19.90%,,,0.14,0.14,,94.60%,35.70%,-0.59%,5.76%,16.57%,24.42%,72.47%,4.68%,1.33,0.73,2.16%,2.58%,3.91%,4.95%,17.47%,-1.78%,13.79%,-1.78%,96.23%,61.15,0.25%,0.67%,2.4,110.05,0.55,28.63,0.92%,60674,10/28/2021 4:30:00 PM,30.0,6/30/2017,28.63,0.00%,56.0,95,1.42,28.28,27.95,27.42,24.52,14.59,29.15,17.0,6.08,56.0,True
1277,CCB,Coastal Financial Corporation,Financial,Banks - Regional,USA,620.37,26.41,26.88,,8.21,3.87,0.91,27.33,,0.00%,1.96,14.60%,-8.10%,36.30%,,20.50%,59.80%,19.50%,12.0,9.61,2.60%,0.00%,55.50%,0.02%,1.95%,4.52,1.20%,16.20%,17.40%,,,0.17,0.0,,93.60%,32.20%,-2.13%,26.20%,56.94%,78.68%,139.14%,2.47%,1.24,2.19,3.25%,4.79%,3.18%,11.95%,51.57%,-4.67%,36.82%,-4.67%,164.51%,61.67,-1.56%,1.76%,1.7,41.48,4.06,51.87,0.17%,168521,,53.67,7/18/2018,51.87,0.00%,78.0,99,1.94,50.46,51.46,47.29,34.72,19.61,54.41,3.0,6.36,60.0,True
1334,CEIX,CONSOL Energy Inc.,Energy,Thermal Coal,USA,846.29,,4.75,,0.68,1.74,5.22,4.3,,,-1.93,-113.30%,1153.66%,-15.30%,,-6.50%,,25.70%,34.48,33.81,1.96%,0.00%,79.90%,-2.46%,4.71%,3.04,-2.80%,-12.70%,2.50%,0.7,0.6,1.34,1.46,92.50%,7.10%,-5.70%,3.21%,18.09%,-23.96%,34.05%,156.41%,7.49%,2.56,1.3,5.48%,5.69%,3.40%,5.01%,18.58%,-12.23%,22.42%,-32.62%,205.51%,54.4,-5.31%,-0.27%,2.0,523.16,1.0,24.41,-5.57%,523200,11/2/2021 8:30:00 AM,29.33,11/14/2017,24.41,0.00%,69.0,99,2.2,25.5,24.25,23.4,20.9,7.99,36.23,32.0,15.02,66.66666666666667,True
