no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,254052.37,34.04,11.72,8.3,4.6,18.67,20.74,23.66,3.94%,133.00%,4.2,-48.50%,-13.83%,-2.80%,4.10%,14.90%,37.60%,11.20%,1770.0,1765.97,0.10%,-22.61%,68.40%,0.06%,0.91%,2.26,4.40%,49.90%,12.70%,1.0,0.9,5.46,5.96,67.90%,28.20%,12.00%,0.33%,7.10%,22.25%,20.77%,37.24%,5.61%,0.8,2.84,1.62%,2.16%,3.85%,7.17%,20.31%,-0.98%,23.70%,-0.98%,40.13%,69.05,0.86%,-0.16%,2.0,7159.26,1.39,143.0,0.70%,9930851,2/2/2022 8:30:00 AM,148.05,12/10/2012,142.59,-0.29%,69.0,90,1.23,143.0,138.06,133.96,119.02,102.05,144.42,10.0,3.53,56.333333333333336,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,29589.19,18.2,12.11,1.76,0.13,120.84,8.35,16.46,1.31%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-45.72%,65.40%,0.59%,1.13%,1.6,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,0.55%,3.92%,11.84%,16.75%,35.61%,5.49%,0.47,3.34,2.06%,2.53%,2.99%,6.93%,14.18%,-2.39%,23.31%,-2.39%,39.19%,61.46,0.13%,-0.17%,2.2,1061.91,1.18,140.18,-0.04%,1248204,2/2/2022 8:30:00 AM,153.5,4/4/1995,140.18,0.00%,63.0,89,1.21,140.18,136.31,131.58,122.87,100.71,143.61,12.0,9.5,54.666666666666664,True
119,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,42567.83,15.91,14.64,2.41,0.5,1.95,39.31,,1.94%,35.50%,4.78,24.80%,0.19%,1.00%,6.60%,-1.00%,130.80%,34.50%,564.0,556.34,0.50%,-16.76%,82.00%,1.10%,0.99%,1.99,4.50%,11.00%,3.60%,1.6,1.0,0.37,0.41,7.00%,2.30%,2.70%,0.18%,7.36%,15.46%,21.44%,35.81%,12.62%,0.8,1.64,1.95%,2.40%,3.39%,9.95%,18.17%,-2.45%,23.05%,-2.45%,39.16%,65.36,-0.38%,-0.08%,1.9,2750.1,0.96,76.12,-0.46%,2636228,1/25/2022 8:30:00 AM,73.23,12/24/1924,75.52,-0.79%,72.0,89,1.21,76.12,73.85,69.5,64.48,54.94,78.03,23.0,-3.8,61.333333333333336,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,50172.77,9.26,11.1,0.3,1.05,0.78,18.59,16.51,2.17%,19.90%,6.37,-286.60%,12.44%,-43.90%,30.69%,-5.80%,507.80%,25.60%,852.76,829.46,0.10%,-0.82%,92.90%,-0.75%,0.98%,1.62,0.90%,8.60%,-4.20%,,,0.49,0.49,,16.50%,11.70%,-4.53%,-4.65%,1.34%,8.02%,39.95%,3.75%,1.33,1.94,3.12%,3.56%,-1.02%,2.05%,8.74%,-7.16%,13.77%,-7.16%,43.28%,47.54,-2.87%,-0.02%,2.2,5035.7,1.45,58.99,-2.88%,7294359,2/16/2022 4:30:00 PM,64.85,4/3/1972,58.99,0.00%,63.0,91,1.25,58.99,59.45,57.91,54.3,41.17,63.54,15.0,9.93,56.333333333333336,True
688,AXP,American Express Company,Financial,Credit Services,USA,151860.33,19.25,16.94,0.56,3.54,6.19,5.56,18.17,0.89%,20.00%,9.99,-52.90%,17.14%,-5.70%,34.57%,2.20%,73.70%,23.30%,786.0,766.95,0.10%,-38.09%,86.70%,-0.48%,1.31%,2.36,3.70%,28.40%,2.10%,,,1.41,4.96,68.60%,21.40%,16.20%,2.38%,11.00%,5.75%,16.05%,47.19%,17.57%,1.14,5.15,2.61%,3.20%,8.22%,12.72%,14.37%,-3.21%,27.00%,-3.21%,52.57%,67.83,0.05%,0.23%,2.4,4266.51,0.89,192.35,0.28%,3807337,1/25/2022 8:30:00 AM,195.52,4/4/1972,192.38,0.01%,56.0,94,1.32,192.35,178.94,171.36,168.37,126.08,198.72,11.0,1.65,53.666666666666664,True
715,BAC,Bank of America Corporation,Financial,Banks - Diversified,USA,397240.64,13.32,12.51,0.56,8.33,1.61,0.45,,1.77%,23.90%,3.56,-32.00%,16.25%,7.40%,23.89%,0.80%,69.00%,7.40%,8430.7,8103.31,0.10%,-1.54%,72.80%,0.04%,0.74%,1.16,0.90%,10.50%,7.30%,,,1.11,2.03,,89.10%,54.90%,-2.25%,-2.75%,1.09%,14.85%,38.37%,6.59%,1.41,1.34,2.65%,3.01%,1.18%,2.99%,9.54%,-5.37%,11.35%,-5.37%,44.09%,51.69,-1.21%,0.17%,2.4,51639.08,0.87,47.42,-1.04%,44746916,1/19/2022 8:30:00 AM,51.73,6/5/1979,47.38,-0.08%,56.0,90,1.24,47.42,46.84,46.09,43.32,33.7,50.11,16.0,9.09,54.0,True
919,BK,The Bank of New York Mellon Corporation,Financial,Asset Management,USA,51691.97,15.54,10.65,1.23,17.12,1.33,0.26,,2.21%,31.20%,3.96,-15.10%,21.21%,7.20%,12.65%,4.30%,-2.80%,-15.50%,844.09,823.92,0.10%,0.00%,85.50%,-0.82%,1.11%,2.07,0.70%,8.50%,2.80%,,,0.66,0.66,,93.70%,,-1.25%,-3.42%,2.31%,13.27%,43.79%,5.84%,1.09,1.8,2.59%,3.42%,1.15%,3.43%,12.05%,-4.89%,13.02%,-4.89%,47.84%,52.7,-1.41%,0.03%,2.1,4405.25,1.21,61.47,-1.38%,5335431,1/18/2022 8:30:00 AM,68.75,12/4/1969,61.47,0.00%,66.0,92,1.28,61.47,60.67,59.54,54.92,41.9,64.63,29.0,11.84,62.333333333333336,True
933,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,27859.04,,16.64,,1.36,1.44,6.44,57.56,2.52%,,-0.36,2200.00%,35.36%,-27.10%,50.90%,5.60%,103.70%,0.90%,851.0,829.21,0.10%,-99.01%,93.60%,1.00%,8.10%,7.73,-0.10%,-0.20%,-70.90%,1.6,1.2,0.4,0.4,19.70%,3.00%,-0.20%,3.67%,8.64%,17.16%,34.12%,22.86%,18.62%,1.52,1.13,4.05%,4.65%,4.66%,10.67%,18.11%,-2.53%,25.37%,-2.53%,52.21%,61.87,-1.42%,-0.65%,2.0,8693.48,0.84,28.54,-2.06%,7327334,1/20/2022 8:30:00 AM,32.41,10/3/1961,28.59,0.18%,69.0,82,1.1,28.54,27.32,25.87,24.2,18.75,29.28,2.0,13.56,51.0,True
1370,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,USA,14731.48,51.82,6.44,0.83,2.89,5.23,19.46,15.71,1.68%,86.40%,1.38,-33.80%,142.93%,-13.10%,62.70%,-0.90%,-557.70%,60.80%,214.9,213.64,0.40%,-37.92%,94.90%,0.55%,2.07%,1.4,2.50%,9.90%,8.60%,1.8,1.4,1.18,1.18,27.70%,14.50%,5.90%,-1.38%,8.97%,10.67%,54.04%,57.96%,0.96%,1.06,3.81,5.85%,5.55%,1.02%,4.82%,25.64%,-7.48%,23.85%,-7.48%,68.10%,50.93,-5.34%,-1.63%,2.1,3157.5,1.88,71.46,-6.88%,5941302,2/15/2022 4:30:00 PM,73.74,8/11/2005,71.6,0.20%,66.0,95,1.41,71.46,70.99,68.42,56.99,42.85,77.24,14.0,3.19,58.333333333333336,True
1377,CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional,USA,23092.58,10.4,10.57,,4.76,1.07,1.46,,2.91%,34.70%,5.16,-41.70%,19.55%,7.50%,-2.76%,6.80%,74.50%,-4.50%,426.09,424.13,0.10%,0.00%,97.10%,-0.58%,3.08%,2.7,1.00%,9.10%,12.90%,,,0.32,0.32,,91.80%,39.50%,-1.05%,-3.66%,8.71%,21.21%,27.67%,13.57%,1.47,1.58,2.43%,3.16%,0.63%,6.03%,12.83%,-5.86%,23.19%,-5.86%,35.66%,54.51,-1.79%,0.31%,2.0,4837.44,0.88,53.66,-1.49%,4276414,1/19/2022 8:30:00 AM,60.53,9/24/2014,53.66,0.00%,69.0,85,1.14,53.66,53.19,50.72,47.59,39.56,57.0,14.0,12.8,56.0,True
