no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,248794.37,33.48,11.61,8.22,4.51,18.36,20.31,23.17,4.01%,133.00%,4.2,-48.50%,-13.93%,-2.80%,4.08%,14.90%,37.60%,11.20%,1770.0,1765.83,0.10%,-22.60%,68.20%,-0.14%,0.81%,2.07,4.40%,49.90%,12.70%,1.0,0.9,5.46,5.96,67.90%,28.20%,12.00%,1.98%,3.52%,20.15%,22.89%,29.36%,3.88%,0.8,2.95,2.35%,2.09%,4.83%,8.95%,20.71%,-0.19%,23.83%,-0.19%,39.67%,72.28,0.96%,0.37%,2.0,6936.15,1.38,142.53,1.34%,9595789,2/2/2022 8:30:00 AM,146.71,12/10/2012,142.97,0.31%,69.0,87,1.16,142.53,136.34,131.3,118.23,102.05,143.01,13.0,2.93,56.333333333333336,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,28835.64,17.74,11.83,1.72,0.13,117.77,8.14,16.04,1.35%,22.80%,7.7,144.40%,7.22%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.71,0.20%,-45.81%,65.00%,0.03%,1.25%,1.88,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,-0.14%,3.10%,7.75%,13.24%,24.54%,2.80%,0.47,3.27,2.64%,2.53%,3.62%,8.20%,14.04%,0.07%,22.63%,0.07%,38.43%,64.91,1.74%,0.30%,2.2,995.13,1.75,139.41,2.05%,1737637,2/2/2022 8:30:00 AM,153.5,4/4/1995,139.41,0.00%,63.0,84,1.12,139.41,134.85,129.16,122.33,100.71,140.24,10.0,10.11,52.333333333333336,True
119,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,42333.25,15.83,14.56,2.4,0.5,1.94,39.09,,1.95%,35.50%,4.78,24.80%,0.19%,1.00%,6.60%,-1.00%,130.80%,34.50%,564.0,556.9,0.20%,-24.75%,81.00%,-0.11%,0.84%,1.72,4.50%,11.00%,3.60%,1.6,1.0,0.37,0.41,7.00%,2.30%,2.70%,-0.28%,10.35%,17.87%,25.58%,42.05%,12.01%,0.8,1.68,2.04%,2.27%,5.44%,11.79%,18.64%,-1.12%,22.94%,-1.12%,44.23%,69.71,0.09%,0.26%,1.9,2718.7,0.78,75.98,0.36%,2111458,1/25/2022 8:30:00 AM,73.23,12/24/1924,76.2,0.29%,72.0,91,1.24,75.98,72.37,68.16,64.12,53.14,76.84,23.0,-3.62,62.0,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,49394.58,9.57,11.37,0.31,1.04,0.81,18.3,16.25,2.10%,19.90%,6.37,-286.60%,13.25%,-43.90%,30.69%,-5.80%,507.80%,25.60%,852.76,829.46,0.10%,-5.64%,93.30%,-0.34%,0.97%,1.63,0.90%,8.60%,-4.20%,,,0.49,0.49,,16.50%,11.70%,7.08%,4.81%,0.99%,19.71%,46.33%,7.26%,1.33,1.84,3.10%,3.38%,3.92%,8.26%,14.63%,-0.74%,19.54%,-1.20%,50.09%,63.27,1.10%,0.21%,2.2,4971.01,0.8,61.79,1.31%,3968105,2/16/2022 4:30:00 PM,65.0,4/3/1972,61.79,0.00%,63.0,93,1.28,61.79,59.51,57.15,53.97,41.17,62.54,14.0,5.2,56.666666666666664,True
360,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,USA,34041.97,13.36,10.4,0.51,2.53,6.28,4.36,162.88,1.47%,47.40%,23.06,-12.30%,15.31%,7.60%,26.39%,-0.40%,859.90%,-3.60%,116.4,111.62,0.30%,-23.80%,85.00%,-0.11%,0.82%,1.47,0.60%,18.70%,5.50%,,,0.88,4.19,47.50%,10.30%,7.90%,3.36%,-2.17%,0.46%,16.01%,45.98%,2.13%,1.53,9.73,2.68%,3.22%,0.20%,2.59%,12.61%,-6.16%,11.92%,-6.16%,48.61%,53.63,1.29%,-0.05%,1.8,626.34,1.31,311.91,1.24%,821066,1/26/2022 4:30:00 PM,359.0,9/15/2005,311.91,0.00%,75.0,93,1.28,311.91,310.93,304.22,277.3,210.94,332.37,22.0,15.1,63.333333333333336,True
407,ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,USA,109655.01,18.05,13.83,1.4,0.79,3.04,19.97,23.08,1.01%,24.10%,24.72,-2.60%,13.23%,13.90%,12.86%,9.00%,602.40%,14.90%,243.4,241.16,0.20%,-0.23%,92.80%,0.29%,0.77%,1.67,4.50%,12.30%,9.10%,,,0.61,0.64,,4.60%,3.10%,0.94%,-2.61%,5.60%,17.61%,53.43%,-3.73%,1.06,11.72,2.41%,2.82%,1.16%,2.29%,11.59%,-4.38%,14.53%,-4.38%,57.12%,53.49,-0.13%,0.84%,1.9,1121.02,0.96,449.43,0.71%,1077382,1/26/2022 8:30:00 AM,491.32,10/30/2001,449.43,0.00%,72.0,95,1.36,449.43,444.98,439.85,403.07,286.04,470.02,18.0,9.32,61.666666666666664,True
686,AXP,American Express Company,Financial,Credit Services,USA,142548.81,18.6,16.37,0.54,3.33,5.98,5.22,17.06,0.93%,20.00%,9.99,-52.90%,17.14%,-5.70%,34.57%,2.20%,73.70%,23.30%,786.0,766.95,0.10%,-30.59%,87.10%,0.05%,1.21%,2.24,3.70%,28.40%,2.10%,,,1.41,4.96,68.60%,21.40%,16.20%,4.96%,8.20%,7.72%,8.46%,47.17%,13.60%,1.15,5.09,2.32%,3.09%,8.58%,12.43%,12.42%,-0.43%,25.34%,-0.61%,49.54%,70.19,1.31%,-0.22%,2.4,4164.82,0.78,187.87,1.09%,3259818,1/25/2022 8:30:00 AM,195.52,4/4/1972,188.05,0.10%,56.0,93,1.28,187.87,173.7,167.43,167.33,126.08,189.03,12.0,4.07,53.666666666666664,True
713,BAC,Bank of America Corporation,Financial,Banks - Diversified,USA,379986.76,13.56,12.76,0.57,7.97,1.63,0.43,,1.74%,23.90%,3.56,-32.00%,16.11%,7.40%,23.89%,0.80%,69.00%,7.40%,8430.7,8103.31,0.10%,-1.64%,72.90%,0.26%,0.93%,1.49,0.90%,10.50%,7.30%,,,1.11,2.03,,89.10%,54.90%,5.25%,2.33%,2.01%,20.25%,49.15%,8.52%,1.41,1.34,2.54%,2.91%,3.42%,6.14%,12.64%,-3.13%,13.91%,-3.13%,50.09%,62.36,0.02%,0.46%,2.4,50737.21,0.88,48.51,0.48%,44805456,1/19/2022 8:30:00 AM,51.61,6/5/1979,48.51,0.00%,56.0,93,1.28,48.51,46.87,45.72,43.11,32.4,50.08,20.0,6.39,56.333333333333336,True
916,BK,The Bank of New York Mellon Corporation,Financial,Asset Management,USA,50185.39,15.62,10.73,1.24,16.62,1.34,0.25,,2.20%,31.20%,3.96,-15.10%,20.99%,7.20%,12.65%,4.30%,-2.80%,-15.50%,844.09,823.94,0.10%,0.00%,85.80%,-0.45%,0.86%,1.63,0.70%,8.50%,2.80%,,,0.66,0.66,,93.70%,,5.69%,2.71%,4.66%,16.27%,47.06%,6.42%,1.1,1.8,2.58%,3.31%,2.42%,5.94%,14.22%,-3.53%,15.08%,-3.53%,50.36%,60.88,0.47%,0.24%,2.1,4331.51,0.67,62.25,0.71%,2890601,1/18/2022 8:30:00 AM,68.62,12/4/1969,62.25,0.00%,66.0,93,1.3,62.25,60.77,58.83,54.57,41.4,64.53,28.0,10.23,62.333333333333336,True
930,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,27325.21,,15.5,,1.33,1.34,6.31,56.46,2.71%,,-0.36,2200.00%,35.22%,-27.10%,50.90%,5.60%,103.70%,0.90%,851.0,829.2,0.10%,-97.89%,93.30%,0.73%,6.43%,6.2,-0.10%,-0.20%,-70.90%,1.6,1.2,0.4,0.4,19.70%,3.00%,-0.20%,-2.10%,3.54%,6.62%,25.48%,20.43%,10.52%,1.52,1.05,3.51%,4.27%,2.27%,8.58%,14.84%,-3.06%,22.41%,-3.06%,46.83%,58.87,3.61%,-0.08%,2.0,8601.89,1.11,27.53,3.54%,9541234,1/20/2022 8:30:00 AM,32.14,10/3/1961,27.53,0.00%,69.0,80,1.07,27.53,26.99,25.42,24.01,18.75,28.4,4.0,16.75,51.0,True
