Company,Recommendations
EBR,1.0
ROG,1.4
SID,1.5
TREE,1.6
IGMS,1.6
RCKT,1.6
AMZN,1.7
ARVN,1.7
RCUS,1.7
ZEN,1.7
OPK,1.7
BNR,1.7
UPWK,1.7
TWLO,1.7
ETSY,1.8
TDUP,1.9
TWOU,1.9
EIX,1.9
MELI,2.0
VALE,2.0
BAK,2.0
MOG-A,2.0
SUZ,2.0
TBIO,2.0
TBLA,2.0
UGP,2.0
ROKU,2.0
BEKE,2.0
SAVA,2.0
TCOM,2.1
CX,2.1
VFC,2.1
TDOC,2.2
PINS,2.2
ANGI,2.2
SANA,2.2
EAT,2.2
MMYT,2.3
W,2.3
PBR-A,2.3
SWKS,2.3
ATR,2.3
PBR,2.4
AFRM,2.4
NCLH,2.4
EBAY,2.4
IFS,2.4
SAVE,2.4
NTCO,2.5
CCL,2.5
HSKA,2.5
KOD,2.5
CAKE,2.6
TXRH,2.6
ERJ,2.6
BIGC,2.6
BVN,2.7
NWL,2.7
TLRY,2.7
CVAC,2.7
RLGY,2.7
SBH,2.7
AZUL,2.8
CL,2.8
NVCR,3.0
ABEV,3.1
BAP,3.1
FMS,3.4
CHUC,6.0
CAIXY,6.0
TSP,6.0
BHG,6.0
BDORY,6.0
THKLY,6.0
RERE,6.0
AMEH,6.0
ALPMY,6.0
ALBHF,6.0
ACOPF,6.0
WDH,6.0
YMM,6.0
APP,6.0
CSAN,6.0
DUFRY,6.0
EGRNF,6.0
EVCM,6.0
FANUY,6.0
SWIM,6.0
FSUGY,6.0
GMBXF,6.0
HTHIY,6.0
ICAGY,6.0
KMTUY,6.0
MRAAY,6.0
RXRX,6.0
NAPA,6.0
NEGG,6.0
PCRFY,6.0
PHJMF,6.0
ZH,6.0
