no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,30423.34,19.13,12.73,1.85,0.14,126.98,8.59,16.92,1.25%,22.80%,7.7,144.40%,7.22%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-43.57%,65.90%,1.40%,1.30%,1.82,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,3.79%,8.25%,27.20%,17.86%,40.51%,10.84%,0.45,3.4,2.25%,2.22%,4.41%,8.09%,18.63%,1.08%,16.34%,1.08%,44.64%,69.49,2.65%,-1.35%,1064.59,1.0,147.3,1.26%,1059441.0,2/2/2022 8:30:00 AM,153.92,4/4/1995,147.53,0.16%,63.0,91,1.22,147.3,141.55,136.67,124.31,105.57,147.5,12.0,4.49,55.333333333333336,True
407,ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,USA,113177.97,19.29,14.79,1.5,0.82,3.2,23.19,18.33,0.95%,18.10%,24.72,37.60%,13.23%,21.80%,12.86%,10.30%,111.10%,15.20%,242.3,239.89,0.20%,-1.30%,92.30%,-0.99%,0.92%,2.01,6.30%,17.40%,11.70%,,,0.59,0.64,,6.30%,4.40%,5.10%,7.36%,19.29%,24.52%,42.94%,2.87%,1.04,12.54,2.96%,2.63%,5.32%,5.77%,16.71%,1.02%,13.34%,1.02%,51.32%,65.71,3.45%,-1.72%,1092.8,1.13,476.84,1.67%,1234598.0,1/26/2022 8:30:00 AM,490.38,10/30/2001,477.29,0.09%,72.0,92,1.25,476.84,453.99,451.42,408.98,329.75,477.47,20.0,2.84,61.333333333333336,True
1073,BRO,"Brown & Brown, Inc.",Financial,Insurance Brokers,USA,19221.84,33.06,26.8,2.5,6.3,4.51,21.36,24.32,0.60%,18.30%,2.07,22.70%,9.10%,17.90%,13.22%,11.60%,4.90%,15.00%,276.58,233.61,2.20%,0.06%,75.70%,2.30%,2.38%,3.35,6.10%,14.30%,10.30%,1.2,1.2,0.47,0.48,,26.80%,18.80%,1.21%,0.48%,3.86%,16.48%,48.59%,-2.66%,0.74,1.9,2.21%,2.56%,2.05%,2.01%,13.35%,-3.31%,11.60%,-3.31%,53.59%,56.71,1.21%,-0.76%,1659.43,0.65,68.41,0.44%,1074840.0,1/24/2022 4:30:00 PM,71.12,11/1/1982,68.15,-0.38%,53.0,93,1.31,68.41,67.12,67.1,60.43,44.54,70.75,16.0,3.96,54.0,True
1571,CNC,Centene Corporation,Healthcare,Healthcare Plans,USA,49415.07,37.92,13.64,3.55,0.39,1.9,3.68,17.26,,0.00%,2.27,-0.60%,16.53%,16.60%,10.69%,37.30%,2.30%,11.40%,583.24,576.13,1.90%,-1.39%,95.50%,0.89%,1.24%,2.02,1.00%,2.80%,4.70%,,,0.7,0.71,,1.20%,0.60%,3.03%,9.17%,20.48%,33.18%,42.18%,4.43%,0.51,2.33,2.70%,2.76%,3.71%,6.12%,18.51%,-0.88%,15.56%,-0.88%,46.79%,63.32,3.67%,-2.10%,3539.33,0.68,86.05,1.50%,2403015.0,2/8/2022 8:30:00 AM,95.33,12/13/2001,86.05,0.00%,69.0,91,1.24,86.05,83.2,81.15,72.69,59.33,86.81,19.0,10.78,59.666666666666664,True
1644,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,126586.86,16.52,12.9,4.25,2.76,2.9,23.13,13.59,1.42%,32.50%,6.07,342.80%,-12.73%,32.60%,3.89%,13.70%,376.60%,175.40%,1315.13,1298.37,0.10%,-24.48%,80.10%,-1.93%,1.13%,1.74,9.30%,18.30%,10.80%,1.3,1.2,0.41,0.44,48.20%,25.10%,17.60%,9.86%,8.74%,41.10%,77.65%,72.35%,38.92%,1.42,3.44,3.64%,3.56%,8.99%,17.37%,45.43%,0.30%,45.09%,0.30%,110.13%,71.59,2.73%,0.21%,8439.85,1.3,100.27,2.94%,10976972.0,2/3/2022 8:30:00 AM,104.6,1/13/1978,100.18,-0.09%,75.0,96,1.51,100.27,92.47,86.05,69.31,47.85,100.34,-3.0,4.32,56.0,True
1787,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,20759.02,15.31,10.92,0.21,6.02,1.81,20.04,129.74,1.72%,36.40%,1.71,358.90%,-13.19%,35.20%,74.49%,24.40%,251.80%,386.90%,813.62,800.39,1.10%,-5.23%,94.50%,73.63%,4.17%,3.87,13.70%,24.80%,8.20%,1.8,1.7,0.27,0.27,76.20%,45.30%,33.60%,16.85%,15.78%,31.17%,57.92%,44.44%,39.67%,-0.22,1.07,4.57%,4.27%,13.94%,22.04%,39.48%,2.30%,44.30%,2.30%,91.88%,72.29,4.19%,-0.16%,8628.29,1.35,26.11,4.02%,11657713.0,2/23/2022 4:30:00 PM,27.32,2/8/1990,26.33,0.84%,59.0,91,1.22,26.11,23.45,21.87,19.37,14.28,26.32,30.0,4.63,60.0,True
1793,CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,USA,46122.5,21.97,17.51,1.91,2.49,3.91,16.96,27.02,1.22%,23.70%,4.05,57.30%,11.44%,9.70%,11.49%,6.50%,84.70%,14.20%,527.0,523.9,0.10%,-4.26%,94.60%,1.09%,1.17%,2.04,12.50%,18.70%,16.80%,2.1,2.1,0.05,0.06,37.30%,15.30%,11.50%,0.95%,0.73%,11.90%,14.97%,20.58%,0.18%,1.1,2.61,2.81%,2.86%,1.68%,2.14%,13.69%,-3.85%,9.77%,-3.85%,34.28%,55.59,1.90%,-0.81%,3003.24,1.02,88.88,1.08%,3072322.0,2/2/2022 4:30:00 PM,94.78,6/19/1998,88.88,0.00%,56.0,84,1.09,88.88,87.55,87.09,78.27,66.19,92.44,24.0,6.64,54.666666666666664,True
2063,DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,USA,32952.19,24.74,16.15,1.38,1.25,4.45,46.98,49.52,,0.00%,5.8,62.90%,13.48%,34.90%,17.87%,10.50%,-30.50%,3.90%,224.9,221.94,1.34%,-0.64%,97.00%,9.89%,2.09%,1.79,7.10%,20.60%,13.40%,1.3,0.2,0.45,0.45,29.40%,7.90%,5.70%,1.98%,7.28%,6.41%,54.95%,37.85%,2.10%,0.73,5.12,5.12%,3.50%,3.65%,5.18%,26.47%,-3.57%,16.06%,-3.95%,70.27%,58.1,-1.25%,-0.81%,2586.87,0.93,143.47,-2.05%,2418060.0,3/2/2022 8:30:00 AM,158.17,3/7/1995,143.47,0.00%,53.0,91,1.22,143.47,139.0,136.55,113.61,84.26,149.37,4.0,10.25,49.333333333333336,True
2434,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,68078.19,14.87,10.9,0.2,3.66,3.13,13.07,11.55,2.53%,24.80%,7.99,864.80%,-5.71%,43.20%,73.84%,20.10%,483.80%,104.40%,584.0,583.22,0.30%,1.45%,87.90%,-0.53%,1.19%,1.57,12.60%,21.80%,17.70%,2.1,2.0,0.23,0.23,63.80%,32.80%,25.00%,10.69%,5.16%,40.38%,77.75%,65.00%,33.68%,1.79,4.54,3.70%,3.77%,5.26%,13.33%,38.53%,-0.17%,40.83%,-0.17%,93.46%,65.65,1.77%,0.34%,4442.84,1.1,118.75,2.12%,4901804.0,2/25/2022 8:30:00 AM,120.66,10/4/1989,118.99,0.20%,69.0,95,1.41,118.75,113.16,105.43,87.45,62.81,120.53,19.0,1.61,61.0,True
2623,EXC,Exelon Corporation,Utilities,Utilities - Diversified,USA,42273.23,25.46,18.5,1.59,1.16,1.26,35.76,,3.05%,87.90%,1.74,-13.40%,6.73%,7.60%,16.00%,3.00%,8.60%,18.70%,982.0,977.41,0.10%,-26.30%,82.40%,0.34%,1.34%,1.2,1.30%,5.20%,3.10%,0.9,0.8,1.04,1.23,55.00%,7.50%,4.70%,3.94%,3.31%,17.34%,23.95%,56.65%,7.51%,0.46,1.02,2.31%,2.36%,4.53%,7.75%,21.22%,0.59%,16.42%,0.59%,58.70%,69.22,3.26%,-0.58%,10966.98,0.82,44.28,2.67%,9041510.0,,48.35,7/6/1943,43.8,-1.08%,66.0,94,1.35,44.28,42.39,41.22,36.6,28.14,44.28,21.0,9.19,60.333333333333336,True
