"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",40463.13,33.54,24.97,2.40,6.40,7.38,25.69,38.14,0.64%,19.10%,3.94,71.00%,10.16%,22.90%,14.00%,8.50%,102.30%,11.90%,302.00,301.14,0.20%,-19.47%,90.70%,0.21%,1.42%,2.50,11.70%,24.30%,14.70%,2.20,1.70,0.51,0.51,53.90%,21.30%,19.10%,-5.30%,-17.02%,-14.92%,-13.48%,8.66%,-17.26%,1.04,4.18,3.72%,2.82%,-9.74%,-12.91%,-12.86%,-20.27%,0.62%,-26.44%,17.44%,23.82,-2.36%,1.33%,,1709.59,0.97,132.09,-1.06%,1651836,11/22/2021 4:30:00 PM,175.32,11/18/1999,133.26,0.89%
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",11831.16,26.32,8.16,,0.97,2.80,8.15,,0.69%,0.00%,2.21,85.00%,-1.80%,28.00%,,-3.70%,769.80%,31.50%,187.00,185.26,0.10%,-51.12%,77.80%,0.50%,7.96%,1.79,3.00%,12.10%,5.00%,1.50,0.90,0.44,0.44,24.70%,8.10%,3.50%,-5.26%,-1.96%,26.45%,47.40%,213.68%,-2.60%,2.34,3.45,7.74%,5.42%,-3.31%,7.08%,29.38%,-9.85%,34.14%,-9.85%,235.43%,49.49,-4.87%,0.41%,1.90,8232.54,0.76,58.03,-4.48%,6275142,1/19/2022 4:30:00 PM,65.30,10/18/2016,58.21,0.31%
3,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.41%,-0.56%,-0.25%,-1.92%,-2.67%,-1.87%,,0.16,0.90%,0.73%,-1.35%,-0.71%,-0.58%,-3.93%,2.23%,-6.11%,6.89%,43.30,-0.28%,-1.05%,,427.87,3.29,17.84,-1.33%,1406633,,,8/15/2018,,
4,"AAC","Ares Acquisition Corporation","Financial","Shell Companies","USA",1214.38,43.37,,,,1.30,1349.31,,,,0.22,,,,,,,,125.00,100.00,,,67.70%,0.07%,0.08%,0.29,,,,1.70,1.70,0.00,0.00,,,,-0.26%,-0.26%,-1.17%,-0.36%,,-0.26%,,0.03,0.27%,0.27%,-0.34%,-0.60%,-0.61%,-1.37%,0.15%,-2.85%,2.26%,38.29,-0.05%,0.10%,,269.84,9.63,9.72,0.05%,2597988,,,3/25/2021,9.72,0.05%
5,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",50.51,,,,1.68,1.60,4.24,,,,-0.41,40.00%,-14.10%,-36.60%,25.00%,-17.20%,-61.50%,31.00%,31.19,29.64,18.70%,0.00%,17.50%,,0.01%,0.01,-17.50%,-49.20%,-48.20%,0.30,0.30,0.00,0.00,46.60%,-53.20%,-50.50%,-15.85%,31.62%,-32.46%,-51.27%,21.26%,43.86%,1.20,0.26,8.70%,21.30%,-15.27%,-6.58%,-38.44%,-47.62%,54.00%,-92.20%,54.00%,44.63,-8.88%,0.60%,1.50,650.73,0.08,1.54,-8.33%,49605,11/10/2021 4:30:00 PM,32.50,1/29/2008,,
6,"AACI","Armada Acquisition Corp. I","Financial","Shell Companies","USA",214.72,,,,,222.73,306.74,,,,-0.02,,,,,,,,21.91,17.41,25.41%,0.00%,42.00%,239.29%,0.02%,0.04,,,,4.40,4.40,0.00,0.00,,,,-0.51%,-0.31%,,,,0.10%,,0.03,0.24%,0.30%,-0.35%,0.07%,0.07%,-1.11%,4.93%,-1.11%,4.93%,47.01,0.00%,0.00%,,73.85,0.01,9.80,0.00%,445,,,11/10/2021,,
7,"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,226.14,,,,,-0.09,,,,,,,,,,,,87.84%,,,0.01,,,,,,,,,,,-1.11%,-0.36%,0.30%,,,-0.80%,,0.14,0.40%,0.62%,-1.04%,-0.41%,-0.01%,-5.51%,1.53%,-5.51%,1.95%,46.09,0.00%,0.00%,,60.06,0.00,9.95,0.00%,0,,,8/13/2021,,
8,"AACIW","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,56.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41.67%,-42.53%,,,,-49.96%,,0.05,11.54%,6.31%,-42.86%,-43.96%,-43.96%,-58.19%,-6.67%,-58.19%,-6.67%,28.97,-11.14%,-7.45%,,52.99,3.08,0.28,-17.76%,163470,,,11/11/2021,,
9,"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology","USA",402.01,,,,4020.10,1.17,2.49,,,,-11.63,82.30%,52.60%,30.90%,,,-705.00%,,20.89,12.38,0.10%,0.00%,53.00%,-2.50%,5.11%,3.03,-134.90%,-147.00%,-14.70%,14.00,14.00,0.04,0.04,,,,-5.79%,-22.96%,-31.34%,-41.64%,-1.01%,-23.15%,1.52,1.63,9.31%,7.45%,-16.45%,-19.22%,-28.77%,-42.89%,8.22%,-62.73%,29.69%,34.86,-3.58%,2.07%,1.60,208.60,0.71,18.56,-1.59%,148607,,48.75,8/8/2017,18.60,0.22%
10,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,0.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.05%,-5.50%,-8.42%,-5.44%,-4.67%,-5.93%,,1.05,2.73%,1.22%,-4.30%,-4.17%,-7.14%,-7.77%,4.64%,-12.86%,4.64%,34.45,-0.26%,0.46%,,3.13,8.47,60.44,0.20%,26527,,,7/21/2010,60.67,0.38%
11,"AAIC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage","USA",106.28,,12.49,,5.26,0.56,5.01,21.69,,,-0.15,-743.40%,19.91%,7.90%,-9.37%,,-126.40%,-46.80%,31.93,30.42,3.40%,4.30%,34.80%,-0.21%,0.77%,1.64,-0.50%,-2.40%,,,,0.49,3.43,53.10%,,-23.80%,-4.89%,-6.23%,-15.13%,-16.83%,-10.30%,-5.43%,1.67,0.09,3.78%,2.30%,-5.87%,-7.65%,-13.54%,-14.03%,1.85%,-25.11%,1.85%,31.97,-2.65%,0.29%,2.70,142.75,0.79,3.31,-2.36%,112655,11/9/2021 4:30:00 PM,4.62,12/23/1997,3.31,0.00%
12,"AAL","American Airlines Group Inc.","Industrials","Airlines","USA",10506.17,,6.48,,0.35,,0.72,,,,-3.12,-583.80%,763.20%,-29.60%,16.09%,-15.80%,105.40%,182.70%,648.56,640.96,0.50%,0.00%,56.40%,0.03%,14.67%,2.50,-8.60%,77.70%,-25.60%,1.00,0.90,,,57.10%,-20.90%,-19.40%,-5.85%,-14.89%,-17.08%,-25.46%,-12.82%,-12.14%,1.63,0.85,5.65%,4.49%,-12.31%,-12.72%,-22.40%,-23.27%,2.60%,-39.52%,2.60%,32.55,-3.90%,1.11%,3.00,37619.62,1.12,15.78,-2.83%,42203067,1/20/2022 8:30:00 AM,18.89,12/9/2013,15.90,0.76%
