no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,10996.96,13.88,9.14,,0.98,2.88,7.57,244.38,0.67%,0.00%,4.29,85.00%,3.85%,28.00%,,-3.70%,769.80%,31.50%,187.0,184.17,0.10%,-49.91%,77.60%,0.28%,8.01%,1.82,5.60%,23.00%,5.60%,1.5,0.9,0.44,0.44,22.00%,12.60%,7.30%,-4.13%,10.98%,11.08%,60.77%,161.08%,0.08%,2.42,2.9,4.79%,4.54%,0.15%,12.69%,35.49%,-7.36%,37.84%,-7.36%,244.68%,56.54,-2.87%,2.23%,1.8,8087.95,0.95,59.63,-0.70%,7708898,1/19/2022 4:30:00 PM,62.85,10/18/2016,60.64,1.69%,75.0,99,2.22,59.63,59.87,53.15,44.15,17.3,64.37,11.0,5.4,61.666666666666664,True
376,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,USA,1234.01,22.6,16.75,,5.01,1.51,5.77,30.17,0.18%,0.00%,1.47,-103.50%,20.04%,-16.20%,,4.60%,900.60%,-0.80%,37.13,26.15,0.80%,-10.17%,32.00%,0.19%,1.39%,3.4,0.70%,7.00%,21.20%,,,0.15,0.15,,,22.70%,-3.83%,-7.07%,24.24%,50.09%,121.62%,-4.17%,1.41,1.26,2.67%,3.50%,-3.93%,3.14%,31.03%,-9.83%,20.36%,-9.83%,142.93%,46.69,-2.65%,0.95%,1.8,106.96,1.24,33.11,-1.72%,132412,1/20/2022 8:30:00 AM,34.33,8/29/2018,33.11,0.00%,75.0,98,1.88,33.11,34.37,32.18,25.34,13.63,36.72,14.0,3.68,62.333333333333336,True
419,APA,APA Corporation,Energy,Oil & Gas E&P,USA,11338.83,20.42,6.04,,1.64,,30.08,3.95,1.54%,6.30%,1.59,-36.40%,30.13%,14.80%,,-7.40%,,83.80%,379.0,362.15,0.30%,-1.87%,88.90%,0.12%,3.22%,1.23,4.60%,-48.50%,-60.50%,1.2,0.9,,,64.30%,27.50%,8.70%,1.19%,32.81%,20.55%,75.79%,85.35%,20.42%,4.63,1.41,4.76%,4.65%,12.32%,16.37%,43.34%,-5.86%,41.15%,-5.86%,130.79%,65.48,-2.97%,1.21%,2.4,9477.07,0.85,32.38,-1.79%,8080600,11/3/2021 4:30:00 PM,35.95,8/2/1963,32.38,0.00%,56.0,96,1.58,32.38,29.25,27.87,22.66,14.03,34.4,17.0,11.03,56.333333333333336,True
449,APTS,Preferred Apartment Communities,Real Estate,REIT - Residential,USA,901.13,,,,1.93,0.85,16.5,8.27,4.06%,,-3.06,-154.30%,34.00%,-48.80%,7.00%,35.70%,-15.10%,-12.30%,52.45,51.51,0.40%,-0.13%,53.10%,0.30%,1.12%,1.08,-3.80%,-11.90%,-2.10%,,,2.24,2.24,73.50%,22.60%,-33.40%,-0.69%,19.74%,39.85%,67.12%,122.32%,-4.60%,1.23,0.64,3.05%,4.29%,-1.79%,12.27%,42.45%,-10.58%,36.75%,-10.58%,144.74%,54.28,-4.01%,-0.44%,2.3,533.04,1.5,17.23,-4.44%,798128,11/8/2021 4:30:00 PM,14.75,4/1/2011,17.25,0.12%,59.0,98,1.89,17.23,17.58,15.43,12.13,7.04,19.27,17.0,-14.39,58.0,True
462,AR,Antero Resources Corporation,Energy,Oil & Gas E&P,USA,5856.62,,5.91,,1.66,1.21,,4.15,,,-3.24,-319.20%,87.91%,-27.40%,,-2.50%,12.20%,40.30%,313.79,273.36,1.10%,-32.25%,77.90%,0.40%,7.55%,3.31,-7.80%,-18.60%,-11.40%,0.3,0.3,0.48,0.48,64.40%,-34.60%,-28.80%,-3.10%,9.53%,-7.68%,34.72%,177.63%,7.09%,4.29,0.91,4.81%,4.93%,0.89%,2.28%,21.93%,-12.83%,21.85%,-14.78%,197.93%,50.91,-2.40%,-0.10%,2.2,6236.61,0.89,18.74,-2.50%,5565017,10/27/2021 4:30:00 PM,27.44,10/10/2013,18.6,-0.75%,63.0,99,2.36,18.74,18.66,18.28,15.41,6.29,21.99,17.0,46.42,59.666666666666664,True
472,ARCH,"Arch Resources, Inc.",Energy,Thermal Coal,USA,1546.84,98.86,2.65,,0.88,3.71,7.37,,0.99%,0.00%,1.02,-268.30%,96.78%,30.20%,,-10.60%,139.00%,55.50%,15.3,14.99,1.40%,-0.80%,,0.50%,29.24%,8.6,1.80%,10.00%,-41.40%,1.5,1.1,1.01,1.35,18.80%,3.10%,1.80%,2.54%,15.48%,5.09%,70.46%,96.60%,10.21%,0.95,4.49,4.63%,4.54%,8.41%,15.75%,39.55%,-1.42%,36.85%,-4.68%,157.93%,69.75,1.50%,2.00%,2.0,509.58,1.17,100.64,3.53%,595630,10/26/2021 8:30:00 AM,122.0,10/5/2016,100.64,0.00%,69.0,97,1.67,100.64,93.53,87.14,72.4,39.02,105.58,7.0,21.22,57.666666666666664,True
1037,BPOP,"Popular, Inc.",Financial,Banks - Regional,USA,7257.09,8.56,10.75,1.71,3.45,1.26,0.4,10.76,1.92%,15.50%,10.96,-14.70%,-21.42%,-7.40%,5.00%,5.50%,54.00%,3.30%,80.13,78.57,1.20%,-10.14%,87.70%,0.84%,1.37%,2.28,1.30%,15.30%,23.20%,,,0.12,0.13,,98.30%,43.00%,1.40%,21.44%,17.04%,29.12%,55.62%,14.42%,1.09,2.61,3.26%,2.77%,8.62%,12.64%,20.04%,-5.64%,25.97%,-5.64%,73.80%,66.38,-2.86%,0.00%,1.8,472.23,1.23,93.87,-2.86%,579991,1/27/2022 8:30:00 AM,104.33,11/4/1982,93.87,0.00%,75.0,92,1.32,93.87,87.32,83.56,78.31,54.01,99.49,50.0,11.14,72.33333333333333,True
1185,BY,"Byline Bancorp, Inc.",Financial,Banks - Regional,USA,1048.7,12.41,16.23,1.24,4.29,1.28,6.2,7.47,1.28%,10.40%,2.26,-35.30%,-29.07%,30.70%,10.00%,23.50%,96.20%,7.90%,37.2,22.59,0.70%,-7.17%,44.20%,0.35%,1.42%,2.92,1.30%,10.90%,19.90%,,,0.14,0.14,,94.60%,35.70%,-1.61%,6.12%,15.42%,21.36%,70.22%,2.63%,1.33,0.73,2.06%,2.39%,0.87%,2.41%,14.64%,-3.70%,11.57%,-3.70%,92.39%,52.43,-2.53%,0.21%,2.4,110.11,0.64,28.07,-2.33%,70899,10/28/2021 4:30:00 PM,30.2,6/30/2017,28.07,0.00%,56.0,95,1.45,28.07,27.94,27.42,24.52,14.59,29.15,17.0,7.59,56.0,True
1278,CCB,Coastal Financial Corporation,Financial,Banks - Regional,USA,595.61,25.36,26.14,,7.88,3.71,0.88,26.24,,0.00%,1.96,14.60%,-9.16%,36.30%,,20.50%,59.80%,19.50%,12.0,9.61,2.60%,0.00%,55.70%,0.47%,1.95%,3.98,1.20%,16.20%,17.40%,,,0.17,0.0,,93.60%,32.20%,-5.82%,3.79%,48.52%,69.33%,136.58%,-1.62%,1.25,2.04,2.97%,3.96%,-2.99%,5.77%,43.94%,-8.47%,28.57%,-8.47%,153.95%,50.52,-2.37%,0.00%,1.7,47.1,1.13,49.8,-2.37%,53155,,63.38,7/18/2018,49.8,0.00%,78.0,99,2.01,49.8,51.43,47.28,34.72,19.61,54.41,3.0,27.27,60.0,True
1335,CEIX,CONSOL Energy Inc.,Energy,Thermal Coal,USA,818.4,,4.83,,0.66,1.77,5.05,4.16,,,-1.93,-113.30%,1153.66%,-15.30%,,-6.50%,,25.70%,34.48,33.81,1.96%,0.00%,79.90%,-2.65%,4.71%,3.13,-2.80%,-12.70%,2.50%,0.7,0.6,1.34,1.46,92.50%,7.10%,-5.70%,0.81%,11.55%,-20.42%,28.19%,160.55%,9.34%,2.54,1.35,6.29%,5.40%,3.02%,6.27%,19.27%,-8.00%,24.52%,-31.47%,210.76%,54.73,-3.98%,0.35%,2.0,508.14,0.66,24.83,-3.65%,337736,2/8/2022 8:30:00 AM,29.33,11/14/2017,24.83,0.00%,69.0,99,2.21,24.83,24.22,23.38,20.9,7.99,36.23,32.0,18.12,66.66666666666667,True
1580,CNOB,"ConnectOne Bancorp, Inc.",Financial,Banks - Regional,USA,1395.34,11.59,11.7,1.16,4.68,1.43,3.24,12.0,1.46%,12.90%,3.08,-13.80%,-4.69%,5.60%,10.00%,16.90%,29.20%,-0.30%,39.65,35.53,3.00%,-5.99%,73.90%,-0.08%,0.77%,2.14,1.60%,12.90%,19.60%,,,0.15,0.15,,85.10%,41.10%,0.48%,11.37%,10.27%,39.42%,64.21%,8.99%,1.28,1.1,4.36%,3.07%,4.97%,5.64%,20.47%,-3.65%,15.90%,-3.65%,82.82%,61.08,-2.65%,0.30%,1.6,127.56,2.28,35.65,-2.36%,290902,1/27/2022 8:30:00 AM,39.0,6/4/1996,35.65,0.00%,81.0,94,1.4,35.65,34.18,33.76,29.65,19.5,37.0,14.0,9.4,63.0,True
1635,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,110976.52,25.98,11.19,,3.07,2.64,10.56,19.26,1.74%,51.00%,3.36,-139.20%,32.70%,6.80%,-1.80%,-8.60%,526.20%,158.20%,1332.29,1317.86,0.10%,-10.42%,80.40%,0.11%,1.13%,1.94,5.90%,11.60%,-3.50%,1.9,1.8,0.42,0.45,46.70%,17.70%,12.90%,4.41%,27.56%,16.20%,53.49%,92.95%,20.92%,1.55,2.35,2.86%,2.75%,13.64%,17.93%,38.30%,-2.05%,32.49%,-2.05%,120.46%,77.01,-0.69%,0.43%,1.8,7692.94,0.95,87.28,-0.26%,7309777,2/3/2022 8:30:00 AM,92.73,1/13/1978,87.28,0.00%,75.0,97,1.64,87.28,77.82,74.4,63.44,39.7,89.11,13.0,6.24,61.666666666666664,True
1687,CRC,California Resources Corporation,Energy,Oil & Gas E&P,USA,3478.87,0.51,8.3,0.04,2.24,3.34,18.41,12.29,1.58%,0.00%,83.93,,-13.87%,19.30%,14.00%,-8.30%,-43.20%,43.80%,81.6,79.72,0.84%,-92.26%,98.66%,0.06%,3.96%,4.35,116.50%,362.10%,125.40%,0.7,0.6,0.56,0.0,55.80%,,,-2.87%,1.41%,1.10%,60.75%,73.45%,0.80%,,1.98,4.54%,4.68%,0.26%,0.42%,23.11%,-8.11%,17.56%,-8.75%,97.57%,49.54,-1.96%,0.99%,2.0,725.93,0.76,43.05,-0.99%,554511,11/11/2021 8:30:00 AM,57.6,10/28/2020,43.05,0.00%,69.0,95,1.47,43.05,43.16,42.81,35.06,21.79,47.18,8.0,33.8,57.333333333333336,True
1793,CUBI,"Customers Bancorp, Inc.",Financial,Banks - Regional,USA,2130.1,7.77,10.66,0.78,2.96,1.93,1.92,6.86,,0.00%,8.8,82.30%,-29.20%,13.80%,10.00%,16.80%,116.90%,73.90%,32.45,29.57,6.70%,-25.45%,86.50%,3.00%,4.27%,2.71,1.30%,25.10%,5.30%,,,0.35,0.35,,83.90%,35.30%,-3.76%,19.80%,47.90%,80.46%,197.48%,4.57%,1.57,3.67,6.46%,4.88%,1.01%,10.17%,52.01%,-10.21%,27.35%,-10.21%,225.99%,52.87,-6.48%,0.99%,2.1,466.57,1.08,68.36,-5.55%,505411,1/24/2022 4:30:00 PM,73.25,2/21/2012,68.5,0.20%,66.0,99,2.53,68.36,68.23,62.23,45.15,20.97,76.13,21.0,7.15,62.0,True
