rank,my_score,ticker,company,sentiment_score,analyst_score,relative_strength,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,adj_analyst_recom,in_sp1500
1,70.66666666666667,RWT,"Redwood Trust, Inc.",47.0,1.7,76,1.37,13.16,14.04,6.69,$6.52,$12.71,11.86,11.6,9.77,89.0,True
5,68.83333333333333,IIPR,"Innovative Industrial Properties, Inc.",36.0,2.0,89,1.68,234.18,257.0,9.74,$91.55,$222.08,203.33,190.89,176.24,81.5,True
6,68.66666666666667,EPRT,"Essential Properties Realty Trust, Inc.",42.0,1.9,80,1.45,28.39,32.36,13.98,$14.67,$29.51,27.93,27.05,22.8,84.0,True
8,67.83333333333333,SSTK,"Shutterstock, Inc.",21.0,1.6,91,1.84,116.29,126.0,8.35,$41.96,$108.96,101.39,95.42,81.54,91.5,True
9,66.66666666666667,RDNT,"RadNet, Inc.",13.0,1.3,88,1.66,29.1,43.67,50.07,$13.49,$36.64,33.94,31.31,22.62,99.0,True
11,66.16666666666667,XPEL,"XPEL, Inc.",18.0,2.0,99,4.28,73.52,110.0,49.62,$15.70,$103.84,87.67,85.52,58.05,81.5,True
12,66.16666666666667,FRGI,"Fiesta Restaurant Group, Inc.",27.0,2.0,90,1.71,11.38,17.0,49.38,$6.05,$18.52,13.67,13.59,13.41,81.5,True
14,65.5,NSA,National Storage Affiliates Trust,42.0,2.2,78,1.41,52.84,58.3,10.33,$28.88,$55.22,52.48,49.41,40.2,76.5,True
15,65.5,CROX,"Crocs, Inc.",18.0,2.0,97,2.69,141.13,157.7,11.74,$35.14,$136.50,118.1,110.37,81.42,81.5,True
16,65.16666666666667,NAVI,Navient Corporation,17.0,1.8,92,1.91,19.12,21.35,11.66,$7.42,$20.79,19.73,18.95,13.48,86.5,True
17,64.83333333333333,VVI,Viad Corp,17.0,2.0,96,2.43,47.75,58.0,21.47,$13.86,$52.00,47.64,46.93,38.21,81.5,True
18,64.66666666666667,BOOT,"Boot Barn Holdings, Inc.",16.0,2.1,99,3.37,90.64,100.0,10.33,$18.15,$86.70,81.64,78.52,59.18,79.0,True
22,64.33333333333333,CRNC,Cerence Inc.,16.0,1.9,93,2.0,91.28,138.64,51.88,$37.89,$139.00,111.56,106.18,96.69,84.0,True
23,64.16666666666667,AXON,"Axon Enterprise, Inc.",22.0,1.8,84,1.55,178.77,213.0,19.15,$78.28,$212.37,177.64,158.34,143.27,86.5,True
24,64.0,OMI,"Owens & Minor, Inc.",23.0,2.3,95,2.23,31.66,46.17,45.83,$12.54,$49.16,43.99,42.35,33.18,74.0,True
26,64.0,MIDD,The Middleby Corporation,21.0,1.9,87,1.62,173.84,214.0,23.1,$82.04,$190.25,178.95,172.04,150.15,84.0,True
28,64.0,TPX,"Tempur Sealy International, Inc.",29.0,2.1,84,1.55,46.53,53.33,14.61,$18.38,$42.60,39.78,38.66,32.51,79.0,True
