no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,29808.88,18.43,12.26,1.78,0.13,122.34,8.42,16.58,1.30%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-44.49%,65.70%,1.02%,1.13%,1.54,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,-0.13%,8.71%,14.97%,21.50%,40.21%,6.80%,0.46,3.37,2.15%,2.35%,1.80%,5.57%,14.87%,-1.59%,16.11%,-1.59%,40.92%,59.85,1.93%,0.99%,1103.95,0.98,141.92,2.95%,1082041,2/2/2022 8:30:00 AM,153.92,4/4/1995,145.0,2.17%,63.0,90,1.22,141.92,139.77,134.8,123.66,100.71,144.22,13.0,8.46,55.333333333333336,True
60,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,1285.21,56.14,13.88,2.58,2.08,7.73,,28.25,,0.00%,0.24,38.40%,27.62%,,21.74%,,39.50%,43.20%,94.0,59.82,5.70%,-8.47%,65.30%,1.08%,2.67%,6.22,3.90%,15.90%,-1.70%,3.0,3.0,1.89,2.0,32.90%,6.70%,3.70%,0.97%,9.47%,3.52%,15.54%,22.00%,3.92%,1.12,0.44,3.09%,3.25%,3.34%,5.40%,9.79%,-0.88%,16.34%,-4.01%,34.63%,59.2,2.50%,0.08%,256.57,0.57,13.53,2.58%,147334,,17.0,8/24/2017,13.53,0.00%,63.0,79,1.06,13.53,13.16,12.85,12.33,10.05,14.1,35.0,25.65,59.0,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,52144.26,9.91,10.35,0.32,1.09,0.8,23.72,10.04,2.03%,11.60%,6.37,257.40%,14.68%,77.40%,30.69%,-0.30%,478.80%,45.60%,833.65,829.46,0.10%,-1.74%,91.40%,-2.44%,0.98%,1.59,1.60%,14.50%,11.70%,,,0.46,0.46,,28.10%,19.60%,2.90%,9.60%,9.10%,16.92%,43.71%,11.08%,1.3,2.14,3.38%,3.15%,4.64%,7.36%,15.49%,-0.60%,21.81%,-0.60%,44.76%,61.66,3.90%,0.68%,5123.17,1.7,63.16,4.60%,8694481,2/16/2022 4:30:00 PM,65.62,4/3/1972,63.16,0.00%,63.0,92,1.25,63.16,60.7,59.0,54.75,43.63,63.54,14.0,3.89,56.333333333333336,True
249,AIR,AAR Corp.,Industrials,Aerospace & Defense,USA,1574.98,20.08,13.79,1.47,0.91,1.52,36.88,33.09,,0.00%,2.17,84.30%,34.64%,0.00%,13.68%,1.60%,41.30%,8.20%,35.1,33.8,0.10%,-68.14%,98.20%,2.42%,5.52%,5.36,4.70%,7.60%,4.20%,3.0,1.3,0.1,0.1,17.30%,6.00%,4.20%,-0.80%,9.06%,16.81%,31.66%,9.55%,11.66%,1.67,1.44,4.33%,3.21%,5.11%,8.11%,17.43%,-2.29%,27.02%,-4.20%,41.04%,61.49,2.81%,0.52%,347.66,0.58,43.58,3.34%,203231,12/21/2021 4:30:00 PM,51.0,4/24/1972,43.58,0.00%,69.0,69,0.95,43.58,41.66,40.48,37.14,30.9,45.49,18.0,17.03,52.0,True
369,AMRK,"A-Mark Precious Metals, Inc.",Financial,Capital Markets,USA,813.21,3.94,10.39,,0.1,1.99,41.92,4.83,,0.00%,17.88,312.90%,-13.72%,68.70%,,2.30%,125.40%,28.20%,11.38,8.44,8.00%,-10.33%,43.90%,2.24%,2.32%,2.13,15.40%,51.30%,17.20%,1.5,0.6,0.23,1.18,3.40%,2.70%,2.30%,-1.04%,18.84%,0.48%,54.19%,156.39%,15.43%,-0.48,3.16,4.91%,4.63%,3.77%,12.63%,22.80%,-8.40%,29.51%,-12.85%,177.89%,58.56,3.72%,-0.04%,92.05,0.9,70.53,3.67%,82493,2/8/2022 4:30:00 PM,93.5,3/17/2014,70.53,0.00%,69.0,99,2.16,70.53,68.55,62.86,58.31,27.13,80.93,55.0,32.57,74.33333333333333,True
393,ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA,1436.19,14.93,16.5,1.87,0.11,1.41,6.62,,1.64%,26.00%,2.94,-69.00%,-5.57%,18.80%,8.00%,13.90%,,59.00%,33.28,30.77,2.60%,-27.06%,81.30%,4.05%,1.61%,2.36,2.20%,9.00%,0.00%,1.4,0.9,0.53,0.9,4.70%,1.00%,0.70%,14.06%,16.02%,19.40%,45.88%,67.87%,13.36%,0.71,1.54,4.26%,3.81%,13.43%,14.18%,32.59%,2.88%,27.37%,2.88%,75.03%,74.84,3.00%,0.31%,209.6,1.95,43.88,3.32%,408957,2/15/2022 4:30:00 PM,45.75,2/20/1996,44.06,0.40%,69.0,96,1.46,43.88,38.98,38.61,33.16,25.07,44.4,16.0,4.26,60.333333333333336,True
449,APR,"Apria, Inc.",Healthcare,Medical Instruments & Supplies,USA,1327.42,18.67,20.37,,1.16,56.59,6.13,17.49,,0.00%,2.0,195.30%,8.65%,18.20%,,0.30%,268.70%,3.80%,35.31,34.63,2.00%,-93.32%,88.97%,-1.10%,4.11%,2.33,10.50%,,14.00%,1.2,1.2,15.2,16.55,70.40%,9.30%,6.50%,0.21%,0.40%,20.56%,3.75%,73.40%,14.57%,,0.12,0.26%,0.30%,0.21%,6.64%,14.08%,-0.88%,30.71%,-6.63%,86.10%,66.25,0.00%,0.03%,610.46,1.19,37.35,0.03%,729096,,38.33,2/11/2021,37.35,0.00%,75.0,97,1.51,37.35,37.28,35.16,32.78,20.07,40.0,10.0,2.62,60.666666666666664,True
468,AR,Antero Resources Corporation,Energy,Oil & Gas E&P,USA,6822.41,,6.77,,1.48,1.24,,4.2,,,-0.63,87.00%,-2.79%,26.80%,,22.90%,,82.90%,313.98,273.59,1.70%,-24.22%,76.70%,-1.12%,7.41%,2.61,-1.40%,-3.40%,-0.60%,0.3,0.3,0.37,0.37,72.40%,-2.70%,-4.00%,9.16%,23.16%,19.40%,76.13%,151.67%,29.43%,4.14,1.32,7.85%,6.35%,10.81%,18.49%,35.76%,-0.74%,41.74%,-0.74%,162.15%,64.49,0.98%,-0.44%,7767.05,0.98,22.65,0.53%,7637810,2/16/2022 4:30:00 PM,29.19,10/10/2013,22.63,-0.09%,63.0,99,2.19,22.65,20.65,19.24,16.74,8.64,22.82,17.0,28.87,59.666666666666664,True
478,ARCH,"Arch Resources, Inc.",Energy,Thermal Coal,USA,1834.5,6.44,2.72,,0.83,2.62,5.4,,0.86%,1.10%,18.11,184.40%,124.57%,-17.40%,,2.30%,330.40%,123.40%,15.39,14.99,1.40%,-0.78%,,6.71%,33.17%,9.64,17.70%,79.50%,29.20%,1.7,1.4,0.5,0.83,28.50%,16.60%,15.30%,0.60%,21.65%,41.03%,57.46%,143.22%,27.63%,0.85,6.24,5.36%,5.85%,7.22%,17.89%,46.32%,-6.94%,45.36%,-6.94%,198.71%,63.44,2.62%,-0.35%,515.49,0.64,116.55,2.26%,331062,2/15/2022 8:30:00 AM,143.17,10/5/2016,116.0,-0.47%,69.0,99,2.11,116.55,109.61,99.53,79.97,39.02,125.25,7.0,22.84,58.333333333333336,True
490,ARES,Ares Management Corporation,Financial,Asset Management,USA,23730.25,46.24,19.07,1.73,6.67,7.68,12.64,,2.36%,90.90%,1.72,-19.50%,24.10%,27.30%,26.80%,16.70%,78.70%,93.70%,168.93,127.78,1.60%,-21.44%,73.20%,1.58%,1.00%,1.71,1.70%,22.70%,,,,6.57,6.57,,19.70%,8.20%,0.90%,11.00%,-5.50%,7.22%,53.37%,-1.91%,1.02,3.3,4.82%,4.25%,1.94%,3.01%,8.84%,-5.21%,15.19%,-11.50%,66.88%,53.93,5.05%,0.48%,744.08,1.07,79.72,5.55%,794159,2/11/2022 8:30:00 AM,98.4,5/2/2014,79.72,0.00%,66.0,94,1.33,79.72,78.54,77.45,73.39,47.77,90.08,13.0,23.43,57.666666666666664,True
