"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Gross Margin","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research",46245.17,48.22,0.50%,12.00%,5.70%,303.00,0.20%,-14.71%,90.30%,-0.04%,1.53%,53.60%,20.40%,-4.10%,-2.25%,-10.69%,16.12%,37.94%,30.63%,0.99,2.27%,-3.80%,-4.17%,4.73%,-13.75%,4.56%,-14.81%,37.28%,38.47,2.00,152.97,-1.17%,2286303,175.88
"AA","Alcoa Corporation","Basic Materials","Aluminum",9191.25,11.41,0.82%,28.00%,-3.70%,187.00,0.10%,-52.45%,76.10%,-3.40%,4.51%,22.00%,12.60%,1.70%,-4.20%,16.55%,34.12%,147.45%,112.67%,2.41,4.47%,5.26%,3.01%,28.88%,-12.35%,13.44%,-12.35%,191.68%,55.51,2.20,50.46,2.94%,7106088,59.19
"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,,-3.26%,-0.95%,-0.06%,-5.67%,-2.63%,-6.02%,,0.71%,-1.92%,-0.08%,-0.26%,-4.28%,3.82%,-8.54%,6.53%,41.57,,17.78,-0.11%,269942,
"AAC","Ares Acquisition Corporation","Financial","Shell Companies",1228.75,59.94,,,,125.00,,,67.60%,11.78%,0.08%,,,0.00%,-0.10%,1.44%,0.10%,,-0.41%,,0.42%,-0.10%,0.27%,0.33%,-0.43%,1.21%,-1.82%,3.34%,50.26,,9.82,-0.13%,188898,
"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services",59.39,,,-36.60%,-17.20%,31.19,18.70%,0.00%,17.50%,4.78%,0.16%,46.60%,-53.20%,-19.53%,-27.62%,-34.22%,-40.55%,47.86%,45.38%,1.67,4.68%,-19.23%,-24.25%,-44.71%,-39.66%,1.16%,-91.14%,54.87%,22.72,1.00,1.75,1.16%,10118,32.50
"AACI","Armada Acquisition Corp. I","Financial","Shell Companies",,,,,,,25.41%,,,,,,,0.51%,,,,,0.51%,,,0.10%,0.10%,0.10%,-0.70%,0.72%,-0.70%,0.72%,,,9.79,-0.10%,941,
"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies",,,,,,,,,41.98%,,,,,0.36%,0.36%,,,,1.89%,,0.33%,0.45%,0.82%,0.89%,-0.69%,2.15%,-0.69%,2.46%,55.93,,10.00,0.15%,467,
"AACIW","Armada Acquisition Corp. I","Financial","Shell Companies",,,,,,,,,,,,,,-0.10%,,,,,3.50%,,,1.64%,1.64%,1.64%,-13.33%,4.00%,-13.33%,4.00%,,,0.52,0.48%,1399,
"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology",481.98,,,30.90%,,9.51,0.10%,0.00%,54.40%,,,,,-4.06%,-10.16%,-26.94%,-4.02%,-0.49%,65.51%,1.41,8.36%,-10.60%,-15.95%,-13.23%,-30.55%,6.51%,-54.00%,60.08%,39.53,2.00,22.91,-5.84%,276886,47.67
"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund",,,0.31%,,,,,,,,,,,-2.42%,-4.16%,-1.60%,-1.89%,11.59%,4.34%,,0.58%,-3.09%,-2.84%,-3.30%,-6.29%,1.50%,-8.98%,11.81%,34.05,,63.13,-0.63%,1724,
"AAIC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage",116.14,,,7.90%,,31.93,3.10%,2.62%,34.90%,-22.64%,0.82%,53.10%,,-1.87%,-4.17%,-2.13%,-8.23%,16.09%,-2.65%,1.76,1.49%,-1.57%,-1.54%,-4.63%,-7.18%,2.18%,-15.16%,19.05%,44.22,2.70,3.75,1.90%,208211,4.62
"AAL","American Airlines Group Inc.","Industrials","Airlines",12679.06,,,-29.60%,-15.80%,648.56,0.10%,0.00%,56.40%,4.18%,14.91%,54.10%,-11.40%,-1.86%,1.25%,-3.37%,-18.54%,43.58%,23.46%,1.66,3.20%,-4.04%,-3.99%,-8.29%,-12.93%,3.24%,-25.41%,40.51%,42.22,3.10,19.46,-0.05%,21202178,19.03
"AAMC","Altisource Asset Management Corporation","Financial","Asset Management",47.08,0.61,,-41.60%,,2.05,1.60%,0.00%,24.50%,-8.71%,1.51%,,,-11.06%,-16.22%,60.94%,25.95%,0.00%,-6.70%,1.10,4.39%,-21.85%,-22.19%,-6.66%,-32.76%,-10.32%,-40.61%,51.03%,27.48,,18.94,-13.91%,48462,
"AAME","Atlantic American Corporation","Financial","Insurance - Life",81.08,6.34,0.50%,24.30%,3.30%,20.40,2.90%,0.00%,5.80%,-10.84%,3.72%,,8.80%,-3.61%,-3.85%,8.11%,-7.62%,84.33%,94.17%,0.21,5.05%,-4.81%,-3.76%,-4.19%,-12.63%,11.26%,-74.89%,98.52%,42.85,,4.01,0.26%,4706,
"AAN","The Aaron's Company, Inc.","Industrials","Rental & Leasing Services",804.37,8.95,1.59%,-37.70%,-4.00%,32.48,1.30%,-12.99%,95.50%,-2.07%,2.14%,63.20%,7.00%,-0.28%,-18.94%,-8.64%,-30.25%,,32.70%,,5.14%,-1.85%,-7.13%,-11.29%,-21.36%,11.93%,-33.53%,53.83%,42.97,2.70,24.92,-0.95%,191218,34.43
"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductors",158.18,,,-43.50%,4.30%,27.10,7.60%,0.00%,49.80%,2.34%,17.73%,19.50%,-26.90%,-1.50%,-22.00%,-14.45%,-26.37%,-24.49%,-30.43%,1.69,5.10%,-9.34%,-13.29%,-23.70%,-31.94%,8.65%,-56.77%,8.65%,39.01,2.70,6.03,1.86%,334015,15.36
"AAON","AAON, Inc.","Industrials","Building Products & Equipment",4067.13,58.78,0.48%,12.10%,7.50%,52.42,0.20%,-6.68%,71.10%,-1.09%,3.14%,28.20%,17.40%,1.71%,11.68%,14.50%,17.82%,18.80%,17.68%,0.58,2.43%,4.97%,11.29%,15.18%,-0.01%,22.16%,-3.10%,32.94%,74.32,3.00,78.73,0.41%,184640,67.00
"AAP","Advance Auto Parts, Inc.","Consumer Cyclical","Specialty Retail",14825.22,23.86,1.70%,2.20%,0.70%,62.85,0.20%,-4.77%,99.18%,-1.74%,5.64%,45.10%,8.00%,0.03%,2.45%,11.09%,24.74%,61.97%,49.69%,1.26,2.27%,0.68%,5.17%,15.83%,-3.98%,16.50%,-3.98%,63.02%,55.44,2.20,233.37,-1.02%,358277,254.06
"AAPL","Apple Inc.","Technology","Consumer Electronics",2603951.73,28.79,0.55%,22.00%,11.10%,16487.12,0.07%,-20.62%,58.80%,-0.59%,0.61%,41.80%,29.80%,6.89%,8.59%,8.80%,27.24%,41.77%,21.64%,1.22,1.79%,6.32%,9.52%,17.39%,-2.27%,17.12%,-2.27%,43.83%,76.57,1.90,161.94,0.33%,69310101,168.45
"AAQC","Accelerate Acquisition Corp.","Financial","Shell Companies",389.20,,,,,40.00,,,,,,,,-0.41%,-0.05%,1.04%,0.72%,,-0.51%,,0.48%,-0.40%,-0.06%,0.36%,-1.81%,0.93%,-2.21%,1.47%,45.46,,9.74,0.10%,86883,
"AAT","American Assets Trust, Inc.","Real Estate","REIT - Diversified",2304.70,98.45,3.16%,-11.70%,4.60%,59.99,0.40%,,98.50%,0.45%,1.35%,65.00%,24.30%,-1.53%,-3.36%,-0.73%,6.59%,25.58%,31.58%,1.22,2.28%,-1.20%,-1.38%,4.54%,-6.69%,4.61%,-6.69%,40.33%,45.46,2.60,38.10,0.26%,84799,40.30
"AATC","Autoscope Technologies Corporation","Technology","Scientific & Technical Instruments",37.74,12.80,7.01%,21.20%,-2.80%,5.34,13.60%,0.00%,29.00%,1.27%,0.82%,78.40%,18.10%,-0.29%,-0.72%,-6.68%,-19.70%,49.56%,52.56%,1.10,2.36%,0.70%,-2.83%,6.81%,-16.11%,3.02%,-39.95%,71.12%,49.18,,6.95,1.52%,8077,
"AAU","Almaden Minerals Ltd.","Basic Materials","Gold",46.99,,,-11.30%,,137.22,7.20%,0.00%,5.00%,-0.53%,0.58%,,,-11.46%,-10.67%,-14.68%,-36.92%,-66.67%,-27.52%,0.97,4.86%,-12.20%,-13.12%,-32.49%,-23.02%,3.86%,-71.96%,3.86%,31.10,,0.34,-1.03%,668102,1.10
"AAWW","Atlas Air Worldwide Holdings, Inc.","Industrials","Airports & Air Services",2757.14,5.56,,115.40%,12.00%,29.02,0.20%,-14.66%,,1.26%,12.59%,57.00%,16.90%,7.86%,15.36%,27.67%,26.51%,75.63%,74.02%,1.14,3.31%,8.87%,14.04%,32.32%,-0.86%,31.70%,-0.86%,87.53%,71.73,2.00,94.18,-0.77%,240415,105.57
"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Financial","Exchange Traded Fund",,,1.02%,,,,,,,,,,,-2.25%,-2.68%,-1.30%,-8.39%,0.14%,-4.01%,,0.83%,-0.99%,-0.54%,-5.52%,-3.34%,3.96%,-16.11%,3.96%,43.45,,85.94,-0.09%,1567100,
"AB","AllianceBernstein Holding L.P.","Financial","Asset Management",5563.86,15.56,6.15%,9.30%,8.00%,99.41,0.20%,0.00%,13.70%,-2.96%,1.21%,,100.00%,-2.19%,-1.21%,8.17%,24.00%,73.28%,62.66%,1.43,2.01%,-0.37%,4.42%,19.46%,-3.48%,18.50%,-3.48%,78.13%,54.97,2.20,55.54,1.11%,187214,56.00
"ABB","ABB Ltd","Industrials","Specialty Industrial Machinery",72649.44,35.10,2.45%,-30.70%,-5.90%,2001.00,,,6.10%,1.75%,0.10%,32.70%,11.10%,1.31%,9.25%,-4.66%,5.30%,33.63%,27.18%,1.07,0.87%,1.49%,2.57%,3.74%,-4.30%,8.48%,-7.52%,33.70%,55.08,2.20,35.17,-1.10%,1345798,37.66
"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - General",211665.84,28.30,4.37%,-2.80%,14.90%,1770.00,0.12%,-7.36%,68.40%,-0.38%,0.77%,67.90%,30.10%,2.11%,9.57%,-1.26%,3.64%,16.34%,10.95%,0.79,1.56%,2.45%,6.52%,5.90%,-0.56%,12.41%,-2.36%,16.85%,65.80,2.00,118.66,-0.19%,5752060,128.32
"ABC","AmerisourceBergen Corporation","Healthcare","Medical Distribution",26541.15,16.74,1.42%,8.70%,6.90%,206.16,0.20%,-39.76%,65.50%,-0.79%,1.00%,3.20%,-2.10%,-0.16%,0.86%,4.72%,7.83%,23.07%,26.49%,0.47,2.10%,-0.57%,0.89%,4.53%,-4.71%,7.58%,-4.71%,30.09%,50.20,2.30,123.44,-0.18%,574366,144.08
"ABCB","Ameris Bancorp","Financial","Banks - Regional",3786.93,9.59,1.12%,24.30%,30.70%,69.44,1.30%,0.27%,92.60%,1.06%,2.82%,,96.80%,-0.83%,-2.75%,8.35%,-1.33%,54.93%,40.40%,1.29,2.62%,-0.82%,1.54%,3.19%,-6.07%,17.99%,-11.11%,57.12%,50.00,1.90,53.20,-0.47%,342871,59.43
"ABCL","AbCellera Biologics Inc.","Healthcare","Biotechnology",3808.99,19.52,,,,278.93,20.70%,-21.99%,43.60%,6.87%,5.37%,,63.90%,-14.67%,-15.24%,-20.91%,-51.02%,,-65.31%,,6.64%,-7.78%,-14.35%,-38.66%,-36.20%,9.56%,-79.92%,9.56%,43.04,1.60,14.44,3.44%,759801,41.50
"ABCM","Abcam plc","Healthcare","Biotechnology",5101.35,227.55,,,,219.60,,,10.30%,-2.09%,0.08%,71.10%,3.50%,-2.58%,-2.28%,8.10%,9.26%,20.93%,3.48%,,1.71%,-1.28%,3.66%,9.47%,-3.33%,14.94%,-8.38%,31.97%,51.31,2.00,22.62,1.43%,287422,23.00
"ABEO","Abeona Therapeutics Inc.","Healthcare","Biotechnology",78.73,,,-11.50%,57.30%,97.99,2.50%,-5.70%,25.90%,-7.65%,3.09%,,,-14.36%,-11.20%,-40.79%,-54.79%,-45.94%,-52.48%,1.39,7.72%,-12.85%,-21.52%,-49.25%,-40.39%,3.70%,-80.03%,3.70%,33.08,1.70,0.76,1.47%,233051,5.00
"ABEQ","Absolute Core Strategy ETF","Financial","Exchange Traded Fund",,,0.50%,,,,,,,,,,,-0.76%,0.00%,0.39%,-0.80%,14.19%,10.05%,,0.34%,-0.32%,1.18%,2.15%,-2.06%,4.81%,-3.01%,14.20%,49.56,,27.93,-0.24%,828,
"ABEV","Ambev S.A.","Consumer Defensive","Beverages - Brewers",47997.54,18.60,0.33%,39.83%,,15736.90,,,9.82%,,0.96%,,,-2.24%,12.13%,-8.13%,-7.29%,14.24%,-0.33%,,2.70%,-1.69%,4.15%,-1.21%,-7.34%,21.20%,-23.29%,27.25%,50.34,3.20,3.03,-0.66%,18644365,3.51
"ABG","Asbury Automotive Group, Inc.","Consumer Cyclical","Auto & Truck Dealerships",4002.69,6.71,,15.50%,1.60%,19.30,0.10%,0.00%,89.90%,-0.16%,8.90%,18.40%,7.50%,-9.21%,-25.43%,-12.54%,-14.83%,37.30%,14.34%,1.49,4.36%,-10.02%,-15.60%,-13.30%,-29.01%,1.95%,-29.01%,45.42%,31.80,2.30,163.97,-1.60%,367427,249.25
"ABGI","ABG Acquisition Corp. I","Financial","Shell Companies",188.85,,,,,19.33,3.22%,0.00%,78.70%,-7.92%,0.03%,,,-0.20%,0.31%,0.41%,-2.20%,,-5.42%,,0.34%,-0.05%,0.44%,-1.01%,-0.51%,1.66%,-8.61%,1.66%,50.45,,9.77,-0.10%,162,
"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology",32.15,,,42.50%,,14.41,0.39%,,10.60%,29.21%,2.04%,,,-5.35%,-14.81%,-25.81%,-31.95%,-44.98%,-42.64%,2.48,5.07%,-4.31%,-11.45%,-27.75%,-22.51%,11.06%,-56.18%,11.06%,42.60,,2.41,4.78%,582273,
"ABM","ABM Industries Incorporated","Industrials","Specialty Business Services",3250.61,22.88,1.56%,-68.40%,4.10%,67.50,1.00%,-1.32%,97.40%,2.26%,2.53%,16.30%,3.70%,0.06%,7.63%,0.33%,-1.83%,24.63%,29.04%,1.35,2.12%,2.81%,4.92%,1.39%,-1.73%,12.46%,-12.96%,32.99%,57.72,2.00,48.29,-1.11%,163985,62.00
"ABMD","Abiomed, Inc.","Healthcare","Medical Devices",14942.04,100.92,,42.20%,20.80%,45.44,1.40%,-15.36%,92.30%,-1.76%,1.84%,81.90%,14.90%,-6.70%,-7.30%,-8.33%,16.26%,23.18%,1.23%,1.26,3.99%,-3.41%,-2.17%,3.92%,-10.95%,8.50%,-12.81%,32.77%,44.30,2.40,337.78,2.93%,124373,387.33
"ABNB","Airbnb, Inc.","Communication Services","Internet Content & Information",116126.86,,,,29.70%,621.01,4.00%,-22.23%,58.90%,12.46%,4.34%,62.00%,-58.70%,-13.90%,5.34%,11.18%,32.30%,,21.44%,,4.34%,-4.60%,1.57%,8.21%,-15.38%,12.82%,-18.21%,48.06%,45.43,2.30,179.89,0.91%,4739730,197.09
"ABOS","Acumen Pharmaceuticals, Inc.","Healthcare","Biotechnology",380.07,,,,,42.23,0.50%,,85.30%,,1.86%,,,-16.12%,-37.54%,-47.70%,,,-55.22%,,8.26%,-29.83%,-35.67%,-41.85%,-49.18%,0.90%,-66.64%,0.90%,20.47,2.00,9.00,0.00%,69216,24.00
"ABR","Arbor Realty Trust, Inc.","Real Estate","REIT - Mortgage",2628.48,8.57,7.61%,6.50%,33.50%,142.62,1.00%,0.29%,43.80%,-3.45%,4.95%,75.60%,48.70%,-3.57%,-8.14%,1.27%,2.62%,36.53%,29.69%,1.84,1.70%,-4.56%,-3.08%,3.79%,-10.80%,4.52%,-10.80%,40.47%,39.04,2.20,18.50,0.60%,716758,21.62
"ABSI","Absci Corporation","Healthcare","Biotechnology",997.17,,,,,73.29,8.40%,182.70%,38.50%,,5.54%,,,-10.94%,-9.05%,-45.84%,,,-50.21%,,10.94%,-17.98%,-8.44%,-31.55%,-37.97%,16.84%,-64.35%,16.84%,42.31,2.60,11.24,4.56%,128157,26.25
"ABST","Absolute Software Corporation","Technology","Software - Application",594.87,,2.86%,-20.80%,6.30%,49.67,0.42%,0.00%,84.10%,,0.53%,84.40%,-2.50%,-7.89%,-20.11%,-21.01%,-34.91%,-9.09%,-23.59%,0.72,3.52%,-14.39%,-17.75%,-31.47%,-24.37%,1.57%,-57.41%,1.57%,20.72,,9.03,-0.77%,255307,
"ABT","Abbott Laboratories","Healthcare","Medical Devices",221504.70,30.68,1.45%,7.80%,11.10%,1774.52,0.20%,-7.27%,75.50%,-0.08%,0.64%,56.90%,20.10%,-4.90%,-1.66%,-0.21%,6.62%,13.92%,13.69%,0.68,1.58%,-2.02%,1.03%,3.63%,-4.97%,9.33%,-4.97%,18.75%,46.69,1.90,125.07,0.47%,3707047,138.61
"ABTX","Allegiance Bancshares, Inc.","Financial","Banks - Regional",920.20,12.19,1.06%,9.20%,22.20%,20.22,6.66%,0.00%,51.60%,-0.03%,1.55%,,89.20%,3.64%,12.79%,20.53%,13.55%,43.04%,32.82%,1.01,3.17%,6.69%,12.86%,14.42%,-2.06%,29.28%,-2.06%,42.07%,68.28,3.00,44.68,-1.43%,63599,46.25
"ABUS","Arbutus Biopharma Corporation","Healthcare","Biotechnology",422.04,,,6.20%,-21.60%,101.29,28.70%,0.00%,26.30%,20.29%,3.00%,,,-6.59%,-22.58%,-4.29%,12.23%,-14.99%,-12.11%,2.58,4.75%,-10.86%,-19.56%,-7.00%,-32.70%,5.63%,-45.66%,31.28%,27.89,2.40,3.19,2.24%,710625,6.00
"ABVC","ABVC BioPharma, Inc.","Healthcare","Biotechnology",92.59,,,13.40%,,26.88,0.10%,0.00%,0.80%,,1.42%,97.40%,,-7.60%,25.90%,28.46%,-43.06%,-21.00%,-38.04%,0.43,15.47%,-10.24%,9.60%,-22.06%,-72.97%,49.76%,-89.45%,62.05%,48.34,,3.16,0.00%,170126,9.50
"AC","Associated Capital Group, Inc.","Financial","Capital Markets",922.96,9.14,0.48%,187.70%,-3.60%,22.08,0.50%,0.09%,72.80%,-0.03%,0.75%,,,-1.45%,12.19%,13.33%,13.89%,13.30%,18.17%,1.24,3.87%,7.71%,11.10%,14.24%,-5.53%,22.35%,-5.53%,39.69%,67.07,,42.20,1.69%,6028,
"ACA","Arcosa, Inc.","Industrials","Infrastructure Operations",2754.24,39.73,0.35%,-4.70%,-2.00%,48.20,0.30%,-22.22%,93.50%,0.84%,2.42%,18.30%,5.50%,0.33%,8.05%,11.38%,-8.39%,5.58%,5.32%,,3.32%,3.63%,8.47%,0.13%,-2.93%,18.56%,-16.40%,18.78%,60.19,1.70,57.23,-1.07%,85120,66.43
"ACAD","ACADIA Pharmaceuticals Inc.","Healthcare","Biotechnology",3100.47,,,-1.80%,491.50%,160.66,0.20%,-2.18%,91.30%,-2.51%,4.89%,95.40%,-40.70%,-4.74%,12.27%,13.45%,-10.23%,-63.80%,-63.54%,0.59,5.30%,0.63%,8.66%,-15.83%,-9.60%,25.99%,-65.58%,26.15%,53.83,2.60,19.78,1.49%,674469,24.95
"ACAHU","Atlantic Coastal Acquisition Corp.","Financial","Shell Companies",,,,,,,,,48.47%,,0.00%,,,-0.60%,-0.10%,-0.40%,-0.50%,,-0.50%,,0.18%,1.18%,1.32%,1.15%,0.60%,1.82%,-0.40%,2.55%,66.23,,10.05,1.52%,198105,
"ACB","Aurora Cannabis Inc.","Healthcare","Drug Manufacturers - Specialty & Generic",1646.56,,,-50.40%,179.40%,198.07,0.14%,0.00%,20.03%,,18.58%,-58.00%,,-20.31%,-7.66%,-6.62%,-21.91%,-7.66%,-20.22%,3.10,7.04%,-6.06%,-3.38%,-18.15%,-21.98%,15.90%,-64.28%,15.90%,44.57,,6.78,2.26%,4634095,
"ACBI","Atlantic Capital Bancshares, Inc.","Financial","Banks - Regional",603.84,12.51,,70.00%,15.10%,20.31,1.60%,-6.22%,86.80%,0.19%,2.43%,,99.40%,-0.30%,5.36%,20.09%,8.91%,87.11%,85.11%,0.82,2.95%,1.23%,7.45%,15.47%,-2.68%,32.61%,-2.68%,110.16%,58.14,2.20,29.36,-0.37%,68710,28.00
"ACC","American Campus Communities, Inc.","Real Estate","REIT - Residential",7426.85,428.55,3.54%,-12.80%,2.90%,139.07,0.10%,-22.69%,96.30%,1.90%,1.91%,50.10%,14.90%,-0.90%,2.90%,7.75%,13.11%,30.21%,24.25%,1.00,1.90%,-0.21%,3.82%,12.12%,-2.52%,11.95%,-2.52%,35.25%,54.43,2.10,53.76,1.17%,215434,58.38
"ACCD","Accolade, Inc.","Healthcare","Health Information Services",1935.10,,,,,64.40,1.00%,0.00%,73.10%,6.69%,6.33%,43.30%,-62.40%,-18.62%,-29.68%,-36.09%,-42.57%,-44.27%,-35.68%,,4.13%,-21.85%,-27.62%,-37.61%,-40.49%,5.61%,-56.44%,5.61%,19.11,1.50,28.42,1.57%,576187,56.36
"ACCO","ACCO Brands Corporation","Industrials","Business Equipment & Supplies",837.73,10.85,2.98%,-3.70%,1.80%,95.60,3.16%,0.04%,90.60%,0.41%,2.83%,30.30%,6.80%,-2.02%,-1.58%,-3.43%,-3.43%,10.52%,3.20%,2.15,3.41%,0.45%,-0.11%,0.57%,-6.84%,7.53%,-9.42%,16.14%,50.06,1.60,8.85,1.49%,276700,13.40
"ACEL","Accel Entertainment, Inc.","Consumer Cyclical","Gambling",1263.36,54.36,,,,93.62,5.30%,-9.17%,65.50%,0.37%,3.17%,32.90%,-2.80%,2.83%,10.74%,12.93%,-0.61%,20.74%,29.70%,1.20,4.11%,1.82%,5.18%,9.76%,-7.27%,19.03%,-7.27%,48.19%,56.21,2.40,13.07,-0.23%,130353,16.50
"ACER","Acer Therapeutics Inc.","Healthcare","Biotechnology",31.08,,,37.30%,,14.31,15.34%,0.00%,29.40%,-0.88%,2.61%,,,-8.75%,-6.41%,-15.12%,-22.34%,-19.49%,-16.41%,1.16,4.87%,-5.35%,-8.09%,-18.44%,-25.66%,4.90%,-58.07%,4.90%,41.33,2.70,2.26,3.20%,87556,10.00
"ACES","ALPS Clean Energy ETF","Financial","Exchange Traded Fund",,,0.55%,,,,,,,,,,,-4.00%,3.43%,9.24%,11.46%,11.61%,-4.38%,,2.69%,-2.85%,5.63%,5.08%,-6.02%,22.02%,-24.34%,26.06%,49.98,,76.96,0.42%,47479,
"ACET","Adicet Bio, Inc.","Healthcare","Biotechnology",306.51,,,,,31.88,1.80%,-5.96%,62.60%,-6.01%,1.50%,,,1.49%,20.69%,29.56%,-30.84%,-24.88%,-32.31%,2.36,5.04%,6.55%,18.18%,-8.45%,-0.30%,45.93%,-44.66%,57.60%,67.43,1.40,9.85,3.58%,126558,28.29
"ACEV","ACE Convergence Acquisition Corp.","Financial","Shell Companies",286.08,472.86,,,,28.75,,,70.40%,47.74%,2.47%,,,-0.20%,-0.10%,0.71%,-0.30%,1.53%,-2.84%,,0.30%,-0.04%,0.15%,-1.71%,-0.50%,0.61%,-26.30%,2.58%,51.54,,9.95,0.20%,93873,
"ACEVU","ACE Convergence Acquisition Corp.","Financial","Shell Companies",,,,,,,,,1.25%,,0.00%,,,-0.71%,3.55%,2.94%,-8.22%,4.48%,-3.58%,,1.25%,2.26%,4.16%,-3.15%,-2.05%,6.07%,-28.37%,8.29%,64.46,,10.74,2.33%,50,
"ACGL","Arch Capital Group Ltd.","Financial","Insurance - Diversified",16732.74,8.83,,19.50%,16.30%,389.27,0.20%,96.89%,99.43%,-2.59%,0.82%,,21.40%,2.46%,0.92%,3.94%,12.18%,28.68%,21.26%,0.90,2.19%,3.23%,6.23%,10.80%,-0.11%,16.98%,-0.11%,40.22%,61.53,1.90,43.79,0.11%,1330407,49.82
"ACGLN","Arch Capital Group Ltd.","Financial","Insurance - Diversified",,,,,,,,,,,0.01%,,,-0.35%,-2.03%,-1.69%,,,2.36%,,0.69%,-1.14%,-1.60%,-1.32%,-4.52%,0.24%,-4.52%,2.28%,34.96,,25.55,-0.16%,40157,49.82
"ACH","Aluminum Corporation of China Limited","Basic Materials","Aluminum",12576.55,15.97,,25.50%,8.50%,680.91,,,1.70%,-0.07%,0.01%,9.70%,5.00%,1.08%,-25.21%,-17.77%,-6.52%,56.47%,50.35%,1.74,3.16%,-5.65%,-22.19%,-10.73%,-41.48%,2.51%,-45.27%,72.79%,33.77,,13.08,0.23%,92960,14.51
