rank,my_score,ticker,company,sentiment_score,analyst_score,relative_strength,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,adj_analyst_recom,in_sp500
10,71.5,FANG,"Diamondback Energy, Inc.",32.0,1.8,96,2.73,103.38,112.32,8.65,$23.63,$104.93,85.08,79.51,75.31,86.5,True
39,66.66666666666667,PXD,Pioneer Natural Resources Company,30.0,1.9,86,1.63,178.97,207.44,15.91,$76.58,$182.63,158.1,150.89,146.28,84.0,True
55,65.33333333333333,CZR,"Caesars Entertainment, Inc.",26.0,1.9,86,1.64,118.11,126.91,7.45,$43.07,$119.81,109.6,99.36,93.56,84.0,True
61,65.0,SBNY,Signature Bank,10.0,1.7,96,2.72,289.62,310.67,7.27,$71.44,$293.96,265.67,254.86,225.81,89.0,True
111,62.5,PWR,"Quanta Services, Inc.",17.0,1.8,84,1.58,113.14,121.33,7.24,$55.55,$119.70,116.03,104.45,90.49,86.5,True
114,62.333333333333336,ULTA,"Ulta Beauty, Inc.",45.0,2.3,68,1.25,369.92,436.65,18.04,$200.50,$414.98,375.53,368.06,331.01,74.0,True
118,62.166666666666664,MPC,Marathon Petroleum Corporation,10.0,1.8,90,1.79,63.02,70.07,11.19,$26.77,$64.84,59.9,58.01,54.15,86.5,True
121,62.0,SLB,Schlumberger Limited,19.0,1.9,83,1.55,30.88,35.94,16.39,$13.70,$36.87,28.58,28.31,28.08,84.0,True
127,61.666666666666664,MRO,Marathon Oil Corporation,14.0,2.3,97,2.82,14.83,15.96,7.62,$3.73,$15.07,12.53,11.98,11.03,74.0,True
130,61.666666666666664,CBRE,"CBRE Group, Inc.",21.0,2.1,85,1.61,99.04,116.43,17.56,$43.17,$101.66,97.12,95.79,82.33,79.0,True
142,61.166666666666664,COF,Capital One Financial Corporation,19.0,2.2,88,1.71,166.11,183.18,10.28,$70.78,$177.95,168.96,163.73,135.19,76.5,True
144,61.0,EOG,"EOG Resources, Inc.",12.0,2.1,92,1.95,86.4,99.85,15.57,$31.22,$87.99,75.12,71.56,69.99,79.0,True
145,61.0,SCHW,The Charles Schwab Corporation,20.0,2.1,84,1.59,73.23,83.83,14.47,$36.07,$77.97,72.42,71.96,66.75,79.0,True
152,60.5,RJF,"Raymond James Financial, Inc.",15.0,1.8,80,1.48,93.38,159.0,70.27,$48.87,$96.10,90.9,90.42,82.42,86.5,True
153,60.5,CFG,"Citizens Financial Group, Inc.",21.0,2.0,79,1.45,48.26,51.75,7.23,$25.41,$51.14,44.63,43.94,43.33,81.5,True
154,60.5,MOS,The Mosaic Company,21.0,2.2,84,1.59,38.27,40.42,5.62,$16.01,$38.94,34.1,32.62,31.3,76.5,True
157,60.166666666666664,DFS,Discover Financial Services,19.0,2.2,85,1.61,125.98,135.94,7.91,$60.42,$135.69,128.62,125.4,105.86,76.5,True
175,58.833333333333336,APA,APA Corporation,15.0,2.4,90,1.79,22.06,27.5,24.66,$7.45,$24.30,20.49,19.15,19.07,71.5,True
176,58.833333333333336,MET,"MetLife, Inc.",22.0,2.0,73,1.33,62.37,71.8,15.12,$35.90,$67.68,61.38,60.77,58.35,81.5,True
178,58.666666666666664,KIM,Kimco Realty Corporation,21.0,2.3,81,1.5,21.77,24.15,10.93,$10.04,$22.45,21.59,21.45,19.45,74.0,True
190,57.833333333333336,WFC,Wells Fargo & Company,14.0,2.2,83,1.55,47.02,50.35,7.08,$20.76,$51.41,47.66,46.27,39.94,76.5,True
220,55.5,BK,The Bank of New York Mellon Corporation,24.0,2.2,66,1.22,52.85,56.44,6.79,$33.19,$56.64,54.16,51.95,46.86,76.5,True
225,55.0,HBAN,Huntington Bancshares Incorporated,16.0,2.3,75,1.36,15.87,17.08,7.62,$9.30,$16.91,15.18,14.89,14.61,74.0,True
234,53.5,KLAC,KLA Corporation,11.0,2.2,73,1.32,329.07,387.53,17.77,$190.21,$359.69,331.54,325.8,306.7,76.5,True
238,52.833333333333336,DISH,DISH Network Corporation,18.0,2.4,69,1.27,45.43,53.44,17.63,$24.51,$47.05,43.53,43.17,39.03,71.5,True
