rank,my_score,ticker,company,sentiment_score,analyst_score,relative_strength,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,adj_analyst_recom,in_russell_3k
1,78.16666666666667,OPCH,"Option Care Health, Inc.",57.0,1.6,86,1.62,24.82,27.81,12.05,$11.09,$28.21,26.06,23.17,19.8,91.5,True
2,75.83333333333333,NOTV,"Inotiv, Inc.",21.0,1.0,100,7.86,30.56,38.0,24.35,$4.61,$50.33,30.68,28.96,21.66,106.5,True
3,74.5,INSP,"Inspire Medical Systems, Inc.",59.0,2.0,83,1.54,239.01,254.4,6.44,$115.00,$258.58,233.08,207.15,203.95,81.5,True
4,72.83333333333333,ONTO,Onto Innovation Inc.,40.0,1.8,92,1.96,73.06,90.2,23.46,$28.25,$79.45,72.46,70.71,62.9,86.5,True
5,72.33333333333333,DAR,Darling Ingredients Inc.,42.0,1.7,86,1.63,73.71,96.21,30.53,$31.45,$79.65,74.25,72.04,68.67,89.0,True
6,72.33333333333333,SGH,"SMART Global Holdings, Inc.",51.0,1.7,77,1.4,45.28,69.0,52.39,$23.60,$58.39,47.98,47.51,45.39,89.0,True
7,71.83333333333333,LQDT,"Liquidity Services, Inc.",13.0,1.0,96,2.46,21.68,32.5,49.91,$6.63,$30.00,24.2,22.62,20.42,106.5,True
10,70.33333333333333,ORMP,Oramed Pharmaceuticals Inc.,18.0,1.5,99,4.85,20.93,23.0,9.89,$2.40,$23.57,19.09,16.9,11.19,94.0,True
14,69.0,EVC,Entravision Communications Corporation,14.0,1.5,99,4.24,7.45,10.5,40.94,$1.25,$8.11,7.06,6.68,4.63,94.0,True
15,68.66666666666667,ASIX,AdvanSix Inc.,18.0,1.5,94,2.23,42.13,44.5,5.63,$11.73,$38.39,36.48,34.44,28.77,94.0,True
16,67.83333333333333,KE,"Kimball Electronics, Inc.",11.0,1.0,86,1.61,26.31,33.0,25.43,$11.00,$29.99,24.7,22.64,21.94,106.5,True
18,67.66666666666667,TH,Target Hospitality Corp.,10.0,1.3,94,2.29,3.95,5.5,39.24,$0.82,$4.70,3.86,3.65,2.81,99.0,True
19,67.33333333333333,STXB,"Spirit of Texas Bancshares, Inc.",26.0,1.7,87,1.66,24.69,27.83,12.72,$10.45,$24.94,23.14,22.86,21.4,89.0,True
22,67.16666666666667,KFY,Korn Ferry,14.0,1.4,91,1.87,74.85,97.75,30.59,$27.93,$76.50,71.95,69.18,61.55,96.5,True
23,67.16666666666667,ASO,"Academy Sports and Outdoors, Inc.",19.0,1.8,96,2.5,40.19,47.88,19.13,$12.05,$45.45,39.87,38.77,29.86,86.5,True
