no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,20_day_ma,50_day_ma,200_day_ma,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
389,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,USA,41415.37,53.43,37.97,2.92,14.94,10.46,12.23,45.29,,0.00%,2.46,-24.90%,24.78%,36.70%,18.27%,22.60%,32.20%,23.70%,307.46,225.42,0.10%,-88.99%,65.40%,-0.17%,1.74%,1.72,15.50%,21.90%,17.90%,5.1,4.4,0.0,0.0,63.90%,30.80%,28.30%,-7.52%,2.24%,39.35%,42.21%,73.67%,-8.49%,1.21,4.58,3.86%,3.43%,-4.40%,0.97%,33.22%,-11.46%,31.32%,-11.46%,100.76%,46.05,2.22%,-0.62%,2.3,2272.87,1.05,131.54,1.59%,2388340,11/1/2021 4:30:00 PM,135.51,6/6/2014,131.56,0.02%,59.0,93,1.38,133.05,137.79,132.1,99.58,65.52,148.57,17.0,1.85,56.333333333333336,True
417,APA,APA Corporation,Energy,Oil & Gas E&P,USA,10669.46,18.55,5.58,,1.55,,28.3,3.72,1.70%,6.30%,1.59,-36.40%,28.38%,14.80%,,-7.40%,,83.80%,379.0,362.22,0.20%,-2.68%,88.90%,0.10%,3.61%,1.36,4.60%,-48.50%,-60.50%,1.2,0.9,,,64.30%,27.50%,8.70%,4.85%,13.02%,20.48%,45.86%,76.59%,9.41%,4.68,1.29,4.36%,4.51%,9.92%,7.90%,32.69%,-5.52%,28.25%,-5.52%,109.69%,61.19,-0.44%,-0.40%,2.4,9643.23,1.07,29.42,-0.84%,10357771,11/3/2021 4:30:00 PM,35.12,8/2/1963,29.45,0.10%,56.0,95,1.45,32.65,27.62,27.54,22.37,14.03,33.09,16.0,7.57,55.666666666666664,True
696,AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,USA,42507.38,19.49,17.2,1.39,2.81,,44.23,14.7,,0.00%,103.26,32.30%,10.63%,18.50%,14.00%,6.60%,38.10%,16.30%,20.99,20.52,0.40%,-50.42%,95.30%,0.29%,2.12%,2.78,15.90%,-126.70%,63.10%,0.8,0.2,,,52.60%,20.40%,15.10%,-1.59%,2.38%,20.22%,29.24%,59.05%,-3.99%,0.89,52.12,2.48%,2.29%,-1.09%,4.27%,22.33%,-4.61%,13.87%,-4.61%,81.04%,51.26,0.75%,-0.85%,2.3,156.98,0.93,2012.66,-0.10%,146759,12/7/2021 8:30:00 AM,2194.94,4/2/1991,1998.23,-0.72%,59.0,92,1.34,2052.88,2038.73,1944.62,1654.25,1111.71,2110.0,16.0,6.92,55.666666666666664,True
1262,CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,USA,34911.98,24.08,18.33,2.19,1.34,4.36,12.61,17.7,,0.00%,4.29,-41.00%,6.45%,6.40%,11.00%,17.00%,134.80%,20.40%,335.37,332.46,0.50%,-39.32%,98.50%,0.11%,1.41%,3.49,7.90%,19.50%,6.80%,1.4,1.4,0.24,0.42,22.00%,5.40%,5.60%,-4.85%,0.68%,5.85%,24.29%,66.13%,-4.71%,1.43,2.69,2.53%,2.32%,-2.16%,-0.19%,10.39%,-6.85%,9.27%,-6.85%,70.63%,45.65,-0.67%,-0.65%,2.1,1340.86,0.92,103.4,-1.32%,1238646,10/28/2021 8:30:00 AM,128.17,6/10/2004,103.89,0.48%,66.0,94,1.39,106.48,105.91,103.69,94.07,60.6,111.0,21.0,20.37,60.333333333333336,True
1631,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,104024.69,24.12,10.29,,2.87,2.45,9.9,18.06,1.88%,51.00%,3.36,-139.20%,33.64%,6.80%,-1.80%,-8.60%,526.20%,158.20%,1332.29,1317.83,0.10%,-10.33%,80.40%,0.04%,1.15%,1.96,5.90%,11.60%,-3.50%,1.9,1.8,0.42,0.45,46.70%,17.70%,12.90%,9.84%,11.69%,9.54%,36.28%,78.64%,12.26%,1.59,2.29,3.20%,2.79%,11.23%,11.17%,29.98%,0.12%,22.66%,0.12%,104.11%,70.8,0.47%,0.01%,1.8,7745.8,1.18,81.03,0.48%,9120953,2/3/2022 8:30:00 AM,91.8,1/13/1978,81.03,0.00%,75.0,95,1.44,84.4,74.54,73.38,62.78,39.7,84.54,13.0,8.77,61.0,True
2173,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,32485.3,28.05,9.24,1.12,3.64,3.65,14.0,11.8,0.91%,26.40%,1.73,3855.60%,55.19%,26.40%,25.00%,-18.20%,535.60%,224.80%,671.0,640.77,0.20%,-7.70%,90.40%,-1.83%,2.62%,1.57,6.70%,16.70%,-31.00%,1.2,1.2,0.76,0.76,42.90%,16.00%,13.40%,6.43%,14.60%,27.07%,75.38%,181.54%,10.10%,3.03,2.02,4.23%,4.43%,11.96%,15.23%,56.41%,-2.51%,36.43%,-2.51%,220.44%,66.63,0.48%,-1.27%,1.8,10653.69,0.92,48.5,-0.80%,9800561,11/2/2021 4:30:00 PM,51.64,3/17/1992,48.5,0.00%,75.0,98,2.0,49.9,44.49,43.41,32.56,16.11,51.16,30.0,3.49,67.66666666666667,True
2628,EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,USA,29149.7,38.76,37.45,6.46,19.39,9.33,444.36,81.24,2.40%,77.10%,5.38,14.70%,5.73%,18.90%,6.00%,11.60%,59.40%,20.30%,133.81,131.04,0.60%,-45.45%,96.00%,0.02%,1.67%,3.4,7.50%,25.00%,7.90%,,,1.87,1.87,74.00%,57.20%,47.50%,-4.89%,1.45%,20.96%,21.52%,87.26%,-8.04%,0.36,5.42,2.76%,2.33%,-4.15%,0.54%,18.98%,-8.88%,13.63%,-8.88%,90.82%,42.51,2.05%,-1.98%,2.2,642.49,1.27,208.51,0.03%,817954,10/27/2021 4:30:00 PM,221.29,8/12/2004,208.51,0.00%,63.0,96,1.56,211.71,217.48,208.23,176.41,109.42,228.84,16.0,4.53,58.333333333333336,True
2654,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,22370.87,62.97,7.12,1.04,4.04,1.91,48.95,7.78,1.65%,82.70%,1.93,269.40%,51.72%,-27.70%,60.66%,44.50%,150.50%,165.30%,181.03,180.27,0.20%,-9.48%,89.00%,0.28%,3.28%,2.15,2.10%,4.20%,-31.20%,0.7,0.7,0.6,0.6,79.40%,33.70%,8.00%,8.50%,9.99%,9.59%,34.77%,108.15%,12.52%,2.47,5.01,4.28%,4.06%,10.90%,10.73%,33.64%,-2.68%,27.71%,-2.68%,124.31%,63.93,-0.21%,0.07%,1.9,2745.72,0.85,121.35,-0.14%,2330689,11/1/2021 4:30:00 PM,135.03,10/12/2012,121.35,0.00%,72.0,97,1.64,124.57,111.85,110.44,91.53,56.13,125.69,22.0,8.4,63.666666666666664,True
2809,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,33073.22,13.49,14.54,,6.32,1.67,0.87,,2.46%,30.30%,3.62,-45.10%,-10.17%,-1.80%,-2.98%,6.70%,24.20%,-2.80%,697.46,674.83,0.20%,-1.57%,84.10%,0.28%,1.42%,2.26,1.30%,12.50%,12.30%,,,0.56,0.56,,97.20%,49.60%,9.25%,11.54%,12.21%,29.89%,55.51%,12.06%,1.42,1.22,2.73%,2.31%,10.74%,11.03%,19.65%,-0.31%,20.88%,-0.31%,72.74%,73.93,-0.81%,0.82%,1.9,4253.59,1.07,48.8,0.00%,4560191,1/20/2022 8:30:00 AM,49.36,3/17/1980,48.8,0.00%,72.0,89,1.23,49.2,44.95,44.25,40.95,28.25,49.81,18.0,0.33,59.666666666666664,True
4797,LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,USA,26686.2,,136.47,,7.02,,5.77,34.77,,,-4.19,67.00%,130.60%,22.50%,,-23.80%,107.80%,1366.60%,216.89,150.41,1.70%,0.00%,75.20%,2.85%,9.02%,5.99,-7.60%,142.30%,-36.60%,1.2,1.2,,,32.90%,-15.70%,-23.60%,-4.80%,4.15%,17.63%,41.01%,59.63%,-3.65%,1.31,4.9,4.88%,4.16%,0.62%,3.12%,23.89%,-9.73%,17.08%,-9.73%,75.05%,51.53,-0.41%,-0.05%,2.2,2266.42,1.4,115.32,-0.47%,3174514,11/4/2021 4:30:00 PM,115.0,12/14/2005,116.87,1.34%,63.0,90,1.27,114.0,115.44,112.62,93.56,65.88,127.75,21.0,0.88,58.0,True
