,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_russell_3k
0,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,2545.07,81.5,27.0,85,1.28,85.5,105.57,23.47,-5.35%,8.00%,19.73%,17.87%,56.98%,60.63%,88.53,,72.04,50.22,95.0,64.5,True
2,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,2072.21,86.5,20.0,95,1.86,63.48,68.5,7.91,-2.77%,12.54%,24.36%,50.05%,129.13%,112.29%,62.1,,44.67,27.26,67.19,67.16666666666667,True
3,ACN,Accenture plc,Technology,Information Technology Services,235347.9,79.0,30.0,79,1.17,360.14,379.0,5.24,-1.62%,-0.39%,6.19%,26.83%,43.48%,36.82%,365.51,,309.35,241.73,374.92,62.666666666666664,True
4,ADBE,Adobe Inc.,Technology,Software - Infrastructure,310656.32,89.0,19.0,75,1.11,657.41,706.14,7.41,-0.55%,3.00%,0.93%,35.11%,40.00%,33.94%,665.94,,569.1,420.78,699.54,61.0,True
6,AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,33642.11,74.0,16.0,76,1.13,162.33,178.58,10.01,-1.15%,-2.84%,13.42%,11.08%,41.15%,31.68%,163.34,,143.57,112.92,168.5,55.333333333333336,True
9,AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,6999.15,79.0,15.0,91,1.51,167.42,213.67,27.63,-2.37%,1.34%,0.01%,2.30%,95.28%,67.29%,179.21,,160.69,88.0,191.62,61.666666666666664,True
10,AMN,"AMN Healthcare Services, Inc.",Healthcare,Medical Care Facilities,5280.94,89.0,22.0,88,1.38,111.46,133.33,19.62,-5.27%,15.51%,0.43%,23.60%,74.97%,67.05%,111.49,,95.84,63.51,124.62,66.33333333333333,True
11,AMOT,Allied Motion Technologies Inc.,Technology,Electronic Components,589.38,89.0,20.0,81,1.22,40.26,49.33,22.53,-0.90%,12.23%,14.15%,7.49%,45.86%,15.80%,40.76,,34.51,26.84,44.7,63.333333333333336,True
12,AMRC,"Ameresco, Inc.",Industrials,Engineering & Construction,4564.37,89.0,27.0,93,1.61,87.84,88.83,1.13,-3.40%,9.98%,30.63%,63.49%,102.76%,72.91%,93.4,,62.65,37.7,101.86,69.66666666666667,True
13,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,825.92,76.5,15.0,91,1.47,28.48,33.0,15.87,-11.70%,6.03%,5.95%,19.33%,89.56%,85.20%,29.7,,22.81,13.63,32.67,60.833333333333336,True
