no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
79,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,2399.59,30.3,18.73,1.52,4.15,4.49,8.85,24.36,,0.00%,2.26,190.80%,36.73%,24.70%,20.00%,9.50%,155.80%,60.10%,33.54,32.69,2.40%,-6.38%,89.30%,-0.09%,2.96%,2.25,11.80%,15.70%,9.80%,4.2,2.7,0.09,0.09,43.20%,16.40%,13.40%,-8.59%,3.85%,43.81%,87.32%,116.69%,-8.07%,1.53,3.73,6.75%,5.22%,-0.48%,5.55%,40.84%,-11.68%,29.08%,-11.68%,140.91%,50.6,2.07%,0.03%,1.8,429.64,0.78,68.54,2.10%,337252,11/3/2021 4:30:00 PM,79.33,7/11/2000,68.99,0.66%,75.0,97,1.75,68.54,69.13,65.21,48.82,30.5,77.6,19.0,15.74,63.666666666666664,True
374,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,USA,998.81,23.5,17.43,,4.06,1.57,4.67,24.42,0.17%,0.00%,1.47,-103.50%,19.91%,-16.20%,,4.60%,900.60%,-0.80%,37.13,18.1,1.00%,-10.43%,40.90%,0.15%,1.55%,2.72,0.70%,7.00%,21.20%,,,0.15,0.15,,,22.70%,-0.03%,8.75%,35.87%,64.27%,115.19%,-0.35%,1.41,1.34,3.72%,4.48%,1.26%,9.76%,38.40%,-6.24%,33.92%,-6.24%,152.62%,58.53,-0.03%,0.44%,1.8,103.33,0.43,34.43,0.41%,44667,1/20/2022 8:30:00 AM,34.0,8/29/2018,34.43,0.00%,75.0,97,1.74,34.43,34.21,31.53,24.96,13.63,36.72,14.0,-1.25,62.0,True
389,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,USA,41931.72,54.09,38.45,2.96,15.13,10.6,12.38,45.86,,0.00%,2.46,-24.90%,24.78%,36.70%,18.27%,22.60%,32.20%,23.70%,307.46,225.42,0.10%,-88.99%,65.40%,-0.17%,1.74%,1.72,15.50%,21.90%,17.90%,5.1,4.4,0.0,0.0,63.90%,30.80%,28.30%,-3.95%,1.91%,42.08%,44.27%,68.43%,-7.35%,1.21,4.49,3.64%,3.47%,-3.24%,1.77%,34.52%,-10.36%,32.66%,-10.36%,103.27%,48.57,1.15%,0.10%,2.3,2273.8,0.49,133.18,1.25%,1107873,11/1/2021 4:30:00 PM,135.51,6/6/2014,133.46,0.21%,59.0,93,1.36,133.18,137.69,131.48,99.29,65.52,148.57,17.0,1.75,56.333333333333336,True
447,APTS,Preferred Apartment Communities,Real Estate,REIT - Residential,USA,934.47,,,,2.0,0.86,17.11,8.57,4.03%,,-3.06,-154.30%,34.00%,-48.80%,7.00%,35.70%,-15.10%,-12.30%,52.45,51.51,0.40%,-0.13%,53.10%,0.33%,1.97%,1.96,-3.80%,-11.90%,-2.10%,,,2.24,2.24,73.50%,22.60%,-33.40%,-7.12%,23.93%,41.52%,70.26%,134.78%,-3.93%,1.23,0.64,2.95%,4.36%,4.07%,16.98%,45.78%,-9.96%,42.68%,-9.96%,146.45%,59.86,-1.53%,0.17%,2.3,515.84,1.08,17.35,-1.36%,557915,11/8/2021 4:30:00 PM,14.75,4/1/2011,17.35,0.00%,59.0,98,1.89,17.35,16.83,14.93,11.94,7.04,19.27,15.0,-14.99,57.333333333333336,True
696,AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,USA,42260.7,19.38,17.1,1.38,2.79,,43.97,14.62,,0.00%,103.26,32.30%,10.63%,18.50%,14.00%,6.60%,38.10%,16.30%,20.99,20.52,0.40%,-50.42%,95.30%,0.29%,2.12%,2.77,15.90%,-126.70%,63.10%,0.8,0.2,,,52.60%,20.40%,15.10%,-3.81%,-0.10%,19.30%,26.65%,56.06%,-4.55%,0.89,51.88,2.48%,2.30%,-1.69%,3.42%,21.40%,-5.17%,13.21%,-5.17%,79.99%,49.64,-0.58%,0.00%,2.3,157.31,0.88,2000.98,-0.58%,138733,12/7/2021 8:30:00 AM,2194.94,4/2/1991,2004.7,0.19%,59.0,90,1.26,2000.98,2036.06,1939.15,1651.11,1111.71,2110.0,17.0,9.69,55.333333333333336,True
837,BFS,"Saul Centers, Inc.",Real Estate,REIT - Retail,USA,1275.41,36.6,,4.82,5.33,4.9,107.18,27.97,4.28%,146.90%,1.46,-20.50%,,-2.50%,7.60%,2.00%,55.10%,2.60%,23.69,12.98,0.80%,-22.02%,46.50%,0.12%,1.13%,4.0,2.00%,14.50%,3.80%,,,4.41,4.41,74.00%,23.90%,14.40%,-2.47%,4.47%,13.96%,17.55%,66.62%,0.57%,1.07,1.23,2.16%,2.23%,1.65%,3.33%,15.31%,-3.82%,15.04%,-3.82%,79.83%,55.04,-0.76%,-0.39%,2.3,36.8,0.89,53.32,-1.15%,32868,11/4/2021 4:30:00 PM,54.33,8/19/1993,53.32,0.00%,59.0,93,1.34,53.32,52.59,51.74,46.31,29.65,55.44,13.0,1.89,55.0,True
942,BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,USA,16164.81,10.91,12.23,0.58,0.91,2.98,71.94,19.73,,0.00%,7.38,40.30%,-27.34%,69.60%,18.80%,19.10%,309.50%,140.00%,204.27,188.56,0.90%,-2.59%,,0.04%,3.73%,2.79,16.30%,33.20%,16.20%,2.1,1.3,0.44,0.44,28.30%,11.10%,8.00%,-5.77%,1.16%,45.16%,91.87%,103.77%,-6.09%,2.3,3.06,4.66%,3.32%,-0.53%,8.79%,46.19%,-6.93%,41.09%,-6.93%,114.87%,53.33,1.36%,0.51%,1.5,2517.38,1.15,80.49,1.87%,2891391,11/4/2021 8:30:00 AM,95.0,6/22/2005,80.44,-0.06%,84.0,97,1.64,80.49,81.07,74.43,55.24,37.46,86.48,17.0,18.03,66.0,True
1034,BPOP,"Popular, Inc.",Financial,Banks - Regional,USA,7198.24,8.44,10.6,1.69,3.42,1.24,0.39,10.67,1.94%,15.50%,10.96,-14.70%,-21.42%,-7.40%,5.00%,5.50%,54.00%,3.30%,80.13,78.57,1.20%,-10.08%,87.40%,0.54%,1.72%,3.12,1.30%,15.30%,23.20%,,,0.12,0.13,,98.30%,43.00%,7.24%,15.52%,15.18%,26.83%,52.30%,12.84%,1.12,2.37,3.03%,2.64%,12.69%,12.85%,19.30%,-0.54%,24.22%,-0.54%,71.39%,77.76,0.92%,-0.04%,1.8,432.83,0.91,92.57,0.87%,393756,1/27/2022 8:30:00 AM,104.33,11/4/1982,92.57,0.00%,75.0,89,1.23,92.57,82.92,82.25,77.71,54.01,93.07,50.0,12.7,71.33333333333333,True
1176,BXC,BlueLinx Holdings Inc.,Industrials,Building Products & Equipment,USA,888.2,3.42,7.17,0.14,0.21,2.91,4441.02,8.86,,0.00%,24.69,552.90%,-55.56%,53.30%,25.00%,10.10%,-17.10%,11.40%,9.72,9.31,0.10%,-84.38%,84.30%,0.53%,3.16%,1.78,20.40%,139.10%,19.60%,3.1,1.5,1.74,1.76,17.00%,8.60%,5.80%,-8.32%,1.09%,66.14%,115.77%,131.32%,-11.83%,1.84,4.93,7.80%,5.58%,-1.76%,9.50%,49.59%,-12.63%,84.10%,-12.63%,155.46%,51.19,3.53%,0.00%,2.0,165.22,1.1,84.43,3.53%,181450,11/2/2021 4:30:00 PM,105.25,12/14/2004,84.43,0.00%,69.0,98,1.87,84.43,86.14,77.84,56.67,33.05,96.63,15.0,24.66,60.666666666666664,True
1182,BY,"Byline Bancorp, Inc.",Financial,Banks - Regional,USA,1068.45,12.62,16.59,1.26,4.38,1.3,6.32,7.61,1.26%,10.40%,2.26,-35.30%,-29.13%,30.70%,10.00%,23.50%,96.20%,7.90%,37.2,22.57,0.10%,-35.04%,44.10%,0.31%,1.33%,2.73,1.30%,10.90%,19.90%,,,0.14,0.14,,94.60%,35.70%,1.64%,5.35%,13.80%,26.29%,76.22%,4.31%,1.33,0.77,2.51%,2.79%,4.09%,4.91%,17.42%,-2.13%,13.53%,-2.13%,95.54%,60.9,-1.01%,0.52%,2.4,109.61,0.71,28.53,-0.49%,77824,10/28/2021 4:30:00 PM,30.0,6/30/2017,28.53,0.00%,56.0,94,1.42,28.53,27.49,27.25,24.34,14.59,29.15,17.0,5.15,55.666666666666664,True
