rank,my_score,ticker,company,sentiment_score,analyst_recom,rs_rating,returns_multiple,current_price,target_price,est_gl,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,in_russell_3k
1,74.17,BNED,"Barnes & Noble Education, Inc.",43.0,81.5,98,3.02,10.15,11.5,13.3,$1.91,$10.19,8.71,8.41,6.18,True
2,72.33,SGH,"SMART Global Holdings, Inc.",51.0,89.0,77,1.39,45.28,69.0,52.39,$23.54,$58.39,49.16,47.19,40.96,True
3,71.0,RC,Ready Capital Corporation,40.0,89.0,84,1.54,14.75,16.71,13.29,$7.79,$16.78,15.67,15.03,12.84,True
4,70.67,RWT,"Redwood Trust, Inc.",46.0,89.0,77,1.39,13.16,14.04,6.69,$6.52,$12.71,12.01,11.48,9.64,True
5,70.0,GNRC,Generac Holdings Inc.,20.0,94.0,96,2.38,404.95,497.0,22.73,$132.23,$452.92,417.37,361.28,289.13,True
6,69.83,AVID,"Avid Technology, Inc.",39.0,71.5,99,3.7,29.09,42.5,46.1,$7.23,$40.48,38.58,34.22,20.76,True
7,69.5,IIPR,"Innovative Industrial Properties, Inc.",38.0,81.5,89,1.69,234.18,257.0,9.74,$91.55,$222.08,196.8,186.35,173.62,True
8,69.17,GPMT,Granite Point Mortgage Trust Inc.,45.0,71.5,91,1.79,13.54,15.0,10.78,$5.52,$15.92,14.63,14.26,10.79,True
9,68.67,EPRT,"Essential Properties Realty Trust, Inc.",42.0,84.0,80,1.45,28.39,32.36,13.98,$14.44,$29.29,27.47,26.58,22.5,True
10,68.5,SSTK,"Shutterstock, Inc.",20.0,91.5,94,1.97,116.29,126.0,8.35,$37.31,$104.57,99.75,92.88,80.05,True
11,68.33,EVRI,Everi Holdings Inc.,14.0,94.0,97,2.71,25.94,30.75,18.54,$5.51,$25.90,24.16,21.71,15.12,True
12,68.0,KRG,Kite Realty Group Trust,44.0,74.0,86,1.59,21.4,23.15,8.18,$9.27,$23.14,21.53,21.36,17.35,True
